TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  18:14:33.696850 ;96.0;27351.0;12815.0;-13419.0;-772.0;-8605.0;-6931.0;-12454.0;55.0;15987.0
;96.0;27353.0;15825.0;-19912.0;-176.0;-9316.0;-5828.0;-13661.0;17.0;22046.0
;96.0;27355.0;23258.0;-15763.0;148.0;-17310.0;-14199.0;-21233.0;58.0;16152.0
;96.0;27357.0;14827.0;-14062.0;-245.0;-10638.0;-7924.0;-13193.0;72.0;12234.0
;96.0;27359.0;6283.0;-10162.0;-333.0;-2599.0;1473.0;-2782.0;-21.0;7549.0
;96.0;27361.0;7715.0;-5780.0;-80.0;-5016.0;-87.0;-2879.0;-65.0;1176.0
;96.0;27363.0;9059.0;895.0;-103.0;-8859.0;-6594.0;-6999.0;-117.0;-6036.0
;96.0;27365.0;176.0;4034.0;-56.0;-1362.0;-1276.0;-706.0;-119.0;-9647.0
;96.0;27367.0;-5953.0;10688.0;-228.0;2855.0;1439.0;5005.0;-78.0;-17017.0
;96.0;27369.0;-12164.0;12574.0;-637.0;8368.0;6715.0;11743.0;-52.0;-17213.0
;96.0;27371.0;-13136.0;12852.0;-841.0;8884.0;6424.0;11891.0;-28.0;-15449.0
;96.0;27373.0;-26832.0;19093.0;-1110.0;19945.0;15241.0;23435.0;27.0;-21347.0
;96.0;27375.0;-26608.0;18144.0;-490.0;20857.0;15992.0;23564.0;53.0;-17970.0
;96.0;27377.0;-6747.0;13822.0;444.0;2818.0;-995.0;5118.0;79.0;-11710.0
;96.0;27379.0;-7126.0;9170.0;1038.0;3260.0;91.0;5459.0;75.0;-6167.0
;96.0;27381.0;-10046.0;7253.0;1364.0;7298.0;5113.0;9327.0;17.0;-1983.0
;96.0;27383.0;-216.0;-2066.0;1098.0;-52.0;532.0;2487.0;-94.0;7086.0
;96.0;27385.0;-4060.0;-4069.0;1098.0;4576.0;6928.0;7139.0;-179.0;10063.0
;96.0;27387.0;17113.0;-9857.0;1470.0;-13586.0;-9280.0;-12637.0;-168.0;15760.0
;96.0;27389.0;17923.0;-13559.0;1204.0;-14214.0;-10598.0;-16035.0;-55.0;17786.0
;96.0;27391.0;11715.0;-14434.0;821.0;-7607.0;-4690.0;-11229.0;-3.0;16857.0
;96.0;27393.0;14041.0;-19385.0;696.0;-7764.0;-4075.0;-13384.0;11.0;21539.0
;96.0;27395.0;-3376385.0;-4714497.0;-2073857.0;-4786945.0;-489728.0;3001344.0;0.0;0.0
;96.0;27397.0;6493.0;-1454.0;-12260.0;-11309.0;4489.0;-697.0;-745.0;-6710.0
;96.0;27399.0;7996.0;-4965.0;-10826.0;-11854.0;1336.0;-4729.0;-584.0;-3571.0
;96.0;27401.0;11571.0;-11177.0;-9244.0;-14531.0;-3672.0;-10050.0;-341.0;777.0
;96.0;27403.0;9233.0;-9885.0;-8123.0;-11939.0;-1754.0;-7293.0;-267.0;-280.0
;96.0;27405.0;16001.0;-16210.0;-7389.0;-17537.0;-9245.0;-15688.0;-250.0;3713.0
;96.0;27407.0;11975.0;-17471.0;-6543.0;-13765.0;-7361.0;-13939.0;-235.0;5177.0
;96.0;27409.0;11468.0;-12040.0;-5472.0;-13224.0;-7406.0;-12656.0;-174.0;1239.0
;96.0;27411.0;13169.0;-9774.0;-4859.0;-14571.0;-9164.0;-13921.0;-110.0;-79.0
;96.0;27413.0;2600.0;-8414.0;-4552.0;-4207.0;855.0;-2958.0;-106.0;-781.0
;96.0;27415.0;4217.0;-148.0;-4208.0;-5919.0;127.0;-1823.0;-227.0;-6294.0
;96.0;27417.0;1006.0;4527.0;-4047.0;-3306.0;3841.0;3657.0;-449.0;-8094.0
;96.0;27419.0;-5252.0;9288.0;-3942.0;3119.0;10492.0;11980.0;-460.0;-11078.0
;96.0;27421.0;-8512.0;14152.0;-3650.0;6677.0;12930.0;15557.0;-254.0;-13126.0
;96.0;27423.0;-10215.0;12489.0;-3238.0;8469.0;13129.0;15683.0;-151.0;-10752.0
;96.0;27425.0;-13614.0;19554.0;-2755.0;11291.0;16199.0;20353.0;-127.0;-14485.0
;96.0;27427.0;-8547.0;19599.0;-2707.0;6492.0;11486.0;16010.0;-239.0;-13767.0
;96.0;27429.0;-9184.0;13911.0;-2619.0;7573.0;11151.0;14203.0;-315.0;-8886.0
;96.0;27431.0;-10178.0;11731.0;-2131.0;8684.0;11246.0;13925.0;-282.0;-6999.0
;96.0;27433.0;-8474.0;8844.0;-1431.0;7240.0;9202.0;11911.0;-286.0;-4146.0
;96.0;27435.0;-3163.0;2733.0;-799.0;2814.0;4675.0;6060.0;-204.0;-232.0
;96.0;27437.0;2726.0;-3412.0;-323.0;-2454.0;-1216.0;-1889.0;-122.0;3463.0
;96.0;27439.0;9971.0;-8053.0;-160.0;-9108.0;-9106.0;-11488.0;-15.0;6643.0
;96.0;27441.0;11071.0;-13585.0;-795.0;-10250.0;-11128.0;-14948.0;64.0;9779.0
;96.0;27443.0;8116.0;-11219.0;-1086.0;-7550.0;-8139.0;-11971.0;92.0;7179.0
;96.0;27445.0;18558.0;-18737.0;-1003.0;-16870.0;-17803.0;-23308.0;138.0;10986.0
;96.0;27447.0;11134.0;-19502.0;-860.0;-9913.0;-11566.0;-17628.0;159.0;11483.0
;96.0;27449.0;5335.0;-14432.0;-677.0;-4599.0;-6045.0;-11133.0;180.0;7530.0
;96.0;27451.0;-330.0;-9826.0;-513.0;1054.0;-486.0;-4749.0;160.0;3748.0
;96.0;27453.0;15359.0;-7613.0;-450.0;-14337.0;-14931.0;-18137.0;119.0;1489.0
;96.0;27455.0;1840.0;-3118.0;-422.0;-1957.0;-2294.0;-3473.0;21.0;-578.0
;96.0;27457.0;-10477.0;4099.0;-326.0;9678.0;10262.0;10585.0;10.0;-4984.0
;96.0;27459.0;-2207.0;10659.0;-240.0;1422.0;2958.0;4762.0;-5.0;-9864.0
;96.0;27461.0;-7652.0;12221.0;-485.0;6230.0;7403.0;10119.0;-14.0;-9209.0
;96.0;27463.0;-8802.0;12890.0;-736.0;7746.0;8509.0;11130.0;-1.0;-9278.0
;96.0;27465.0;-9522.0;18321.0;-678.0;7707.0;9921.0;14096.0;58.0;-11573.0
;96.0;27467.0;-13451.0;19022.0;-317.0;11732.0;14646.0;19152.0;105.0;-11868.0
;96.0;27469.0;-6126.0;13993.0;76.0;5253.0;7363.0;10705.0;91.0;-7833.0
;96.0;27471.0;-9569.0;10865.0;180.0;8835.0;9992.0;12873.0;40.0;-5010.0
;96.0;27473.0;-10204.0;7970.0;143.0;9751.0;10556.0;12797.0;-28.0;-2377.0
;96.0;27475.0;-6664.0;2447.0;122.0;6785.0;7535.0;8358.0;-86.0;811.0
;96.0;27477.0;9092.0;-3424.0;193.0;-8178.0;-8018.0;-8587.0;-94.0;3936.0
;96.0;27479.0;7136.0;-10237.0;365.0;-5931.0;-8110.0;-10020.0;-27.0;8853.0
;96.0;27481.0;6613.0;-13503.0;493.0;-5342.0;-8357.0;-11349.0;-40.0;10086.0
;96.0;27483.0;7369.0;-11535.0;638.0;-6628.0;-8476.0;-11393.0;-104.0;7676.0
;96.0;27485.0;14687.0;-19462.0;541.0;-13490.0;-16015.0;-20378.0;-91.0;12131.0
;96.0;27487.0;12808.0;-18709.0;320.0;-11619.0;-14658.0;-19188.0;-42.0;11260.0
;96.0;27489.0;7357.0;-13862.0;139.0;-6689.0;-8424.0;-11781.0;-34.0;7692.0
;96.0;27491.0;5176.0;-10640.0;-36.0;-4734.0;-5475.0;-8165.0;-7.0;4995.0
;96.0;27493.0;7295.0;-7967.0;-399.0;-6885.0;-6888.0;-8844.0;90.0;2432.0
;96.0;27495.0;3764.0;-1105.0;-415.0;-3841.0;-3772.0;-4081.0;107.0;-2051.0
;96.0;27497.0;-1108.0;3555.0;-179.0;329.0;365.0;1540.0;41.0;-4470.0
;96.0;27499.0;-8233.0;9665.0;-151.0;6778.0;7732.0;10610.0;-23.0;-8503.0
;96.0;27501.0;-6828.0;13687.0;-394.0;5462.0;7010.0;10561.0;-8.0;-10473.0
;96.0;27503.0;-7391.0;11352.0;-449.0;6028.0;7024.0;10216.0;-53.0;-7702.0
;96.0;27505.0;-20376.0;18594.0;-306.0;17758.0;19083.0;24056.0;-81.0;-11418.0
;96.0;27507.0;-17438.0;19424.0;-162.0;15374.0;17111.0;22268.0;-128.0;-12011.0
;96.0;27509.0;-9793.0;13716.0;8.0;8498.0;9960.0;13912.0;-68.0;-7463.0
;96.0;27511.0;-4134.0;11566.0;-43.0;3078.0;4595.0;7799.0;-189.0;-5729.0
;96.0;27513.0;-3066.0;7466.0;-183.0;2070.0;3186.0;5690.0;-245.0;-2078.0
;96.0;27515.0;-3912.0;573.0;-463.0;3618.0;3849.0;4980.0;-194.0;2368.0
;96.0;27517.0;542.0;-3798.0;-536.0;31.0;-549.0;-1113.0;-144.0;4428.0
;96.0;27519.0;8352.0;-9256.0;-415.0;-6936.0;-8612.0;-11229.0;-78.0;8086.0
;96.0;27521.0;8912.0;-14314.0;-134.0;-7507.0;-10360.0;-13976.0;-105.0;11117.0
;96.0;27523.0;708.0;-11837.0;65.0;694.0;-2334.0;-5561.0;-59.0;8244.0
;96.0;27525.0;19154.0;-18632.0;158.0;-16634.0;-19777.0;-24778.0;-35.0;11238.0
;96.0;27527.0;14230.0;-19160.0;301.0;-12384.0;-16555.0;-21833.0;19.0;11614.0
;96.0;27529.0;7619.0;-13276.0;485.0;-6190.0;-9699.0;-14054.0;88.0;7117.0
;96.0;27531.0;10005.0;-10515.0;237.0;-8654.0;-11055.0;-14752.0;149.0;4907.0
;96.0;27533.0;7313.0;-8076.0;-53.0;-6343.0;-7536.0;-9780.0;185.0;2681.0
;96.0;27535.0;5749.0;-755.0;-201.0;-5305.0;-5395.0;-5445.0;196.0;-2185.0
;96.0;27537.0;-2839.0;3295.0;47.0;2629.0;3280.0;5140.0;209.0;-3985.0
