@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute 'Overdrive- Drive' numeric
@attribute Ch-Mix numeric
@attribute 'Rev- space' numeric
@attribute 'Rev - Mix' numeric
@attribute 'Del - Mix' numeric
@attribute 'Distorsion - Drive' numeric

@data
355,'2023/04/18 13:32:42:594',5,1100.213623,559.793762,375.516937,296.912628,231.184998,7797.048828,2655.177002,976.21759,552.552673,213.085251,191.388885,183.72345,137.641388,2642.971924,973.265198,506.159241,429.069214,136.329498,129.380417,144.474197,104.523918,1292.321167,567.55603,390.713013,0,0.8,0.702343,0.649606,0.645669,0.80315
356,'2023/04/18 13:32:43:138',5,2166.866211,813.550964,383.883118,333.824799,340.639954,9111.737305,4179.708984,1927.166504,1312.594604,384.81369,194.362183,189.544312,179.835266,3577.916504,1975.468994,1166.276001,1069.180664,292.546783,130.632019,140.277206,139.016083,2131.755127,1418.355347,939.962219,0,0.8,0.702343,0.649606,0.645669,0.80315
357,'2023/04/18 13:32:43:645',5,1323.45752,749.678589,378.036163,395.699127,227.680664,11798.764648,11031.301758,1260.893311,696.662415,294.824341,189.255341,204.463013,120.008698,4631.235352,6232.195801,726.25531,542.430359,178.437042,118.135437,141.734909,88.557968,2670.165771,4728.921387,589.746765,0,0.8,0.702343,0.649606,0.645669,0.80315
358,'2023/04/18 13:32:44:282',5,1995.749268,643.657959,418.733582,504.858429,122.000809,6777.933594,7056.30127,1807.448486,1091.908813,305.029755,208.868011,279.63269,69.068062,2511.654785,3256.269043,1071.924316,832.897766,222.838654,137.572876,197.712173,50.071098,1415.697876,2220.467041,847.319946,0,0.8,0.702343,0.649606,0.645669,0.80315
359,'2023/04/18 13:32:44:818',5,1797.671509,659.014709,438.329102,451.729675,156.096619,6191.761719,9326.666992,1645.000122,1050.279175,262.499084,219.822617,249.495499,94.807129,2396.482666,4120.663086,1082.649536,834.997253,173.273102,148.739136,180.938629,72.103592,1460.340332,2740.096924,899.777527,0,0.8,0.702343,0.649606,0.645669,0.80315
360,'2023/04/18 13:32:45:410',5,1336.138428,591.324585,392.93042,373.357452,250.462875,6298.500488,6392.279785,1109.420044,672.083618,243.855331,207.327194,225.642365,128.653046,2496.967285,2597.162354,612.690308,505.519806,161.972183,145.46962,171.396942,87.508858,1595.150024,1708.668091,484.05722,0,0.8,0.702343,0.649606,0.645669,0.80315
361,'2023/04/18 13:32:45:925',5,2211.195068,548.849915,415.904144,262.873016,159.716095,6179.177246,6986.777832,2040.863647,1227.946533,232.46489,189.124817,160.000519,97.723793,2246.90332,2581.359619,1056.553467,996.948547,165.111084,121.334366,124.557823,79.175934,1303.362549,1536.846558,814.354431,0,0.8,0.702343,0.649606,0.645669,0.80315
362,'2023/04/18 13:32:46:463',5,2125.277588,1190.698486,412.452972,427.865814,206.210098,5849.900879,6422.79541,1473.938843,1265.272217,488.87558,196.162155,261.77594,116.755409,2239.756104,2476.27417,858.148926,1006.466064,352.782288,123.911949,203.901886,85.124962,1365.068604,1522.053223,690.167664,0,0.8,0.702343,0.649606,0.645669,0.80315
363,'2023/04/18 13:32:47:006',5,1431.262695,687.535706,522.692017,807.565918,101.98661,6093.663574,7802.490723,844.676819,919.196716,327.431396,262.193146,502.955902,63.322376,2156.328613,2928.431396,502.904022,751.211304,244.705536,167.161713,412.459991,48.555695,1152.660767,1586.230591,412.280792,0,0.8,0.702343,0.649606,0.645669,0.80315
364,'2023/04/18 13:32:47:516',5,1255.921997,488.270233,662.601685,543.326965,340.151459,5954.769043,6920.98291,995.613281,797.687927,209.663651,338.101105,370.932709,141.530304,2084.700439,2397.706299,593.049377,639.952515,146.580688,225.130157,303.22522,85.193787,1093.120972,1228.707642,472.628113,0,0.8,0.702343,0.649606,0.645669,0.80315
