@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
1,'2023/04/07 18:08:18:257',1,0.661538,0.673846,0.489231,0.483077,0.593846,0.612308,0.341538,0.809231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
2,'2023/04/07 18:08:18:661',1,0.593846,0.667692,0.52,0.569231,0.538462,0.612308,0.464615,0.606154,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
3,'2023/04/07 18:08:19:056',1,0.686154,0.686154,0.550769,0.532308,0.593846,0.483077,0.606154,0.501538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
4,'2023/04/07 18:08:19:459',1,0.581538,0.643077,0.476923,0.489231,0.532308,0.427692,0.526154,0.495385,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
5,'2023/04/07 18:08:19:858',1,0.655385,0.612308,0.489231,0.507692,0.563077,0.483077,0.563077,0.513846,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
6,'2023/04/07 18:08:20:260',1,0.593846,0.618462,0.483077,0.532308,0.575385,0.513846,0.483077,0.538462,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
7,'2023/04/07 18:08:20:663',1,0.612308,0.649231,0.532308,0.495385,0.526154,0.495385,0.526154,0.52,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
8,'2023/04/07 18:08:21:063',1,0.667692,0.587692,0.495385,0.532308,0.575385,0.6,0.483077,0.575385,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
9,'2023/04/07 18:08:21:464',1,0.575385,0.655385,0.458462,0.556923,0.636923,0.501538,0.452308,0.569231,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
10,'2023/04/07 18:08:21:865',1,0.790769,0.815385,0.483077,0.618462,0.550769,0.470769,0.390769,0.581538,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
