TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx 
 2023-02-22  14:06:10.487660 ;96;21353;-3066;4738;119;-30;-15717;-1668;-1665;-4615
nan;96;21355;-1160;3899;-15;-537;-16702;-1697;-3353;-4597
nan;96;21357;0;0;0;0;0;0;0;0
nan;96;21359;5454;-4218;-13063;-4918;8853;-2111;58160;749
nan;96;21361;5246;-4200;-11855;-4280;8152;-2559;49250;1661
nan;96;21363;5881;-5462;-12000;-4138;9104;-2745;40962;2900
nan;96;21365;6993;-7328;-10951;-3389;10284;-2776;37010;4135
nan;96;21367;7185;-6812;-8911;-2873;9879;-2808;31297;3322
nan;96;21369;5912;-4228;-8293;-3808;8318;-2800;23191;1535
nan;96;21371;4688;-2611;-7062;-4424;6373;-2612;22432;1588
nan;96;21373;4377;-491;-4975;-3560;3566;-2194;19836;2118
nan;96;21375;3014;484;-3085;-2265;2913;-1522;12306;2856
nan;96;21377;1793;817;-2268;-1815;3447;-963;11526;382
nan;96;21379;2650;2711;-2409;-1138;2129;-788;12438;-4921
nan;96;21381;2851;2461;-1268;-891;2432;-697;10929;-4857
nan;96;21383;3473;1792;-855;-1083;2755;-566;14519;-2898
nan;96;21385;3001;605;-1755;-1397;3300;-546;15983;-1373
nan;96;21387;3565;247;-2330;-1617;2859;-595;16687;-1461
nan;96;21389;3599;-2590;-2311;-1733;4167;-370;16742;1652
nan;96;21391;4731;-2202;-1561;-1946;2155;-22;19642;1930
nan;96;21393;5174;-375;-1623;-1168;-508;-485;22025;797
nan;96;21395;6256;2253;-1553;-226;-3525;-962;19825;-1615
nan;96;21397;3518;2641;-2056;-198;-3474;-856;9328;-1859
nan;96;21399;1588;3868;-1653;-437;-4410;-21;1986;-3586
nan;96;21401;-1671;2105;-1876;-196;-3703;107;-95;-3227
nan;96;21403;-1956;2250;-2624;-263;-3525;-186;386;-5045
nan;96;21405;-4384;331;-2738;-951;-749;-731;-4688;-3059
nan;96;21407;-2212;4419;-3090;-1801;-3712;-1269;-8248;-5014
nan;96;21409;-1482;6142;-2181;-1914;-5242;-992;-9911;-5780
nan;96;21411;-4224;4728;-2111;-1545;-3927;-435;-9063;-4939
nan;96;21413;-4079;5627;-3783;-997;-5197;-196;-7474;-5069
nan;96;21415;-5846;3864;-3228;-164;-4285;-89;-11513;-2570
nan;96;21417;-5938;2864;-1628;-110;-3920;355;-10237;-1576
nan;96;21419;-4915;1566;-2515;-351;-2395;901;-7577;-1126
nan;96;21421;-3746;2518;-2258;-222;-2663;1177;-11473;-3257
nan;96;21423;-3862;2246;-1190;222;-2947;1296;-10270;-3439
nan;96;21425;-4558;965;-120;545;-2101;1134;-6606;-1890
nan;96;21427;-4153;275;979;389;-773;331;-7012;-1253
nan;96;21429;-725;977;1135;266;-2123;-322;-4009;-1944
nan;96;21431;1930;1818;1168;52;-3892;-390;1956;-1513
nan;96;21433;3054;2859;3325;-302;-4811;-126;-2782;-2208
nan;96;21435;1615;721;4853;-394;-2400;-379;-11236;-30
nan;96;21437;-162;-2626;3646;-49;1265;-318;-13072;3783
nan;96;21439;894;-2781;-89;315;1101;270;-7179;3502
