TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx 
 2023-02-22  14:12:26.359332 ;96;11465;10789;12750;-132;-41;-8118;-450;115;-12591
nan;96;11467;10999;13831;-324;528;-8684;-380;179;-13908
nan;96;11469;0;0;0;0;0;0;0;0
nan;96;11471;2587;11703;-27813;-1392;-1964;-2353;-1482;-2808
nan;96;11473;-3266;3508;-24716;-1227;4335;-2604;-3468;4294
nan;96;11475;-8227;-2120;-21889;-1102;9213;-2277;-5167;9181
nan;96;11477;-9372;-3599;-19410;-942;9797;-2256;-5048;9872
nan;96;11479;-11828;-7480;-17258;-839;12008;-2130;-5744;13129
nan;96;11481;-18505;-15706;-15354;-652;18390;-1748;-9413;20634
nan;96;11483;-22094;-20652;-13769;-587;22308;-1247;-11008;25047
nan;96;11485;-19683;-17944;-12506;-600;20357;-429;-9091;21798
nan;96;11487;-8933;-6736;-11222;-501;10858;1447;-2505;10111
nan;96;11489;-3865;-2244;-9763;-351;7011;2521;695;5080
nan;96;11491;-1103;1406;-8288;-302;3669;1634;2387;1153
nan;96;11493;8058;12882;-7050;-295;-5709;1727;6840;-10563
nan;96;11495;14198;18704;-6071;-338;-10691;2042;9633;-16829
nan;96;11497;17050;20491;-5363;-907;-12423;2115;11200;-19258
nan;96;11499;16410;20538;-4566;-622;-15478;1698;9430;-19039
nan;96;11501;11453;14343;-4021;-1;-14158;677;4332;-12793
nan;96;11503;11321;13420;-3695;-86;-13832;73;3379;-11818
nan;96;11505;11078;14145;-3650;-89;-14438;-13;3014;-12553
nan;96;11507;6139;8882;-3702;-9;-10227;-148;146;-7724
nan;96;11509;4279;5739;-3747;130;-6525;-106;-595;-4708
nan;96;11511;3366;3890;-3724;94;-2182;-148;-759;-3118
nan;96;11513;-2199;-3761;-3319;106;8027;-492;-2009;4110
nan;96;11515;-5878;-9070;-2462;112;14806;-615;-3108;9589
nan;96;11517;-6710;-11264;-1863;-109;12745;-582;-3491;12222
nan;96;11519;-9643;-13693;-1626;-208;9119;-514;-4627;14657
nan;96;11521;-17014;-19376;-1558;-52;9842;-489;-8283;19893
nan;96;11523;-20659;-22798;-1578;-97;14946;-656;-10171;23273
nan;96;11525;-17251;-18858;-1529;-407;15157;-753;-7689;19200
nan;96;11527;-7199;-7351;-1315;-759;6458;-740;-1330;7425
nan;96;11529;-2213;-2056;-933;-1019;2232;-550;1852;2088
nan;96;11531;182;422;-555;-759;939;-304;3670;-128
nan;96;11533;9166;9351;-279;-484;-5110;-322;8153;-8777
nan;96;11535;14304;13961;-102;16;-9735;-536;10071;-13199
nan;96;11537;16987;17729;-107;80;-15599;-531;11185;-17296
nan;96;11539;16247;17020;-487;-54;-17272;-268;9449;-16885
nan;96;11541;10627;12186;-335;-49;-12593;-455;3829;-12116
nan;96;11543;10515;13659;98;121;-12629;-750;3257;-13600
nan;96;11545;11429;13433;113;264;-12984;-918;4499;-13527
nan;96;11547;6841;6896;-37;449;-6749;-1027;2179;-6911
nan;96;11549;5482;5587;-69;729;-4893;-667;511;-5390
nan;96;11551;3830;4174;191;842;-4361;-90;-1164;-4296
nan;96;11553;-2425;-2899;508;839;1894;-156;-3224;2795
nan;96;11555;-6578;-6945;670;738;6374;-579;-4389;7009
nan;96;11557;-8234;-8401;638;619;7870;-564;-4378;8458
nan;96;11559;-11557;-12537;329;187;11217;-699;-5257;12508
nan;96;11561;-18713;-19055;165;-417;16838;-1014;-9139;18697
nan;96;11563;-21724;-21912;-225;-636;19572;-1064;-10781;21476
nan;96;11565;-17896;-18169;-610;-869;17171;-443;-7733;17943
nan;96;11567;-7739;-8283;-948;-891;8779;-22;-1150;8423
nan;96;11569;-2392;-3125;-1330;-1031;3646;-381;2205;3254
nan;96;11571;776;-22;-788;-851;1333;-523;4515;-24
nan;96;11573;9331;9024;-64;-435;-6144;-65;8517;-8921
nan;96;11575;14357;14299;222;-249;-11310;279;10398;-14039
nan;96;11577;17218;17754;440;-188;-14664;683;11540;-17508
nan;96;11579;15851;16479;603;-91;-15128;1603;9245;-16376
nan;96;11581;10435;9962;111;-26;-11304;2087;3954;-10071
nan;96;11583;11662;10852;-913;11;-11072;2485;4057;-10922
nan;96;11585;11004;10897;-687;36;-9770;2156;3480;-10964
nan;96;11587;5948;7013;285;-283;-5174;988;348;-7159
nan;96;11589;3814;5958;771;-323;-4678;-90;-762;-6031
nan;96;11591;1542;4563;921;-37;-3532;-620;-2069;-4562
nan;96;11593;-4524;-2767;1156;-128;3777;-789;-4014;2567
nan;96;11595;-7630;-7199;764;-114;9767;-1025;-4605;7022
nan;96;11597;-8362;-9708;-80;178;8896;-1123;-4280;9749
nan;96;11599;-11776;-14564;-796;385;8016;-386;-5337;14571
nan;96;11601;-18682;-20719;-698;692;14068;866;-9254;20839
nan;96;11603;-21955;-22101;-361;572;17364;1086;-10774;22001
nan;96;11605;-18311;-16795;-675;323;14487;383;-7602;16492
nan;96;11607;-7015;-7056;-1004;275;6721;-240;-182;6994
nan;96;11609;-2329;-4261;-954;106;3999;-1204;2730;4424
nan;96;11611;-67;-584;-759;118;857;-1653;3722;877
nan;96;11613;8312;9959;11;263;-8483;-1612;7089;-9627
nan;96;11615;13255;15048;674;272;-12652;-1530;8844;-14900
nan;96;11617;16296;18386;338;17;-15130;-927;10482;-19030
nan;96;11619;14730;18017;423;146;-14689;338;8124;-18877
nan;96;11621;10173;13900;1217;475;-8944;1336;3089;-14362
nan;96;11623;10928;12714;729;-55;-3272;1692;3068;-13092
nan;96;11625;10623;9617;-47;-193;-2525;1168;2819;-9455
nan;96;11627;5931;4871;-692;-1261;-6404;628;116;-5082
nan;96;11629;4421;3331;-893;-580;-9078;86;-595;-2773
nan;96;11631;2763;1149;-1211;-331;-6347;-874;-1290;-774
nan;96;11633;-3367;-5561;-1085;-259;-36;-733;-3108;5550
nan;96;11635;-7088;-9345;-485;-312;4838;639;-4475;9371
nan;96;11637;-8342;-9122;-94;-325;9489;2170;-5035;9011
nan;96;11639;-11839;-12711;76;-821;16983;2383;-6164;12205
nan;96;11641;-18427;-21004;348;-480;19948;1341;-9639;20807
nan;96;11643;-22091;-24871;511;49;18559;509;-11260;25339
nan;96;11645;-17973;-18841;304;284;14299;468;-8075;19806
nan;96;11647;-7176;-7756;184;247;6138;197;-1101;8253
nan;96;11649;-2972;-3781;132;188;2159;-368;1557;3572
nan;96;11651;-9;283;8;176;-110;-738;2965;-209
nan;96;11653;8699;10412;50;133;-9164;-966;6666;-10181
nan;96;11655;13216;15854;152;-266;-14230;-978;8575;-15809
nan;96;11657;15316;17231;99;0;-15358;-729;9263;-17320
nan;96;11659;15092;15412;73;745;-13944;-165;7489;-15275
nan;96;11661;10713;10843;117;690;-10037;130;2870;-10836
nan;96;11663;11243;11932;233;449;-10613;27;2661;-12191
nan;96;11665;10732;10216;364;539;-9456;28;2318;-10419
nan;96;11667;5218;4860;503;675;-4499;-189;-523;-4969
nan;96;11669;3126;4891;363;609;-4086;-372;-1601;-4944
nan;96;11671;1810;3584;101;125;-3325;-240;-2275;-3882
nan;96;11673;-4038;-3401;-61;-107;2850;-145;-3896;3153
nan;96;11675;-7900;-7992;-44;-115;7325;-83;-4971;7635
nan;96;11677;-9506;-10158;196;-506;9599;-95;-5378;9779
nan;96;11679;-12356;-13515;273;-609;12036;11;-6263;13328
nan;96;11681;-18946;-20089;154;-306;17261;-238;-10026;19912
nan;96;11683;-21845;-22306;25;-28;19607;-694;-11317;21901
nan;96;11685;-17224;-16347;-144;150;15293;-1099;-7702;16442
nan;96;11687;-7075;-7014;-235;-164;7576;-1201;-811;7117
nan;96;11689;-2253;-3175;-417;-346;4890;-1790;2693;3115
nan;96;11691;1481;1092;-397;-227;2515;-2612;4575;-772
nan;96;11693;9915;10696;-108;-512;-6049;-3074;7235;-10254
nan;96;11695;14470;14582;127;-734;-11351;-2440;8179;-14374
nan;96;11697;16677;16899;182;-717;-16205;-670;9003;-16998
nan;96;11699;15215;16205;196;-400;-17177;662;6664;-16528
nan;96;11701;9727;11703;348;-143;-12339;1646;1666;-11913
nan;96;11703;9961;14093;576;34;-14723;2098;1628;-13990
nan;96;11705;8547;11194;832;79;-11369;1476;1526;-11144
nan;96;11707;4650;3912;698;41;-2571;494;431;-3980
nan;96;11709;4436;4167;605;87;-1965;599;509;-4216
nan;96;11711;3026;3297;837;189;-2486;706;-1131;-3528
nan;96;11713;-3649;-3499;889;345;1892;252;-4647;3226
nan;96;11715;-7815;-6395;567;101;5111;195;-6385;5823
nan;96;11717;-9217;-7650;196;-342;8791;18;-5944;6822
nan;96;11719;-12212;-14252;152;-114;16406;235;-6184;14113
nan;96;11721;-18243;-21959;24;-30;22469;1775;-9113;22241
nan;96;11723;-21443;-23856;-322;74;23596;3196;-10685;24039
nan;96;11725;-16535;-16646;-1141;8;17570;2527;-6903;16812
nan;96;11727;-6557;-6097;-1201;58;5589;709;-898;6220
nan;96;11729;-2575;-3692;-1349;158;100;-169;1662;3971
nan;96;11731;727;-348;-1184;123;-3234;-92;3542;967
nan;96;11733;9676;9471;-448;7;-10275;-401;7210;-9119
nan;96;11735;15043;13265;-276;15;-12587;-331;9910;-13042
nan;96;11737;17797;14939;142;318;-13695;172;11396;-14472
nan;96;11739;14737;13194;579;413;-14109;794;7657;-12928
nan;96;11741;9403;9951;262;427;-11766;1585;2525;-10052
nan;96;11743;11256;11888;-270;55;-13195;2034;3332;-12056
nan;96;11745;10324;9258;-442;-596;-12033;1509;2522;-9626
nan;96;11747;5817;4958;61;-795;-7312;318;-278;-5291
nan;96;11749;4997;4784;465;-83;-4605;-343;-727;-4782
nan;96;11751;2476;1989;616;-4;2125;-560;-1646;-1976
nan;96;11753;-3934;-4726;445;-409;9397;-686;-3406;4262
nan;96;11755;-7623;-6912;66;279;9437;-814;-4556;6575
nan;96;11757;-9114;-7566;-424;683;10632;-619;-4774;7036
nan;96;11759;-14112;-13198;-610;623;15462;-358;-7142;12536
nan;96;11761;-19954;-20253;-429;493;23051;-1028;-10150;19942
nan;96;11763;-22395;-23496;-398;-25;22969;-1396;-10998;23134
nan;96;11765;-17244;-16553;-508;-1090;8954;-1067;-7262;16361
nan;96;11767;-7419;-6177;-464;-1118;-2882;-792;-1227;6413
nan;96;11769;-4005;-2251;-247;-6;-4381;-789;1142;2599
nan;96;11771;445;2786;125;937;-5668;-901;3700;-2224
nan;96;11773;9535;11432;638;226;-10451;-1115;7492;-11026
nan;96;11775;15076;14431;1080;-263;-12022;-1449;10014;-13887
nan;96;11777;17703;15372;1055;-83;-11329;-1642;11386;-14793
nan;96;11779;14814;13821;803;-36;-10219;-1241;7951;-13560
nan;96;11781;9797;10179;625;-90;-7370;-541;2678;-10238
nan;96;11783;10691;12917;475;316;-10462;321;2447;-12965
nan;96;11785;8499;11854;120;259;-10295;1250;1036;-12259
nan;96;11787;4556;7259;-207;57;-6512;1997;-687;-7482
nan;96;11789;4008;4986;-254;-25;-5221;1209;-967;-4953
