TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx 
 2023-02-22  14:13:44.839130 ;96;30981;4896;1548;-16;2813;-38797;64;13250;-977
nan;96;30983;-5756;-488;-246;2784;-27150;136;14063;1258
nan;96;30985;-7194;1434;-52;2313;-56587;207;11197;-545
nan;96;30987;3728;7160;215;1406;-92024;107;10612;-5721
nan;96;30989;5317;6239;522;-169;-108174;-190;12157;-5122
nan;96;30991;-1097;1452;582;-448;-85692;-214;5141;-755
nan;96;30993;-4126;-1756;532;-212;-25927;-92;-3270;2300
nan;96;30995;-9869;-3063;430;1041;44762;-154;-8256;3572
nan;96;30997;-7907;-2754;-287;2138;47136;-275;-9163;2884
nan;96;30999;-558;-886;-438;2239;10890;-129;-7538;533
nan;96;31001;2139;-1129;-272;2105;3329;343;-9926;494
nan;96;31003;3350;250;-314;1166;-16207;402;-11476;-376
nan;96;31005;3839;404;28;-124;-14120;332;-9509;41
nan;96;31007;-1322;-848;312;-1332;35697;469;-8612;1872
nan;96;31009;-6440;-568;93;-2398;59537;332;-7858;1265
nan;96;31011;0;0;0;0;0;0;0;0
nan;96;31013;-12300;-18919;-12256;-7325;12892;-2369;1751;5514
nan;96;31015;-16833;-23367;-10985;-6606;15336;-2277;1558;11724
nan;96;31017;-17633;-22720;-9834;-5391;15172;-2260;1377;12567
nan;96;31019;-9060;-12320;-8733;-4016;7823;-2030;1227;3543
nan;96;31021;-1491;-5273;-7744;-3304;1851;-1826;1087;-2934
nan;96;31023;820;-3120;-6853;-3004;659;-1611;1002;-4161
nan;96;31025;6896;4465;-6013;-2645;-4300;-1144;934;-10556
nan;96;31027;13713;11910;-5297;-2286;-10630;-690;812;-17271
nan;96;31029;17379;15857;-4631;-2599;-14056;-837;799;-21021
nan;96;31031;17944;15934;-4072;-2839;-14664;-1008;706;-20568
nan;96;31033;13835;10932;-3607;-2899;-10582;-911;621;-14697
nan;96;31035;11813;10340;-3198;-3751;-10225;-670;498;-13428
nan;96;31037;12720;11876;-2769;-3346;-12912;-360;419;-14669
nan;96;31039;8815;8230;-2465;-2727;-8003;-267;380;-10811
nan;96;31041;5854;5625;-2202;-2328;-3698;-81;349;-8016
nan;96;31043;4704;4819;-1938;-2166;-2623;-12;229;-7087
nan;96;31045;-101;-235;-1715;-2011;1187;-99;150;-1755
nan;96;31047;-5724;-5833;-1564;-1637;4866;-30;133;4092
nan;96;31049;-7994;-8446;-1486;-1217;5015;147;130;6963
nan;96;31051;-9580;-10696;-1378;-849;6045;220;60;9315
nan;96;31053;-15880;-17438;-1283;-477;12662;13;12;16332
nan;96;31055;-20744;-22028;-1181;-326;18861;-189;-28;21156
nan;96;31057;-19672;-20333;-1119;-359;19282;-139;28;19696
nan;96;31059;-10395;-10879;-1061;-376;10580;-6;82;10179
nan;96;31061;-3560;-4254;-899;-373;3880;6;69;3480
nan;96;31063;-1579;-1932;-738;-428;1457;-96;75;1169
nan;96;31065;5481;6061;-652;-275;-5846;-145;79;-6576
nan;96;31067;12509;12371;-468;-268;-12658;-232;47;-12784
nan;96;31069;15939;15920;-315;-414;-14991;-299;30;-16252
nan;96;31071;16447;16088;-218;-535;-11963;-390;37;-16457
nan;96;31073;12791;11631;-187;-352;-7695;-688;1;-12287
nan;96;31075;10645;11139;-131;-112;-9380;-860;-38;-11664
nan;96;31077;11700;12594;-101;37;-11265;-884;-11;-12858
nan;96;31079;7927;7637;-77;258;-6637;-845;47;-8107
nan;96;31081;5036;4756;-44;401;-3278;-631;119;-5020
nan;96;31083;3789;3974;-36;392;-2783;-277;124;-4343
nan;96;31085;-1389;-1641;-104;413;412;28;-16;1175
nan;96;31087;-6186;-6197;-136;321;3957;391;-78;5827
nan;96;31089;-8375;-8259;-194;66;6130;535;-21;7950
nan;96;31091;-9730;-10607;-223;-106;7852;729;-49;10360
nan;96;31093;-15723;-17993;-272;-35;14501;480;-65;17828
nan;96;31095;-19854;-22032;-304;51;19877;87;-93;21797
nan;96;31097;-18850;-20024;-305;165;21111;-186;-109;19443
nan;96;31099;-10211;-10030;-317;293;11864;-221;-87;9552
nan;96;31101;-3956;-3946;-248;79;4462;-119;-74;3709
nan;96;31103;-2200;-2002;-218;-251;1209;7;-40;1870
nan;96;31105;4568;6028;-137;153;-6495;351;45;-5703
nan;96;31107;11978;12850;-55;-65;-12676;539;96;-12604
nan;96;31109;15658;16004;39;-420;-14458;601;59;-15717
nan;96;31111;16297;16133;96;-556;-14346;513;6;-15859
nan;96;31113;11340;11263;78;-426;-10288;369;29;-11332
nan;96;31115;10070;11418;108;125;-9746;310;-13;-11491
nan;96;31117;11183;12086;131;476;-10956;127;-22;-12274
nan;96;31119;7100;6867;108;435;-6329;-108;9;-7016
nan;96;31121;4569;4394;126;567;-3694;-290;-25;-4646
nan;96;31123;3996;4121;104;541;-4110;-411;-60;-4387
nan;96;31125;-1378;-2050;69;709;605;-527;-22;1651
nan;96;31127;-6442;-7100;53;1025;5982;-560;-57;6700
nan;96;31129;-7796;-8256;-8;787;8352;-452;-41;7896
nan;96;31131;-9966;-10933;-56;119;10331;-299;-21;10776
nan;96;31133;-17745;-18661;-121;-384;16847;-330;-93;18644
nan;96;31135;-21317;-21524;-133;-775;19451;-276;-69;21483
nan;96;31137;-19992;-19453;-146;-575;18125;-43;-109;19825
nan;96;31139;-10516;-9762;-233;-328;9601;106;-98;10190
nan;96;31141;-3326;-4101;-143;-516;2793;50;-51;4407
nan;96;31143;-1372;-2156;-130;-1078;1216;-145;-83;2491
nan;96;31145;5943;6847;-115;-975;-5164;-186;-69;-6364
nan;96;31147;12278;13354;-23;-385;-10889;-200;10;-13133
nan;96;31149;16054;17017;77;-193;-14202;-181;64;-16986
nan;96;31151;16170;16562;92;-568;-14752;-63;33;-16718
nan;96;31153;11397;11844;104;-591;-11455;102;-44;-12022
nan;96;31155;10511;12248;211;-384;-10834;-65;-12;-12312
nan;96;31157;11571;12581;180;-862;-11189;-299;-24;-12834
nan;96;31159;7604;7133;171;-297;-6762;-315;-40;-6790
nan;96;31161;5486;5032;192;139;-3543;-180;-83;-4572
nan;96;31163;4015;3595;110;180;-1156;-1;-45;-3526
nan;96;31165;-1571;-2344;41;258;3618;116;-21;2523
nan;96;31167;-6502;-7302;2;313;7007;267;-26;7376
nan;96;31169;-8533;-9790;-81;349;7750;352;-10;9693
nan;96;31171;-10827;-12204;-103;318;8211;134;-41;11894
nan;96;31173;-16910;-18227;-141;135;13733;90;-35;17806
nan;96;31175;-20811;-21675;-221;-105;18707;120;-89;21334
nan;96;31177;-19561;-19438;-249;-229;18423;-81;-82;19295
nan;96;31179;-9669;-8541;-228;64;9554;-264;-108;8679
nan;96;31181;-3301;-3177;-197;-71;3323;-327;-58;3015
nan;96;31183;-1370;-2288;-102;9;760;-378;-25;2269
nan;96;31185;6490;6058;-17;306;-6945;-312;13;-5654
nan;96;31187;12969;12884;86;174;-12977;22;-37;-12678
nan;96;31189;16242;16862;212;122;-15719;337;-46;-16821
nan;96;31191;16232;16318;193;127;-14916;667;12;-16420
nan;96;31193;11580;11832;165;94;-11073;437;16;-11844
nan;96;31195;10722;12195;179;35;-10778;176;-18;-12347
nan;96;31197;11131;12154;204;10;-10829;90;-15;-12268
nan;96;31199;7199;7510;227;-7;-6675;27;-46;-7623
nan;96;31201;4582;5039;161;-172;-4221;-60;16;-5604
nan;96;31203;3381;3895;153;3;-3830;-193;-6;-3999
nan;96;31205;-2108;-2472;109;308;890;-158;10;2683
nan;96;31207;-6422;-6731;63;310;5190;0;-76;6710
nan;96;31209;-8031;-8306;9;210;9303;143;-99;8387
nan;96;31211;-10485;-11560;-110;193;12856;159;-45;11561
nan;96;31213;-17112;-18181;-175;134;16881;26;-72;17894
nan;96;31215;-21189;-21703;-205;-32;19916;-10;-91;21479
nan;96;31217;-19066;-18916;-271;-164;17945;-146;-117;18769
nan;96;31219;-8956;-8320;-210;-299;6754;-288;-125;8388
nan;96;31221;-3364;-3642;-129;-335;846;-202;-67;3635
nan;96;31223;-620;-1156;-122;-390;923;110;-12;1184
nan;96;31225;7192;7155;-81;-522;-4319;566;9;-7216
nan;96;31227;13380;13510;40;-85;-11414;663;11;-13304
nan;96;31229;15899;16461;103;173;-14839;406;52;-16431
nan;96;31231;15733;16212;103;-10;-14628;329;4;-16375
nan;96;31233;10538;10544;155;-146;-9999;125;-18;-10964
nan;96;31235;10352;10819;199;742;-10372;-160;-48;-10454
nan;96;31237;11525;11415;149;797;-11230;-356;-37;-11015
nan;96;31239;7069;6904;140;465;-6853;-502;-28;-6792
nan;96;31241;4423;5267;122;454;-4954;-407;-36;-5273
nan;96;31243;2916;4098;129;449;-4047;-189;6;-4390
nan;96;31245;-2914;-2391;113;355;1317;-200;-66;2067
nan;96;31247;-7169;-6801;45;320;5293;-271;-4;6809
nan;96;31249;-8564;-8923;0;193;7156;-103;-6;9147
nan;96;31251;-11323;-12322;-61;41;8702;-33;-75;12317
nan;96;31253;-17955;-19046;-78;-282;16388;190;-111;18679
nan;96;31255;-21450;-22766;-118;-214;25519;427;-93;22361
nan;96;31257;-17906;-18735;-153;-65;21853;284;-79;18668
nan;96;31259;-8327;-8320;-144;91;8621;36;-39;8700
nan;96;31261;-3169;-3296;-69;261;1742;-74;-10;3528
