TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  18:20:31.040524 ;96.0;16047.0;-12776.0;13728.0;-390.0;10515.0;13065.0;14253.0;-29.0;-11761.0
;96.0;16049.0;-8444.0;12646.0;-272.0;6607.0;9907.0;12562.0;-158.0;-10544.0
;96.0;16051.0;-14547.0;18495.0;340.0;11697.0;15151.0;19679.0;-208.0;-14628.0
;96.0;16053.0;-20991.0;18733.0;504.0;18717.0;20466.0;24147.0;-89.0;-14641.0
;96.0;16055.0;-4046.0;14553.0;764.0;2762.0;2866.0;4615.0;-32.0;-11392.0
;96.0;16057.0;-10769.0;9862.0;1300.0;8703.0;8844.0;11606.0;-34.0;-6893.0
;96.0;16059.0;-13278.0;7874.0;984.0;11081.0;11816.0;16502.0;39.0;-4452.0
;96.0;16061.0;-4710.0;2646.0;-25.0;3554.0;4476.0;8573.0;56.0;-952.0
;96.0;16063.0;8366.0;-4768.0;-1270.0;-8905.0;-7018.0;-5598.0;-45.0;4818.0
;96.0;16065.0;3570.0;-9061.0;-1405.0;-3785.0;-2819.0;-3704.0;20.0;8957.0
;96.0;16067.0;16056.0;-12249.0;-1058.0;-15177.0;-16908.0;-18013.0;162.0;10496.0
;96.0;16069.0;10250.0;-14603.0;-355.0;-10237.0;-12730.0;-14785.0;307.0;12127.0
;96.0;16071.0;-911.0;-19306.0;529.0;1347.0;-1739.0;-5219.0;430.0;15313.0
;96.0;16073.0;17507.0;-16362.0;750.0;-15549.0;-18556.0;-22919.0;388.0;12263.0
;96.0;16075.0;15921.0;-14661.0;521.0;-14000.0;-15460.0;-20885.0;102.0;10766.0
;96.0;16077.0;8646.0;-11176.0;661.0;-6417.0;-5067.0;-11119.0;-270.0;7997.0
;96.0;16079.0;10345.0;-7759.0;947.0;-8079.0;-3991.0;-7847.0;-397.0;4502.0
;96.0;16081.0;1472.0;-1341.0;866.0;-269.0;3338.0;2631.0;-194.0;64.0
;96.0;16083.0;-499.0;5020.0;548.0;1134.0;3341.0;3543.0;11.0;-5114.0
;96.0;16085.0;-3338.0;9154.0;457.0;-7247.0;6501.0;3916.0;-1461.0;-14469.0
;96.0;16087.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;16089.0;-1149.0;8151.0;-12080.0;-2113.0;13574.0;11451.0;-885.0;-13265.0
;96.0;16091.0;-1748.0;6033.0;-10796.0;-1236.0;12847.0;10560.0;-807.0;-11480.0
;96.0;16093.0;8620.0;457.0;-9560.0;-11832.0;383.0;-2013.0;-578.0;-7799.0
;96.0;16095.0;5185.0;-3717.0;-8341.0;-8667.0;982.0;-2187.0;-495.0;-4291.0
;96.0;16097.0;2134.0;-8131.0;-7327.0;-6083.0;1169.0;-3717.0;-426.0;-1364.0
;96.0;16099.0;94.0;-8341.0;-6431.0;-3950.0;1926.0;-3459.0;-411.0;-517.0
;96.0;16101.0;3439.0;-8982.0;-5595.0;-7020.0;-2041.0;-6789.0;-414.0;-114.0
;96.0;16103.0;10716.0;-14288.0;-4858.0;-14791.0;-11353.0;-15970.0;-374.0;3334.0
;96.0;16105.0;10465.0;-11712.0;-4356.0;-13966.0;-11250.0;-14814.0;-292.0;2584.0
;96.0;16107.0;5185.0;-9004.0;-4090.0;-8282.0;-5368.0;-7203.0;-215.0;1541.0
;96.0;16109.0;5394.0;-7835.0;-3715.0;-8208.0;-4566.0;-5353.0;-226.0;1160.0
;96.0;16111.0;2143.0;-4650.0;-3274.0;-4342.0;-556.0;-1827.0;-179.0;-486.0
;96.0;16113.0;1045.0;557.0;-3055.0;-2321.0;1567.0;-262.0;-173.0;-2690.0
;96.0;16115.0;-6278.0;3537.0;-2808.0;5534.0;9240.0;7259.0;-195.0;-3825.0
;96.0;16117.0;1922.0;9572.0;-2390.0;-1522.0;2492.0;1123.0;-215.0;-7630.0
;96.0;16119.0;-917.0;8013.0;-2233.0;1669.0;4985.0;4486.0;-162.0;-6022.0
;96.0;16121.0;-2348.0;10635.0;-2022.0;3576.0;6156.0;6482.0;-94.0;-7102.0
;96.0;16123.0;-9397.0;14315.0;-1669.0;11179.0;13290.0;14632.0;-98.0;-8614.0
;96.0;16125.0;-11684.0;11833.0;-1414.0;13067.0;14950.0;16807.0;-130.0;-7278.0
;96.0;16127.0;-3460.0;10281.0;-1242.0;4572.0;6558.0;7867.0;-61.0;-6853.0
;96.0;16129.0;1589.0;7645.0;-1081.0;-708.0;784.0;791.0;-7.0;-4720.0
;96.0;16131.0;-5889.0;3478.0;-985.0;6021.0;6935.0;5825.0;-12.0;-1935.0
;96.0;16133.0;-3319.0;470.0;-712.0;2701.0;3254.0;2513.0;-41.0;-1131.0
;96.0;16135.0;6591.0;-3589.0;-536.0;-7595.0;-7285.0;-8269.0;-84.0;1475.0
;96.0;16137.0;3525.0;-8479.0;-288.0;-5244.0;-5082.0;-6963.0;-62.0;4362.0
;96.0;16139.0;5247.0;-9058.0;-191.0;-6932.0;-7025.0;-9790.0;-129.0;4450.0
;96.0;16141.0;-796.0;-10451.0;-394.0;-1079.0;-2385.0;-6057.0;-148.0;4878.0
;96.0;16143.0;15321.0;-14044.0;-486.0;-17699.0;-20102.0;-24019.0;-34.0;6719.0
;96.0;16145.0;3385.0;-12978.0;-893.0;-5664.0;-8005.0;-11312.0;-14.0;7181.0
;96.0;16147.0;-581.0;-8857.0;-1117.0;-1094.0;-2291.0;-4519.0;-26.0;4541.0
;96.0;16149.0;2903.0;-7064.0;-1084.0;-4214.0;-4685.0;-5944.0;43.0;3050.0
;96.0;16151.0;2859.0;-4546.0;-964.0;-3752.0;-4678.0;-5107.0;-18.0;1957.0
;96.0;16153.0;-3147.0;846.0;-821.0;3060.0;1929.0;1879.0;-43.0;-613.0
;96.0;16155.0;857.0;4572.0;-732.0;-386.0;-1849.0;-741.0;7.0;-2874.0
;96.0;16157.0;-1803.0;8410.0;-626.0;2978.0;1512.0;3264.0;37.0;-4990.0
;96.0;16159.0;-1293.0;7944.0;-479.0;2633.0;1167.0;2450.0;67.0;-4496.0
;96.0;16161.0;-11603.0;10452.0;-354.0;12859.0;11905.0;13454.0;44.0;-5270.0
;96.0;16163.0;-10301.0;15132.0;-315.0;12486.0;12168.0;14625.0;-14.0;-8143.0
;96.0;16165.0;-9150.0;12103.0;-190.0;11037.0;11098.0;13650.0;-37.0;-6550.0
;96.0;16167.0;1321.0;9334.0;-80.0;444.0;1049.0;2714.0;-110.0;-5286.0
;96.0;16169.0;-5280.0;6737.0;162.0;6699.0;7057.0;8133.0;-54.0;-3083.0
;96.0;16171.0;-7187.0;3962.0;428.0;7913.0;8091.0;8434.0;12.0;-1935.0
;96.0;16173.0;-1224.0;-468.0;410.0;1443.0;806.0;-346.0;25.0;-131.0
