TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  18:51:32.862958 ;96.0;34117.0;1.0;-11720.0;625.0;460.0;-3723.0;-4868.0;61.0;8391.0
;96.0;34119.0;13091.0;-14166.0;463.0;-11032.0;-15843.0;-17866.0;-63.0;8121.0
;96.0;34121.0;15586.0;-18656.0;207.0;-14276.0;-17681.0;-20179.0;-200.0;11536.0
;96.0;34123.0;8744.0;-12216.0;79.0;-7820.0;-9146.0;-10434.0;-307.0;6324.0
;96.0;34125.0;12551.0;-10253.0;30.0;-11668.0;-12176.0;-13142.0;-267.0;4710.0
;96.0;34127.0;10068.0;-7837.0;-102.0;-9490.0;-8825.0;-10101.0;-170.0;2810.0
;96.0;34129.0;4749.0;-2346.0;-149.0;-4659.0;-3601.0;-4899.0;-119.0;-401.0
;96.0;34131.0;2641.0;4069.0;-221.0;-2711.0;-1379.0;-2638.0;-122.0;-4380.0
;96.0;34133.0;-1108.0;5836.0;-202.0;313.0;3232.0;3130.0;-161.0;-5491.0
;96.0;34135.0;-13684.0;10962.0;-149.0;11939.0;16281.0;17258.0;-92.0;-7663.0
;96.0;34137.0;-3367424.0;1588992.0;5228288.0;4182783.0;-321537.0;-4396032.0;0.0;0.0
;96.0;34139.0;-52916.0;-11180.0;-4083.0;48120.0;28931.0;26535.0;-13733.0;-1531.0
;96.0;34141.0;-37650.0;-9146.0;-3931.0;34165.0;17361.0;15092.0;-11878.0;-2494.0
;96.0;34143.0;-12341.0;-6370.0;-3974.0;10131.0;-3743.0;-4625.0;-10259.0;-4904.0
;96.0;34145.0;26691.0;50.0;-3813.0;-27857.0;-38201.0;-37969.0;-8900.0;-9668.0
;96.0;34147.0;47183.0;-702.0;-3449.0;-48943.0;-56347.0;-55883.0;-7815.0;-7741.0
;96.0;34149.0;49821.0;2454.0;-3233.0;-51808.0;-56011.0;-54909.0;-6808.0;-9924.0
;96.0;34151.0;59108.0;5907.0;-2995.0;-60880.0;-63176.0;-61894.0;-6014.0;-10987.0
;96.0;34153.0;44156.0;4868.0;-2704.0;-46547.0;-48701.0;-48260.0;-5324.0;-7696.0
;96.0;34155.0;75058.0;13470.0;-2466.0;-75905.0;-74697.0;-74113.0;-4577.0;-15295.0
;96.0;34157.0;46136.0;4227.0;-2202.0;-48931.0;-48168.0;-48549.0;-4044.0;-5109.0
;96.0;34159.0;4268.0;5591.0;-2113.0;-7054.0;-8241.0;-8799.0;-3597.0;-4680.0
;96.0;34161.0;-6038.0;5586.0;-2071.0;3562.0;1772.0;1165.0;-3093.0;-4212.0
;96.0;34163.0;-31859.0;2760.0;-1857.0;28809.0;26211.0;25796.0;-2758.0;-451.0
;96.0;34165.0;-69027.0;-2280.0;-1617.0;65596.0;61826.0;61395.0;-2532.0;4110.0
;96.0;34167.0;-77740.0;-454.0;-1436.0;75774.0;70949.0;71034.0;-2304.0;2103.0
;96.0;34169.0;-92208.0;-7774.0;-1149.0;90071.0;84573.0;84308.0;-2090.0;8417.0
;96.0;34171.0;-72812.0;-759.0;-936.0;72844.0;66234.0;66650.0;-1875.0;952.0
;96.0;34173.0;-61309.0;-12853.0;-925.0;60665.0;54945.0;54408.0;-1735.0;10259.0
;96.0;34175.0;-103265.0;-12443.0;-566.0;102666.0;93765.0;93117.0;-1527.0;10141.0
;96.0;34177.0;-60174.0;-5240.0;-559.0;61926.0;53456.0;53712.0;-1229.0;2132.0
;96.0;34179.0;-19899.0;-6834.0;-617.0;21439.0;14999.0;15387.0;-1082.0;2551.0
;96.0;34181.0;-6180.0;-6155.0;-339.0;7409.0;1689.0;1708.0;-1003.0;1760.0
;96.0;34183.0;17011.0;-3773.0;-25.0;-15345.0;-19424.0;-19352.0;-873.0;-941.0
;96.0;34185.0;53517.0;2265.0;151.0;-51191.0;-52969.0;-52535.0;-687.0;-6170.0
;96.0;34187.0;69502.0;738.0;179.0;-68295.0;-68217.0;-67242.0;-553.0;-4187.0
;96.0;34189.0;87173.0;7645.0;350.0;-85924.0;-83380.0;-81091.0;-406.0;-10034.0
;96.0;34191.0;60718.0;-2765.0;306.0;-62161.0;-58145.0;-57478.0;-290.0;718.0
;96.0;34193.0;4047.0;8947.0;0.0;-5175.0;-2086.0;-1327.0;-108.0;-8000.0
;96.0;34195.0;78270.0;17680.0;-732.0;-76473.0;-70688.0;-68320.0;14.0;-16073.0
;96.0;34197.0;59011.0;5865.0;-1076.0;-60324.0;-55222.0;-54207.0;-19.0;-3720.0
;96.0;34199.0;20927.0;6758.0;-1008.0;-22314.0;-19302.0;-19233.0;-34.0;-3554.0
;96.0;34201.0;8898.0;5827.0;-894.0;-10085.0;-6515.0;-7198.0;-193.0;-2446.0
;96.0;34203.0;-14877.0;3615.0;-702.0;13327.0;16590.0;15360.0;-244.0;368.0
;96.0;34205.0;-52396.0;-2574.0;-426.0;50348.0;50081.0;48893.0;-155.0;5704.0
;96.0;34207.0;-65054.0;-696.0;-467.0;64110.0;60719.0;60821.0;-82.0;3521.0
;96.0;34209.0;-99420.0;-11677.0;-251.0;97346.0;91520.0;91314.0;-122.0;12965.0
;96.0;34211.0;-121730.0;-4730.0;202.0;121067.0;114294.0;113984.0;-31.0;5274.0
;96.0;34213.0;-92274.0;-7181.0;446.0;92652.0;86926.0;86693.0;-17.0;5948.0
;96.0;34215.0;-92174.0;-8784.0;492.0;92598.0;84756.0;84753.0;-105.0;7727.0
;96.0;34217.0;-42627.0;-5440.0;686.0;44803.0;37862.0;38338.0;-50.0;3118.0
