@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute 'Overdrive- Drive' numeric
@attribute Ch-Mix numeric
@attribute 'Rev- space' numeric
@attribute 'Rev - Mix' numeric
@attribute 'Del - Mix' numeric
@attribute 'Distorsion - Drive' numeric

@data
1,'2023/04/18 11:49:34:724',1,124.871994,2024.395752,329.308777,518.606079,128.423752,92.563454,600.680969,2352.755127,70.187828,675.68866,122.56459,182.637909,67.332169,64.540474,203.818253,891.722717,55.838078,306.980011,71.016808,95.122643,53.425789,55.349247,97.053123,536.060791,0,0,0,0,0,0
2,'2023/04/18 11:49:35:141',1,132.720917,2015.407837,309.38092,515.349854,137.383591,86.475769,579.691162,2326.611084,72.573021,649.516418,115.102562,180.65889,64.089394,62.859005,195.5681,869.10199,58.250698,266.589935,67.238716,94.646904,47.695461,54.941586,94.009888,518.676147,0,0,0,0,0,0
3,'2023/04/18 11:49:35:540',1,131.284241,2048.323242,326.300415,508.996063,128.825912,102.874733,590.558655,2335.37793,76.726212,683.861633,123.252518,178.077377,63.145794,71.755753,202.371338,881.299988,61.5681,308.19458,72.696159,89.381248,46.631809,62.242657,97.816368,525.610474,0,0,0,0,0,0
4,'2023/04/18 11:49:35:937',1,136.720703,2049.55957,309.736847,519.048706,133.948456,95.210526,591.759888,2339.094238,72.729118,677.961792,116.162567,181.498306,68.465515,72.137611,202.784119,863.773376,56.84108,301.314789,69.857018,94.718681,52.897758,62.570744,98.588326,504.230164,0,0,0,0,0,0
5,'2023/04/18 11:49:36:341',1,130.485016,2045.401978,315.007477,520.796265,140.66684,86.534843,606.192749,2353.006592,70.664276,665.253052,112.966721,177.955505,69.317276,62.887852,204.011429,859.873291,55.918663,271.772797,61.040073,87.049156,52.629711,55.037117,95.689163,491.978699,0,0,0,0,0,0
6,'2023/04/18 11:49:36:733',1,126.800491,2024.51001,320.810181,520.44696,132.458496,98.240204,605.608032,2340.700684,71.63385,661.311951,118.752647,178.4897,66.123116,70.02729,202.12558,866.010315,58.00386,273.760468,67.612801,88.66996,50.164932,60.949886,89.67276,509.582489,0,0,0,0,0,0
7,'2023/04/18 11:49:37:163',1,127.046638,2027.865845,319.431946,519.397583,138.791077,88.595131,587.405212,2356.891357,70.459152,662.845032,116.185936,178.326263,67.132401,66.39254,196.553467,867.290771,56.764023,275.006287,63.931763,89.355995,49.743973,57.651814,88.93367,501.80658,0,0,0,0,0,0
8,'2023/04/18 11:49:37:593',1,132.397766,2014.403076,321.37262,524.784912,134.739578,103.70417,595.795898,2340.855469,70.115944,660.267334,116.366997,183.183395,66.273872,69.058754,199.59111,876.153015,54.423832,279.452057,65.054352,94.366142,50.502968,58.110485,90.42112,511.768036,0,0,0,0,0,0
9,'2023/04/18 11:49:38:022',1,127.55407,1998.295776,314.402802,506.84021,121.922821,93.341896,586.416382,2320.73999,69.211273,648.922913,116.03537,176.629074,61.328945,64.035896,200.425308,864.687134,54.769855,267.381317,68.121262,91.917793,46.773243,56.084099,98.061722,516.569763,0,0,0,0,0,0
10,'2023/04/18 11:49:38:409',1,132.600632,2028.667969,300.275146,526.583435,131.563873,88.794907,597.649841,2385.402588,67.603027,664.396362,110.403732,182.102142,62.636559,63.687492,205.152161,895.464478,51.528778,276.953644,62.712654,91.969536,45.805958,55.110321,99.776413,525.679626,0,0,0,0,0,0
11,'2023/04/18 11:49:38:815',1,131.712555,2042.758545,321.262268,510.26709,143.046219,101.553909,597.530396,2347.453125,73.869286,660.719604,113.51387,174.730698,70.529587,67.87999,201.104828,876.360962,58.797012,267.586853,60.790077,87.505951,54.252384,57.188763,93.604721,524.640259,0,0,0,0,0,0
12,'2023/04/18 11:49:39:250',1,126.827515,2037.283081,324.529388,520.07135,128.807816,95.847672,590.447083,2342.592773,71.707497,661.471802,116.897774,179.015945,65.303375,70.127876,200.717194,869.249084,56.485325,267.028992,65.389503,89.889999,49.179672,61.260784,95.247803,513.615173,0,0,0,0,0,0
