@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
1,'2023/03/30 14:04:27:185',1,0.649231,0.852308,0.569231,0.606154,0.006414,0.005134,0.005681,0.003713,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
2,'2023/03/30 14:04:27:684',1,0.673846,0.673846,0.581538,0.575385,0.008633,0.007779,0.005895,0.003217,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
3,'2023/03/30 14:04:28:184',1,0.68,0.809231,0.661538,0.550769,0.006313,0.005205,0.006434,0.004008,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
4,'2023/03/30 14:04:28:686',1,0.618462,0.686154,0.618462,0.550769,0.008035,0.007259,0.004657,0.004226,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
5,'2023/03/30 14:04:29:188',1,0.593846,0.809231,0.643077,0.532308,0.007534,0.006418,0.005092,0.003992,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
6,'2023/03/30 14:04:29:686',1,0.630769,0.76,0.655385,0.544615,0.007626,0.006727,0.003762,0.004127,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
7,'2023/03/30 14:04:30:190',1,0.716923,0.772308,0.569231,0.606154,0.007946,0.006861,0.003725,0.003907,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
8,'2023/03/30 14:04:30:690',1,0.68,0.716923,0.661538,0.544615,0.00697,0.005882,0.003969,0.00436,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
9,'2023/03/30 14:04:31:190',1,0.532308,0.606154,0.556923,0.550769,0.009246,0.0082,0.003603,0.003911,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
10,'2023/03/30 14:04:31:692',1,0.649231,0.741538,0.606154,0.556923,0.007034,0.005809,0.0051,0.003702,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
11,'2023/03/30 14:04:32:194',1,0.698462,0.753846,0.673846,0.550769,0.008289,0.007339,0.006886,0.004081,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
12,'2023/03/30 14:04:32:697',1,0.636923,0.747692,0.667692,0.538462,0.006573,0.005574,0.00782,0.004708,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
13,'2023/03/30 14:04:33:196',1,0.741538,0.803077,0.772308,0.544615,0.009,0.008473,0.006417,0.00428,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
14,'2023/03/30 14:04:33:699',1,0.741538,0.778462,0.569231,0.52,0.007117,0.006229,0.00662,0.004146,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
15,'2023/03/30 14:04:34:198',1,0.673846,0.698462,0.673846,0.495385,0.011958,0.010549,0.01104,0.008375,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
16,'2023/03/30 14:04:34:698',1,0.729231,0.729231,0.593846,0.575385,0.009694,0.011437,0.006074,0.011637,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
17,'2023/03/30 14:04:35:198',1,0.606154,0.753846,0.550769,0.587692,0.020086,0.015533,0.00274,0.014045,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
18,'2023/03/30 14:04:35:701',1,0.581538,0.704615,0.643077,0.575385,0.015883,0.010911,0.003487,0.011966,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
19,'2023/03/30 14:04:36:202',1,0.76,0.889231,0.649231,0.618462,0.010033,0.009167,0.003598,0.010331,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
20,'2023/03/30 14:04:36:702',1,0.686154,0.778462,0.581538,0.581538,0.015066,0.012274,0.00374,0.007924,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
21,'2023/03/30 14:04:37:206',1,0.667692,0.716923,0.6,0.513846,0.028534,0.014641,0.002965,0.007774,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
22,'2023/03/30 14:04:37:703',1,0.729231,0.661538,0.655385,0.6,0.012199,0.012602,0.003404,0.010114,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
23,'2023/03/30 14:04:38:206',1,0.716923,0.84,0.556923,0.544615,0.012783,0.013075,0.006397,0.009909,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
24,'2023/03/30 14:04:38:705',1,0.772308,0.772308,0.636923,0.550769,0.011924,0.013247,0.005138,0.009605,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
25,'2023/03/30 14:04:39:207',1,0.649231,0.710769,0.544615,0.532308,0.014856,0.014981,0.004277,0.009841,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
26,'2023/03/30 14:04:39:710',1,0.667692,0.778462,0.624615,0.593846,0.0119,0.011534,0.004054,0.009686,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
27,'2023/03/30 14:04:40:210',1,0.636923,0.624615,0.612308,0.6,0.013518,0.013758,0.006275,0.010795,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
28,'2023/03/30 14:04:40:710',1,0.698462,0.698462,0.636923,0.606154,0.01035,0.010401,0.004516,0.00878,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
29,'2023/03/30 14:04:41:211',1,0.76,0.772308,0.593846,0.575385,0.014766,0.017139,0.004653,0.010186,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
30,'2023/03/30 14:04:41:712',1,0.710769,0.692308,0.581538,0.556923,0.017537,0.017194,0.003152,0.00974,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
