TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  13:44:44.295360 ;96;57007;-3027;3764;-13731;-5532;-1454;-6911;1364;-9337
;96;57009;-2960;3351;-12200;-6339;-892;-7289;1214;-8043
;96;57011;-1159;2824;-10878;-5741;-922;-5205;1111;-7481
;96;57013;586;2182;-9626;-6139;-413;-4426;970;-6960
;96;57015;1918;1551;-8491;-6643;193;-2917;612;-6319
;96;57017;2453;1378;-7523;-6331;677;-820;279;-5692
;96;57019;2558;492;-6719;-4830;1263;911;232;-5181
;96;57021;3252;1042;-5999;-3621;885;1551;464;-5036
;96;57023;4597;1377;-5306;-4567;98;1882;515;-4559
;96;57025;4603;1602;-4746;-6092;105;1590;391;-4118
;96;57027;3308;1357;-4248;-4676;-116;1060;118;-3681
;96;57029;10;1086;-3806;-1778;274;584;-9;-3230
;96;57031;321;1423;-3403;-2633;979;-1663;64;-2884
;96;57033;187;1432;-2976;-5642;576;-4506;107;-2430
;96;57035;-478;1064;-2699;-5357;-206;-6107;135;-1763
;96;57037;926;626;-2394;-4477;-916;-6728;129;-1246
;96;57039;443;394;-2095;-2045;-900;-5442;116;-954
;96;57041;-916;442;-1861;-263;-248;-4549;295;-546
;96;57043;-1702;578;-1673;489;-172;-4012;306;-300
;96;57045;-1393;295;-1382;1024;-299;-3484;120;-241
;96;57047;-1855;-154;-1134;1564;-359;-2913;124;-300
;96;57049;-1504;-15;-1121;2540;366;-2834;187;-307
;96;57051;88;189;-1013;2419;902;-1611;152;-383
;96;57053;2560;438;-961;-416;616;351;215;-837
;96;57055;2902;310;-883;-1948;752;1772;171;-742
;96;57057;1551;-30;-715;-1487;616;2524;14;-836
;96;57059;-1160;-54;-625;437;922;4224;-118;-682
;96;57061;-1133;570;-575;-759;152;2821;-6;-1409
;96;57063;1321;444;-578;-3870;-998;-101;135;-1078
;96;57065;-107;-267;-544;-1676;-801;1501;236;-607
;96;57067;-429;-246;-479;-2350;-175;2601;219;-993
;96;57069;-262;-8;-414;-3333;-6;3049;10;-801
;96;57071;-53;176;-414;-2959;-146;2120;-233;-421
;96;57073;194;463;-353;-4512;47;316;-134;-149
;96;57075;268;-150;-220;-3985;431;-391;30;50
;96;57077;1442;-131;-144;-3324;539;-876;110;142
