TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  13:08:34.104858 ;96.0;22393.0;-13777.0;-5885.0;-3541.0;8.0;-797.0;-10354.0;0.0;0.0
;96.0;22395.0;710.0;-3659.0;-13592.0;-6277.0;-9113.0;-6643.0;-841.0;-7437.0
;96.0;22397.0;1603.0;-3138.0;-11711.0;-6348.0;-9125.0;-7578.0;-846.0;-6417.0
;96.0;22399.0;1891.0;-2600.0;-9936.0;-6149.0;-7552.0;-6005.0;-762.0;-5486.0
;96.0;22401.0;1808.0;-2202.0;-8419.0;-6149.0;-6258.0;-4945.0;-645.0;-4860.0
;96.0;22403.0;1994.0;-2031.0;-7130.0;-6579.0;-6757.0;-6073.0;-495.0;-4118.0
;96.0;22405.0;1477.0;-2095.0;-6054.0;-5338.0;-5239.0;-4955.0;-393.0;-3731.0
;96.0;22407.0;538.0;-1453.0;-5326.0;-3520.0;-3210.0;-2588.0;-357.0;-4056.0
;96.0;22409.0;-125.0;-966.0;-4679.0;-2218.0;-2168.0;-1429.0;-291.0;-3927.0
;96.0;22411.0;-635.0;-662.0;-4152.0;-1104.0;-1368.0;-1351.0;-271.0;-3762.0
;96.0;22413.0;-1350.0;-764.0;-3942.0;224.0;86.0;-114.0;-261.0;-3586.0
;96.0;22415.0;-1140.0;-566.0;-3875.0;-80.0;892.0;847.0;-161.0;-3650.0
;96.0;22417.0;-1628.0;-873.0;-3867.0;46.0;1073.0;1504.0;-190.0;-3351.0
;96.0;22419.0;-2089.0;-750.0;-3739.0;238.0;687.0;1598.0;-120.0;-2822.0
;96.0;22421.0;-1207.0;-636.0;-3429.0;-519.0;611.0;1965.0;-108.0;-2580.0
;96.0;22423.0;-1628.0;-850.0;-3041.0;201.0;2203.0;4154.0;-85.0;-2662.0
;96.0;22425.0;-1340.0;-604.0;-2718.0;331.0;1158.0;2791.0;44.0;-2228.0
;96.0;22427.0;-93.0;-816.0;-2340.0;-792.0;-1527.0;-544.0;41.0;-1234.0
;96.0;22429.0;-35.0;-970.0;-2044.0;-687.0;-2066.0;-1066.0;-1.0;-813.0
;96.0;22431.0;483.0;-927.0;-1918.0;-846.0;-2408.0;-2063.0;-80.0;-470.0
;96.0;22433.0;411.0;-825.0;-2052.0;-415.0;-2141.0;-2785.0;-154.0;-1.0
;96.0;22435.0;580.0;-667.0;-1875.0;-791.0;-2647.0;-3450.0;-143.0;299.0
;96.0;22437.0;191.0;-520.0;-1506.0;-749.0;-2750.0;-3314.0;-137.0;495.0
;96.0;22439.0;1003.0;-136.0;-1115.0;-1407.0;-3218.0;-3813.0;-67.0;78.0
;96.0;22441.0;748.0;-287.0;-1270.0;-930.0;-3370.0;-4316.0;25.0;551.0
;96.0;22443.0;411.0;-385.0;-1677.0;-429.0;-3675.0;-4937.0;34.0;678.0
;96.0;22445.0;-399.0;-339.0;-1670.0;340.0;-2167.0;-3212.0;8.0;350.0
;96.0;22447.0;-8.0;334.0;-1293.0;106.0;-715.0;-1249.0;14.0;-689.0
;96.0;22449.0;2326.0;364.0;-707.0;-1819.0;-1844.0;-1716.0;32.0;-808.0
;96.0;22451.0;728.0;26.0;-119.0;-128.0;463.0;1082.0;107.0;-579.0
;96.0;22453.0;-440.0;24.0;285.0;616.0;1959.0;2843.0;147.0;-1107.0
;96.0;22455.0;-739.0;198.0;564.0;559.0;2533.0;3494.0;89.0;-1443.0
