TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  13:48:33.650738 ;96.0;44855.0;1164.0;-198.0;-507.0;-798.0;-949.0;-4150.0;168.0;1075.0
;96.0;44857.0;430.0;-145.0;-141.0;449.0;-707.0;-2552.0;25.0;586.0
;96.0;44859.0;-332.0;-83.0;120.0;1116.0;-231.0;-673.0;-134.0;143.0
;96.0;44861.0;-123.0;300.0;229.0;1095.0;128.0;472.0;-184.0;-22.0
;96.0;44863.0;842.0;500.0;384.0;698.0;536.0;1883.0;-186.0;-220.0
;96.0;44865.0;758.0;206.0;579.0;21.0;441.0;1895.0;-385.0;-548.0
;96.0;44867.0;-2.0;125.0;716.0;-801.0;463.0;2145.0;-444.0;-613.0
;96.0;44869.0;-554.0;-189.0;577.0;-965.0;621.0;2458.0;-275.0;-472.0
;96.0;44871.0;-1524.0;50.0;361.0;309.0;839.0;2959.0;-222.0;-302.0
;96.0;44873.0;117.0;207.0;35.0;426.0;772.0;3091.0;-284.0;-576.0
;96.0;44875.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;44877.0;787.0;-1073.0;-12219.0;-7557.0;870.0;-7536.0;150.0;-8530.0
;96.0;44879.0;923.0;-785.0;-10809.0;-7130.0;391.0;-7755.0;136.0;-7585.0
;96.0;44881.0;726.0;-1036.0;-9694.0;-6047.0;359.0;-6873.0;89.0;-6426.0
;96.0;44883.0;587.0;-764.0;-8679.0;-4856.0;-215.0;-6667.0;63.0;-5668.0
;96.0;44885.0;833.0;-693.0;-7724.0;-4183.0;-737.0;-6489.0;38.0;-4749.0
;96.0;44887.0;605.0;-557.0;-6895.0;-3536.0;8.0;-4293.0;-23.0;-4614.0
;96.0;44889.0;282.0;-468.0;-6022.0;-2816.0;613.0;-2114.0;-113.0;-4410.0
;96.0;44891.0;-893.0;-540.0;-5256.0;-1240.0;1190.0;-416.0;-55.0;-4153.0
;96.0;44893.0;-436.0;-150.0;-4676.0;-1551.0;1357.0;-292.0;31.0;-4107.0
;96.0;44895.0;-757.0;-285.0;-4169.0;-1219.0;2353.0;596.0;89.0;-3634.0
;96.0;44897.0;-1069.0;13.0;-3710.0;-731.0;3039.0;1689.0;175.0;-3585.0
;96.0;44899.0;-565.0;-175.0;-3235.0;-487.0;2406.0;1700.0;213.0;-3247.0
;96.0;44901.0;-284.0;-123.0;-2878.0;-543.0;1960.0;1458.0;104.0;-2928.0
;96.0;44903.0;175.0;-78.0;-2493.0;-1067.0;2036.0;2119.0;28.0;-2593.0
;96.0;44905.0;-236.0;-173.0;-2193.0;-767.0;1936.0;2447.0;-6.0;-2362.0
;96.0;44907.0;-1084.0;-108.0;-2024.0;62.0;1595.0;2092.0;-18.0;-1651.0
;96.0;44909.0;1491.0;451.0;-1799.0;-2844.0;-455.0;-750.0;31.0;-1606.0
;96.0;44911.0;3153.0;-212.0;-1604.0;-4952.0;-1761.0;-3583.0;-7.0;-887.0
;96.0;44913.0;668.0;-613.0;-1473.0;-2410.0;-617.0;-2764.0;2.0;-229.0
;96.0;44915.0;175.0;-285.0;-1413.0;-1903.0;-775.0;-2711.0;12.0;-165.0
;96.0;44917.0;478.0;-284.0;-1272.0;-2273.0;-1619.0;-3452.0;10.0;176.0
;96.0;44919.0;56.0;-668.0;-1079.0;-1806.0;-1195.0;-2887.0;90.0;382.0
;96.0;44921.0;-710.0;-566.0;-900.0;-1454.0;-725.0;-2059.0;80.0;244.0
;96.0;44923.0;244.0;-290.0;-784.0;-2333.0;-1836.0;-3296.0;107.0;272.0
;96.0;44925.0;805.0;-358.0;-707.0;-2485.0;-1225.0;-3184.0;129.0;387.0
;96.0;44927.0;297.0;-155.0;-635.0;-1594.0;987.0;-868.0;101.0;54.0
;96.0;44929.0;1021.0;67.0;-489.0;-1926.0;580.0;-569.0;70.0;-490.0
;96.0;44931.0;59.0;-253.0;-412.0;-553.0;1624.0;708.0;6.0;-413.0
;96.0;44933.0;-593.0;39.0;-390.0;399.0;2813.0;2096.0;39.0;-632.0
;96.0;44935.0;-411.0;128.0;-368.0;471.0;2552.0;2386.0;56.0;-892.0
;96.0;44937.0;-23.0;135.0;-290.0;211.0;2027.0;2924.0;59.0;-920.0
;96.0;44939.0;-20.0;165.0;-276.0;86.0;1857.0;3530.0;39.0;-845.0
;96.0;44941.0;96.0;385.0;-264.0;143.0;1867.0;3117.0;6.0;-1001.0
;96.0;44943.0;-385.0;161.0;-229.0;778.0;2072.0;3453.0;-69.0;-962.0
;96.0;44945.0;-1206.0;6.0;-203.0;1818.0;1749.0;3357.0;-77.0;-977.0
;96.0;44947.0;-150.0;212.0;-150.0;776.0;84.0;720.0;-70.0;-498.0
;96.0;44949.0;507.0;26.0;-161.0;-178.0;-346.0;-537.0;-85.0;188.0
;96.0;44951.0;1088.0;51.0;-126.0;-987.0;-301.0;-809.0;29.0;122.0
;96.0;44953.0;1727.0;-97.0;-64.0;-1596.0;-682.0;-1897.0;127.0;392.0
;96.0;44955.0;563.0;-447.0;-11.0;-548.0;-1028.0;-2532.0;222.0;785.0
;96.0;44957.0;-1137.0;-510.0;-15.0;978.0;-1132.0;-2427.0;209.0;1128.0
;96.0;44959.0;-216.0;136.0;-63.0;39.0;-2033.0;-3398.0;170.0;532.0
;96.0;44961.0;1576.0;-300.0;-183.0;-1633.0;-2749.0;-5199.0;68.0;759.0
;96.0;44963.0;-378.0;-391.0;-291.0;487.0;-2336.0;-4344.0;-22.0;1081.0
;96.0;44965.0;-285.0;-200.0;-247.0;626.0;-2153.0;-3812.0;-74.0;891.0
;96.0;44967.0;-863.0;-326.0;-147.0;1629.0;-949.0;-1775.0;-78.0;345.0
;96.0;44969.0;-1306.0;-201.0;-69.0;2465.0;-122.0;-357.0;-36.0;-75.0
;96.0;44971.0;-837.0;11.0;-48.0;1924.0;496.0;747.0;-52.0;-362.0
;96.0;44973.0;-40.0;121.0;14.0;807.0;953.0;1873.0;-94.0;-592.0
;96.0;44975.0;259.0;408.0;3.0;75.0;934.0;2278.0;-7.0;-842.0
;96.0;44977.0;9.0;217.0;0.0;-412.0;1186.0;2756.0;72.0;-869.0
;96.0;44979.0;-688.0;137.0;13.0;-292.0;1517.0;3202.0;76.0;-720.0
;96.0;44981.0;-201.0;277.0;32.0;-780.0;1118.0;3036.0;66.0;-692.0
;96.0;44983.0;242.0;293.0;15.0;-876.0;1153.0;3502.0;57.0;-912.0
;96.0;44985.0;262.0;59.0;-17.0;-593.0;1236.0;3660.0;7.0;-700.0
;96.0;44987.0;692.0;94.0;-25.0;-786.0;344.0;2116.0;-95.0;-303.0
;96.0;44989.0;1267.0;-35.0;51.0;-1218.0;-748.0;156.0;-51.0;-50.0
;96.0;44991.0;749.0;-215.0;3.0;-896.0;-1245.0;-989.0;-13.0;179.0
;96.0;44993.0;220.0;-89.0;-18.0;-639.0;-1137.0;-2113.0;9.0;523.0
;96.0;44995.0;631.0;60.0;-45.0;-1110.0;-897.0;-2938.0;48.0;694.0
;96.0;44997.0;1139.0;-129.0;-111.0;-1732.0;-1411.0;-3592.0;1.0;836.0
;96.0;44999.0;632.0;-243.0;-78.0;-979.0;-610.0;-2686.0;16.0;948.0
;96.0;45001.0;639.0;-163.0;-84.0;-562.0;-300.0;-1817.0;-64.0;744.0
;96.0;45003.0;700.0;-267.0;-62.0;-492.0;-1537.0;-2756.0;-14.0;874.0
;96.0;45005.0;591.0;-319.0;5.0;39.0;-1716.0;-3095.0;38.0;887.0
;96.0;45007.0;-1851.0;-366.0;58.0;2703.0;105.0;-40.0;87.0;545.0
;96.0;45009.0;-1738.0;419.0;19.0;2596.0;-99.0;719.0;21.0;-440.0
;96.0;45011.0;771.0;438.0;-47.0;6.0;-1014.0;-1075.0;14.0;-489.0
;96.0;45013.0;-423.0;12.0;-25.0;712.0;1088.0;1164.0;53.0;-156.0
;96.0;45015.0;-941.0;217.0;-12.0;617.0;1557.0;2357.0;-60.0;-557.0
;96.0;45017.0;-1135.0;286.0;-48.0;319.0;1449.0;2854.0;-69.0;-737.0
;96.0;45019.0;-750.0;297.0;67.0;-80.0;1251.0;2260.0;-22.0;-710.0
;96.0;45021.0;-57.0;361.0;106.0;-316.0;1807.0;2540.0;-53.0;-608.0
;96.0;45023.0;1134.0;430.0;0.0;-934.0;2209.0;3761.0;-71.0;-762.0
;96.0;45025.0;1589.0;290.0;3.0;-1380.0;1612.0;3135.0;-121.0;-937.0
;96.0;45027.0;756.0;-226.0;47.0;-561.0;640.0;1119.0;-112.0;-264.0
;96.0;45029.0;573.0;-34.0;39.0;-296.0;-263.0;-253.0;-136.0;140.0
;96.0;45031.0;835.0;-94.0;2.0;-510.0;-1090.0;-1673.0;-79.0;473.0
;96.0;45033.0;202.0;-175.0;-121.0;-179.0;-1160.0;-2028.0;-23.0;647.0
;96.0;45035.0;-455.0;-53.0;-136.0;-40.0;-1055.0;-2105.0;19.0;717.0
;96.0;45037.0;-624.0;-200.0;-24.0;-84.0;-1126.0;-2393.0;20.0;906.0
;96.0;45039.0;-1168.0;-246.0;27.0;79.0;-1028.0;-2269.0;77.0;858.0
;96.0;45041.0;-1598.0;-292.0;19.0;490.0;-1195.0;-2816.0;42.0;671.0
;96.0;45043.0;-897.0;-158.0;-9.0;418.0;-1899.0;-4032.0;61.0;766.0
;96.0;45045.0;100.0;-192.0;-1.0;-143.0;-1743.0;-3637.0;124.0;847.0
;96.0;45047.0;-500.0;-174.0;29.0;594.0;-269.0;-877.0;112.0;400.0
;96.0;45049.0;-14.0;255.0;39.0;-92.0;13.0;7.0;-39.0;-170.0
;96.0;45051.0;-12.0;173.0;114.0;-343.0;526.0;934.0;-20.0;-234.0
;96.0;45053.0;-5.0;379.0;124.0;-362.0;908.0;2009.0;26.0;-620.0
;96.0;45055.0;259.0;310.0;56.0;-521.0;857.0;2240.0;16.0;-862.0
