TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  13:58:34.350965 ;96.0;15181.0;-3005.0;-468.0;-56.0;-462.0;-598.0;-3163.0;33.0;529.0
;96.0;15183.0;-3503.0;-257.0;-97.0;-70.0;-502.0;-2053.0;31.0;452.0
;96.0;15185.0;-3447.0;-42.0;-41.0;369.0;-676.0;-2927.0;15.0;334.0
;96.0;15187.0;-2739.0;-136.0;-5.0;1052.0;-394.0;-2441.0;77.0;569.0
;96.0;15189.0;-2444.0;78.0;-49.0;1022.0;-204.0;-1507.0;55.0;592.0
;96.0;15191.0;-690.0;294.0;-10.0;-459.0;-339.0;-2699.0;48.0;464.0
;96.0;15193.0;-1421.0;-18.0;9.0;427.0;-78.0;-1759.0;-11.0;299.0
;96.0;15195.0;-2447.0;376.0;-1.0;1477.0;-136.0;-252.0;10.0;-232.0
;96.0;15197.0;-1250.0;312.0;7.0;362.0;-208.0;309.0;-5.0;-292.0
;96.0;15199.0;-1387.0;259.0;-9.0;145.0;316.0;1674.0;-35.0;-260.0
;96.0;15201.0;327.0;216.0;-67.0;-1485.0;530.0;1940.0;-46.0;-483.0
;96.0;15203.0;1222.0;326.0;-76.0;-2444.0;706.0;2925.0;-104.0;-374.0
;96.0;15205.0;2360.0;249.0;2.0;-3136.0;216.0;1874.0;-186.0;-459.0
;96.0;15207.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;15209.0;3588.0;-2662.0;-12044.0;-19047.0;9365.0;-4860.0;740.0;-9509.0
;96.0;15211.0;4697.0;-2654.0;-10721.0;-18281.0;7086.0;-5481.0;609.0;-8580.0
;96.0;15213.0;2699.0;-2923.0;-9518.0;-14743.0;7627.0;-3915.0;543.0;-6829.0
;96.0;15215.0;-641.0;-2550.0;-8390.0;-10249.0;8979.0;-1074.0;460.0;-5769.0
;96.0;15217.0;-2344.0;-2118.0;-7466.0;-7437.0;9051.0;219.0;477.0;-5196.0
;96.0;15219.0;-3600.0;-1761.0;-6638.0;-5107.0;8884.0;999.0;426.0;-4547.0
;96.0;15221.0;-4068.0;-1415.0;-5904.0;-3611.0;8290.0;1204.0;360.0;-4041.0
;96.0;15223.0;-4189.0;-1224.0;-5228.0;-2503.0;8050.0;1852.0;273.0;-3230.0
;96.0;15225.0;-3723.0;-837.0;-4591.0;-2172.0;7891.0;2460.0;123.0;-2843.0
;96.0;15227.0;-2595.0;-842.0;-4089.0;-2837.0;6329.0;1530.0;114.0;-2808.0
;96.0;15229.0;-3049.0;-1094.0;-3659.0;-1607.0;5582.0;1195.0;184.0;-2086.0
