TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  13:15:50.407744 ;96.0;3339.0;1082.0;-672.0;-311.0;-1234.0;-2881.0;-3034.0;63.0;419.0
;96.0;3341.0;-104.0;-645.0;-232.0;-89.0;-2763.0;-4043.0;92.0;805.0
;96.0;3343.0;-464.0;-177.0;-235.0;-375.0;-2815.0;-4955.0;61.0;1030.0
;96.0;3345.0;-434.0;-279.0;-160.0;-540.0;-2620.0;-4807.0;33.0;1265.0
;96.0;3347.0;-970.0;-66.0;33.0;370.0;-1837.0;-3191.0;1.0;885.0
;96.0;3349.0;-1229.0;13.0;224.0;990.0;-1367.0;-1667.0;8.0;847.0
;96.0;3351.0;-1086.0;270.0;375.0;1063.0;-2457.0;-2335.0;27.0;989.0
;96.0;3353.0;-284.0;190.0;541.0;392.0;-2477.0;-2141.0;127.0;609.0
;96.0;3355.0;-26.0;87.0;426.0;503.0;-732.0;198.0;110.0;191.0
;96.0;3357.0;151.0;94.0;342.0;481.0;1523.0;2334.0;136.0;-65.0
;96.0;3359.0;-817.0;-7.0;19.0;1180.0;2544.0;3577.0;89.0;-446.0
;96.0;3361.0;-1383.0;-170.0;-275.0;1274.0;2293.0;3058.0;13.0;-820.0
;96.0;3363.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;3365.0;5228.0;-2889.0;-12200.0;-8066.0;3250.0;-180.0;532.0;-9303.0
;96.0;3367.0;2739.0;-2741.0;-10819.0;-5252.0;3151.0;82.0;321.0;-7636.0
;96.0;3369.0;320.0;-2429.0;-9599.0;-2504.0;3826.0;778.0;-74.0;-6516.0
;96.0;3371.0;-798.0;-2022.0;-8624.0;-1254.0;4023.0;1189.0;-505.0;-5813.0
;96.0;3373.0;-868.0;-1307.0;-7666.0;-1010.0;3088.0;649.0;-695.0;-5106.0
;96.0;3375.0;-65.0;-569.0;-6781.0;-1661.0;1233.0;-1131.0;-452.0;-4483.0
;96.0;3377.0;-143.0;-621.0;-5898.0;-1330.0;-48.0;-2457.0;-307.0;-3756.0
;96.0;3379.0;196.0;-269.0;-5206.0;-1492.0;-1804.0;-4181.0;-149.0;-3365.0
;96.0;3381.0;1134.0;-136.0;-4679.0;-2183.0;-3202.0;-5505.0;-63.0;-3059.0
;96.0;3383.0;811.0;-162.0;-4197.0;-1619.0;-2555.0;-4680.0;-89.0;-2215.0
;96.0;3385.0;947.0;159.0;-3773.0;-1532.0;-2153.0;-4137.0;-106.0;-2129.0
;96.0;3387.0;2871.0;409.0;-3293.0;-3305.0;-2690.0;-4229.0;-32.0;-2486.0
;96.0;3389.0;4282.0;441.0;-2980.0;-4576.0;-3431.0;-4613.0;78.0;-2468.0
;96.0;3391.0;3999.0;502.0;-2704.0;-4348.0;-3042.0;-3981.0;106.0;-2067.0
;96.0;3393.0;4328.0;556.0;-2478.0;-4572.0;-2142.0;-2759.0;185.0;-1906.0
;96.0;3395.0;4138.0;-176.0;-2210.0;-4376.0;-861.0;-1186.0;209.0;-1902.0
;96.0;3397.0;3064.0;-374.0;-2002.0;-3343.0;943.0;853.0;172.0;-1874.0
;96.0;3399.0;1733.0;-673.0;-1773.0;-1919.0;2439.0;2397.0;180.0;-1573.0
;96.0;3401.0;-414.0;-812.0;-1492.0;153.0;3708.0;3520.0;108.0;-1253.0
;96.0;3403.0;-157.0;-369.0;-1231.0;-465.0;2568.0;2669.0;41.0;-1827.0
;96.0;3405.0;-110.0;-521.0;-1035.0;-414.0;2070.0;2286.0;0.0;-1355.0
;96.0;3407.0;-2224.0;-862.0;-957.0;1901.0;2660.0;2677.0;13.0;-813.0
;96.0;3409.0;-3805.0;-577.0;-870.0;3445.0;2954.0;2839.0;112.0;-434.0
;96.0;3411.0;-4441.0;-570.0;-715.0;4077.0;3381.0;3060.0;123.0;-135.0
;96.0;3413.0;-4368.0;-313.0;-628.0;4047.0;2964.0;2599.0;53.0;-115.0
;96.0;3415.0;-3755.0;-230.0;-637.0;3645.0;2106.0;1651.0;195.0;-48.0
