TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  19:16:23.892533 ;96.0;25423.0;327.0;-493.0;48.0;-763.0;-2489.0;-3535.0;-208.0;-236.0
;96.0;25425.0;713.0;-405.0;-140.0;-596.0;-1444.0;-1336.0;-171.0;-59.0
;96.0;25427.0;1084.0;-225.0;-236.0;-146.0;288.0;1178.0;-212.0;627.0
;96.0;25429.0;1169.0;31.0;-341.0;-135.0;1130.0;2823.0;-197.0;368.0
;96.0;25431.0;-241.0;15.0;-198.0;352.0;1686.0;3687.0;-153.0;334.0
;96.0;25433.0;-1560.0;275.0;337.0;915.0;2161.0;4308.0;-75.0;792.0
;96.0;25435.0;-2193.0;259.0;658.0;1338.0;2788.0;4619.0;1.0;1378.0
;96.0;25437.0;-1507.0;286.0;771.0;1107.0;3606.0;4465.0;67.0;1214.0
;96.0;25439.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;25441.0;2059.0;-2216.0;-14300.0;-5174.0;-1799.0;-9611.0;1401.0;-11290.0
;96.0;25443.0;-569.0;-2234.0;-12113.0;-3984.0;-2250.0;-9582.0;1369.0;-10885.0
;96.0;25445.0;-3074.0;-2007.0;-9876.0;-2721.0;-1537.0;-8285.0;1343.0;-9416.0
;96.0;25447.0;-3254.0;-1722.0;-7582.0;-3156.0;-1360.0;-7951.0;1318.0;-7947.0
;96.0;25449.0;-1768.0;-1502.0;-5806.0;-3481.0;-664.0;-6644.0;1187.0;-5785.0
;96.0;25451.0;491.0;-1179.0;-4438.0;-4164.0;1586.0;-2906.0;981.0;-3145.0
;96.0;25453.0;1962.0;-971.0;-3945.0;-5283.0;2507.0;-270.0;734.0;-2455.0
;96.0;25455.0;467.0;-836.0;-4190.0;-3755.0;2258.0;938.0;598.0;-2618.0
;96.0;25457.0;-1537.0;-512.0;-4738.0;-1542.0;1706.0;1175.0;427.0;-2502.0
;96.0;25459.0;-1217.0;-586.0;-4778.0;153.0;2637.0;2382.0;275.0;-1371.0
;96.0;25461.0;51.0;-236.0;-4234.0;-346.0;3573.0;4123.0;191.0;-1138.0
;96.0;25463.0;-687.0;-292.0;-3537.0;-997.0;3206.0;4254.0;132.0;-1654.0
;96.0;25465.0;-936.0;50.0;-2562.0;-685.0;3026.0;4049.0;37.0;-1639.0
;96.0;25467.0;7.0;186.0;-1956.0;-1422.0;4164.0;5490.0;-64.0;-1025.0
;96.0;25469.0;363.0;44.0;-1320.0;-1831.0;5798.0;6790.0;-170.0;25.0
