TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  18:51:19.152248 ;96.0;55337.0;432.0;-1120.0;-236.0;-236.0;-9774.0;-10698.0;301.0;-4624.0
;96.0;55339.0;-4349.0;-425.0;33.0;4076.0;-7050.0;-7117.0;314.0;-2090.0
;96.0;55341.0;-4213.0;-154.0;450.0;2164.0;-6349.0;-6677.0;251.0;-3017.0
;96.0;55343.0;-2890.0;-133.0;824.0;-722.0;-3564.0;-5359.0;89.0;-2685.0
;96.0;55345.0;-615.0;-83.0;1316.0;-2701.0;-3430.0;-4836.0;-40.0;-2838.0
;96.0;55347.0;589.0;-325.0;2179.0;-2656.0;-2923.0;-3070.0;-3.0;-2527.0
;96.0;55349.0;-758.0;-176.0;2591.0;-1211.0;-1483.0;-1006.0;24.0;-1352.0
;96.0;55351.0;-2498.0;-129.0;2037.0;405.0;-1633.0;-1034.0;69.0;-409.0
;96.0;55353.0;-4032.0;-331.0;1675.0;3540.0;796.0;809.0;111.0;1845.0
;96.0;55355.0;-3623.0;95.0;1528.0;4367.0;3268.0;2977.0;105.0;3335.0
;96.0;55357.0;-1555.0;140.0;973.0;3480.0;3541.0;3806.0;77.0;3151.0
;96.0;55359.0;-1551.0;129.0;545.0;3542.0;3914.0;4649.0;-8.0;3503.0
;96.0;55361.0;-2529.0;413.0;-32.0;3642.0;3792.0;4602.0;89.0;3096.0
;96.0;55363.0;-1959.0;807.0;-412.0;2866.0;2141.0;3044.0;80.0;1187.0
;96.0;55365.0;-1933.0;687.0;-677.0;2151.0;1939.0;2912.0;102.0;603.0
;96.0;55367.0;-668.0;871.0;-662.0;-410.0;876.0;1612.0;183.0;262.0
;96.0;55369.0;-1543.0;444.0;-348.0;-764.0;226.0;618.0;183.0;1023.0
;96.0;55371.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;55373.0;943.0;83.0;-12710.0;-4658.0;2949.0;-6976.0;2934.0;-9524.0
;96.0;55375.0;-1261.0;83.0;-11521.0;-1537.0;6557.0;-853.0;2479.0;-5396.0
;96.0;55377.0;-5141.0;-263.0;-10342.0;3187.0;14296.0;8894.0;1823.0;1693.0
;96.0;55379.0;-5699.0;1044.0;-9211.0;2801.0;15925.0;11650.0;1394.0;1896.0
;96.0;55381.0;-1809.0;1365.0;-8074.0;-2821.0;9529.0;5731.0;1055.0;-3717.0
;96.0;55383.0;388.0;957.0;-7193.0;-4756.0;5701.0;2867.0;719.0;-6365.0
;96.0;55385.0;1677.0;698.0;-6179.0;-4732.0;3701.0;981.0;500.0;-5569.0
;96.0;55387.0;4616.0;781.0;-5208.0;-6306.0;2099.0;-1159.0;564.0;-5317.0
;96.0;55389.0;4014.0;125.0;-4448.0;-6644.0;3636.0;-472.0;661.0;-3710.0
;96.0;55391.0;3847.0;483.0;-4044.0;-6936.0;2739.0;191.0;691.0;-3500.0
;96.0;55393.0;7806.0;240.0;-3901.0;-9929.0;-502.0;-2270.0;876.0;-5773.0
;96.0;55395.0;8163.0;-530.0;-3853.0;-8982.0;-1140.0;-2304.0;1000.0;-4339.0
;96.0;55397.0;7333.0;-468.0;-3610.0;-7000.0;-3873.0;-3613.0;1063.0;-3118.0
;96.0;55399.0;5705.0;-453.0;-3121.0;-4742.0;-3693.0;-4331.0;1057.0;-2514.0
;96.0;55401.0;3835.0;-597.0;-2504.0;-2797.0;-1122.0;-5542.0;1035.0;-2920.0
;96.0;55403.0;3653.0;-411.0;-1914.0;-2226.0;224.0;-6376.0;943.0;-3649.0
;96.0;55405.0;4227.0;-244.0;-1680.0;-1509.0;655.0;-5148.0;827.0;-2935.0
;96.0;55407.0;4721.0;-80.0;-1752.0;-1028.0;301.0;-3399.0;695.0;-2290.0
;96.0;55409.0;2658.0;-108.0;-1665.0;458.0;1269.0;-1283.0;637.0;-1781.0
;96.0;55411.0;1088.0;78.0;-1384.0;791.0;1787.0;116.0;381.0;-1799.0
;96.0;55413.0;55.0;-13.0;-1114.0;737.0;2363.0;1423.0;252.0;-1612.0
;96.0;55415.0;-273.0;42.0;-943.0;366.0;2645.0;2212.0;39.0;-1882.0
;96.0;55417.0;-286.0;-36.0;-842.0;279.0;1873.0;1670.0;-23.0;-2329.0
;96.0;55419.0;-1085.0;208.0;-532.0;507.0;2136.0;1893.0;65.0;-1374.0
;96.0;55421.0;-734.0;432.0;-234.0;-1742.0;2453.0;2606.0;330.0;-1081.0
;96.0;55423.0;-1516.0;269.0;-272.0;-1951.0;2735.0;3025.0;548.0;-22.0
;96.0;55425.0;-2467.0;287.0;-461.0;-637.0;581.0;351.0;760.0;-603.0
;96.0;55427.0;-3295.0;299.0;-658.0;1171.0;-1520.0;-2560.0;874.0;-890.0
;96.0;55429.0;-3131.0;331.0;-878.0;1722.0;-2433.0;-3259.0;1016.0;-136.0
;96.0;55431.0;-2654.0;109.0;-905.0;2007.0;-3005.0;-2937.0;853.0;196.0
;96.0;55433.0;-402.0;-1.0;-558.0;922.0;-3404.0;-1586.0;505.0;-473.0
;96.0;55435.0;1017.0;-174.0;-438.0;-281.0;-4400.0;463.0;218.0;-846.0
