TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  18:49:09.040189 ;96.0;32121.0;1333.0;-95.0;-660.0;-437.0;-1163.0;-2650.0;-340.0;-2329.0
;96.0;32123.0;486.0;-367.0;-936.0;31.0;-3153.0;-4694.0;-237.0;-2539.0
;96.0;32125.0;1122.0;-64.0;-813.0;-248.0;-2984.0;-4358.0;88.0;-2469.0
;96.0;32127.0;1557.0;-172.0;-828.0;-482.0;-2043.0;1640.0;280.0;-1644.0
;96.0;32129.0;1556.0;-180.0;-887.0;-775.0;-2920.0;5164.0;207.0;-1155.0
;96.0;32131.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;32133.0;6934.0;2516.0;-11124.0;-8677.0;4930.0;-3290.0;2817.0;-9433.0
;96.0;32135.0;5782.0;2235.0;-9858.0;-7684.0;2032.0;-4859.0;2563.0;-9213.0
;96.0;32137.0;4404.0;1761.0;-8609.0;-6863.0;274.0;-5825.0;2457.0;-8485.0
;96.0;32139.0;4049.0;1596.0;-7590.0;-6219.0;-448.0;-5800.0;2282.0;-7953.0
;96.0;32141.0;4086.0;1295.0;-6791.0;-5870.0;-273.0;-5241.0;2107.0;-7188.0
;96.0;32143.0;4473.0;1051.0;-6096.0;-5488.0;435.0;-4688.0;2151.0;-6280.0
;96.0;32145.0;3857.0;763.0;-5580.0;-5435.0;1185.0;-4502.0;2148.0;-5469.0
;96.0;32147.0;3706.0;772.0;-5078.0;-6382.0;1453.0;-4762.0;1953.0;-5294.0
;96.0;32149.0;3374.0;443.0;-4735.0;-6038.0;1344.0;-3270.0;1817.0;-4967.0
;96.0;32151.0;728.0;245.0;-4473.0;-2984.0;1661.0;-569.0;1818.0;-3605.0
;96.0;32153.0;-944.0;553.0;-4202.0;-122.0;2150.0;-47.0;1778.0;-2509.0
;96.0;32155.0;-844.0;846.0;-3705.0;671.0;3418.0;505.0;1677.0;-2366.0
;96.0;32157.0;-488.0;526.0;-3361.0;1646.0;4206.0;1739.0;1675.0;-1309.0
;96.0;32159.0;-791.0;600.0;-2844.0;2543.0;5302.0;2924.0;1546.0;-56.0
;96.0;32161.0;-508.0;883.0;-2245.0;1998.0;4902.0;2952.0;1303.0;-1168.0
;96.0;32163.0;529.0;861.0;-1762.0;685.0;3968.0;2667.0;998.0;-2273.0
;96.0;32165.0;1291.0;912.0;-1172.0;-1452.0;3182.0;2066.0;924.0;-2392.0
;96.0;32167.0;-798.0;594.0;-613.0;-1284.0;4009.0;3890.0;848.0;-369.0
;96.0;32169.0;-1313.0;725.0;-545.0;-1478.0;2373.0;2516.0;758.0;-533.0
;96.0;32171.0;69.0;259.0;-582.0;-2393.0;14.0;-618.0;601.0;-886.0
;96.0;32173.0;-1223.0;64.0;-658.0;-281.0;1823.0;1033.0;464.0;1632.0
;96.0;32175.0;221.0;817.0;-740.0;-1749.0;-357.0;-810.0;344.0;-651.0
;96.0;32177.0;2813.0;184.0;-755.0;-3407.0;-3404.0;-3589.0;258.0;-2472.0
;96.0;32179.0;1665.0;-361.0;-840.0;-1336.0;-2630.0;-2683.0;203.0;-726.0
;96.0;32181.0;295.0;-318.0;-791.0;-699.0;-3743.0;-3884.0;109.0;-854.0
;96.0;32183.0;-642.0;-220.0;-551.0;-141.0;-4172.0;-4406.0;35.0;-1136.0
;96.0;32185.0;-500.0;-285.0;-364.0;264.0;-3332.0;-3814.0;-52.0;-1191.0
;96.0;32187.0;732.0;-108.0;-435.0;-80.0;-2911.0;-4010.0;-85.0;-1146.0
;96.0;32189.0;1058.0;-179.0;-362.0;-145.0;-1478.0;-2183.0;-70.0;-792.0
;96.0;32191.0;1022.0;68.0;-142.0;-799.0;-293.0;-1184.0;-125.0;-857.0
;96.0;32193.0;-181.0;-112.0;100.0;-790.0;542.0;-1075.0;-152.0;-878.0
;96.0;32195.0;-1752.0;-23.0;217.0;147.0;1368.0;613.0;-101.0;-679.0
;96.0;32197.0;-1654.0;268.0;74.0;238.0;2242.0;2261.0;-99.0;-53.0
