TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  19:24:34.262501 ;96.0;16669.0;-2273.0;38.0;674.0;4474.0;-5247.0;-7348.0;-1396.0;-2388.0
;96.0;16671.0;-1717.0;-308.0;401.0;4353.0;-5551.0;-8939.0;-1304.0;-38.0
;96.0;16673.0;-2646.0;-446.0;343.0;4923.0;-4500.0;-7514.0;-870.0;860.0
;96.0;16675.0;-1309.0;143.0;238.0;2941.0;-3508.0;-5225.0;-580.0;1074.0
;96.0;16677.0;3039.0;-2010.0;-12217.0;-4057.0;-3759.0;-11192.0;1087.0;-9670.0
;96.0;16679.0;-13173.0;-1962.0;-10147.0;-10594.0;1264.0;-9253.0;0.0;0.0
;96.0;16681.0;-127.0;-2457.0;-11950.0;-3985.0;-3426.0;-1215.0;2508.0;-7359.0
;96.0;16683.0;915.0;-1919.0;-10896.0;-5759.0;-2322.0;-1009.0;2032.0;-7423.0
;96.0;16685.0;791.0;-1762.0;-9966.0;-5280.0;-543.0;442.0;1355.0;-6818.0
;96.0;16687.0;77.0;-1493.0;-9135.0;-3200.0;-40.0;346.0;1131.0;-6077.0
;96.0;16689.0;143.0;-1074.0;-8281.0;-2250.0;62.0;631.0;1066.0;-5444.0
;96.0;16691.0;-252.0;-810.0;-7272.0;-1205.0;825.0;2357.0;1036.0;-3935.0
;96.0;16693.0;95.0;-641.0;-6501.0;-1259.0;-746.0;548.0;945.0;-3511.0
;96.0;16695.0;-115.0;-1033.0;-5737.0;-640.0;-2577.0;-2797.0;978.0;-3004.0
;96.0;16697.0;-1091.0;-781.0;-4872.0;334.0;-3468.0;-4721.0;851.0;-2645.0
;96.0;16699.0;-1026.0;-785.0;-4151.0;756.0;-4632.0;-5989.0;716.0;-2751.0
;96.0;16701.0;-1650.0;-968.0;-4053.0;1235.0;-5421.0;-6642.0;735.0;-2934.0
;96.0;16703.0;-1963.0;-755.0;-3501.0;1639.0;-5246.0;-6546.0;825.0;-2488.0
;96.0;16705.0;-1799.0;-574.0;-2930.0;1204.0;-4416.0;-5872.0;869.0;-1598.0
;96.0;16707.0;-1714.0;-719.0;-2564.0;591.0;-3944.0;-4789.0;973.0;-1501.0
;96.0;16709.0;-1319.0;-567.0;-2115.0;677.0;-4312.0;-4436.0;978.0;-1354.0
;96.0;16711.0;-1073.0;-627.0;-1705.0;1077.0;-4609.0;-4861.0;958.0;-1680.0
;96.0;16713.0;-2132.0;-611.0;-1471.0;1819.0;-2965.0;-2782.0;876.0;-1357.0
;96.0;16715.0;-2431.0;-257.0;-1351.0;1287.0;-1654.0;-576.0;814.0;-1390.0
;96.0;16717.0;-1414.0;-354.0;-1355.0;280.0;-23.0;1684.0;700.0;-615.0
;96.0;16719.0;-812.0;-248.0;-1225.0;-293.0;1287.0;3565.0;626.0;13.0
;96.0;16721.0;-1324.0;-393.0;-1081.0;696.0;3326.0;5726.0;510.0;1490.0
;96.0;16723.0;208.0;465.0;-1096.0;-88.0;3215.0;5614.0;376.0;74.0
;96.0;16725.0;2714.0;145.0;-1224.0;-2040.0;1010.0;3695.0;289.0;-1682.0
;96.0;16727.0;1218.0;-228.0;-1373.0;-525.0;1984.0;3453.0;166.0;-79.0
;96.0;16729.0;1442.0;388.0;-1087.0;-256.0;3624.0;3181.0;123.0;-37.0
;96.0;16731.0;547.0;294.0;-779.0;73.0;4202.0;3623.0;130.0;466.0
;96.0;16733.0;303.0;232.0;-815.0;137.0;2803.0;1802.0;118.0;738.0
;96.0;16735.0;637.0;127.0;-551.0;-279.0;1053.0;75.0;58.0;953.0
;96.0;16737.0;621.0;156.0;-48.0;-603.0;-1153.0;-1756.0;-55.0;514.0
;96.0;16739.0;1005.0;-63.0;342.0;-365.0;-2957.0;-3076.0;-202.0;21.0
;96.0;16741.0;464.0;-119.0;848.0;-34.0;-4360.0;-3919.0;-247.0;-823.0
;96.0;16743.0;-418.0;-355.0;960.0;401.0;-5468.0;-5926.0;-255.0;-1083.0
;96.0;16745.0;496.0;-511.0;610.0;609.0;-4348.0;-7686.0;-280.0;-177.0
;96.0;16747.0;1331.0;-305.0;468.0;634.0;-3011.0;-6198.0;-273.0;432.0
;96.0;16749.0;535.0;-426.0;594.0;601.0;-3368.0;-4637.0;-278.0;768.0
;96.0;16751.0;-283.0;-393.0;646.0;-575.0;-3877.0;-4336.0;-278.0;494.0
