TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  19:09:28.774339 ;96.0;41511.0;-2707.0;331.0;-61.0;3917.0;2623.0;3047.0;-608.0;-739.0
;96.0;41513.0;-3921.0;627.0;390.0;4917.0;2609.0;3429.0;-712.0;-144.0
;96.0;41515.0;-3811.0;1050.0;839.0;3108.0;1321.0;1837.0;-589.0;-599.0
;96.0;41517.0;-1384.0;730.0;997.0;-213.0;-452.0;-444.0;-568.0;-601.0
;96.0;41519.0;915.0;677.0;815.0;-2388.0;-1003.0;-1675.0;-735.0;-645.0
;96.0;41521.0;1355.0;408.0;612.0;-3741.0;-1150.0;-2934.0;-950.0;-980.0
;96.0;41523.0;2173.0;116.0;355.0;-5734.0;-2075.0;-2560.0;-671.0;-641.0
;96.0;41525.0;5124.0;-34.0;59.0;-7527.0;-3360.0;-2825.0;-339.0;-492.0
;96.0;41527.0;6548.0;-280.0;-137.0;-6785.0;-4073.0;-4711.0;-126.0;-728.0
;96.0;41529.0;6246.0;-390.0;-273.0;-4912.0;-3472.0;-4759.0;143.0;-604.0
;96.0;41531.0;6722.0;-231.0;-555.0;-3931.0;-2928.0;-4727.0;228.0;-703.0
;96.0;41533.0;9202.0;-364.0;-739.0;-4129.0;-3610.0;-5295.0;310.0;-962.0
;96.0;41535.0;11936.0;4.0;-680.0;-5645.0;-3711.0;-3650.0;496.0;-2214.0
;96.0;41537.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;41539.0;1169.0;-2391.0;-11475.0;-7627.0;6079.0;-2593.0;2115.0;-6000.0
;96.0;41541.0;514.0;-2102.0;-10164.0;-8343.0;3486.0;-4737.0;1728.0;-6470.0
;96.0;41543.0;383.0;-2026.0;-8993.0;-9167.0;1742.0;-5371.0;1313.0;-5883.0
;96.0;41545.0;697.0;-1970.0;-7947.0;-7911.0;925.0;-4710.0;797.0;-4897.0
;96.0;41547.0;444.0;-1869.0;-7014.0;-5995.0;52.0;-5421.0;146.0;-4134.0
;96.0;41549.0;1621.0;-1607.0;-6129.0;-5747.0;-1658.0;-6790.0;-483.0;-3650.0
;96.0;41551.0;1923.0;-1321.0;-5362.0;-5585.0;-2180.0;-5423.0;-1228.0;-3253.0
;96.0;41553.0;22.0;-1044.0;-4912.0;-3994.0;-622.0;-3821.0;-1660.0;-2151.0
;96.0;41555.0;-151.0;-708.0;-4562.0;-3570.0;643.0;-2568.0;-1525.0;-2167.0
;96.0;41557.0;234.0;-557.0;-4091.0;-3018.0;2424.0;432.0;-1070.0;-2313.0
;96.0;41559.0;516.0;-485.0;-3695.0;-2183.0;4527.0;3743.0;-700.0;-2075.0
;96.0;41561.0;964.0;-157.0;-3333.0;-1982.0;5540.0;5267.0;-126.0;-3077.0
;96.0;41563.0;386.0;-217.0;-3190.0;-1222.0;7896.0;8031.0;400.0;-2404.0
;96.0;41565.0;1068.0;262.0;-3095.0;-1831.0;7565.0;7667.0;964.0;-3134.0
;96.0;41567.0;2707.0;52.0;-3017.0;-3370.0;6003.0;6338.0;1375.0;-4768.0
;96.0;41569.0;694.0;-36.0;-2839.0;-1935.0;8275.0;9379.0;1674.0;-2936.0
;96.0;41571.0;-526.0;32.0;-2722.0;-1176.0;7398.0;7462.0;2011.0;-1867.0
;96.0;41573.0;-157.0;-220.0;-2455.0;-839.0;3885.0;2368.0;2168.0;-310.0
