TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  19:04:39.507949 ;96.0;55765.0;432.0;-470.0;-830.0;-3079.0;-1109.0;-885.0;947.0;-1317.0
;96.0;55767.0;786.0;-432.0;-790.0;-2234.0;500.0;-646.0;464.0;-490.0
;96.0;55769.0;1097.0;-113.0;-516.0;-1034.0;3260.0;193.0;-158.0;958.0
;96.0;55771.0;109.0;-215.0;172.0;1316.0;4393.0;1934.0;-425.0;2359.0
;96.0;55773.0;-49.0;156.0;674.0;2707.0;3448.0;2186.0;-539.0;2759.0
;96.0;55775.0;-749.0;-330.0;1029.0;4407.0;2660.0;2963.0;-417.0;5014.0
;96.0;55777.0;-2599.0;-62.0;1725.0;7173.0;4257.0;4143.0;-299.0;7440.0
;96.0;55779.0;-2368.0;400.0;2057.0;6802.0;4676.0;3501.0;-177.0;6485.0
;96.0;55781.0;-4.0;572.0;1601.0;4733.0;4583.0;3101.0;43.0;4763.0
;96.0;55783.0;1368.0;388.0;1100.0;2527.0;4476.0;3765.0;398.0;2838.0
;96.0;55785.0;-808.0;533.0;766.0;1892.0;5004.0;4855.0;477.0;1360.0
;96.0;55787.0;-1911.0;810.0;532.0;642.0;3191.0;3079.0;284.0;-1781.0
;96.0;55789.0;-2731.0;978.0;330.0;296.0;1691.0;1292.0;25.0;-4085.0
;96.0;55791.0;-1970.0;1082.0;74.0;-943.0;374.0;-209.0;42.0;-4681.0
;96.0;55793.0;-120.0;1363.0;-326.0;-4334.0;-1887.0;-2202.0;217.0;-4763.0
;96.0;55795.0;2050.0;1155.0;-568.0;-7253.0;-4063.0;-4487.0;261.0;-4672.0
;96.0;55797.0;1553.0;947.0;-799.0;-5246.0;-2979.0;-3651.0;53.0;-1884.0
;96.0;55799.0;866.0;2072.0;-894.0;-3597.0;-1796.0;-2829.0;-229.0;-1310.0
;96.0;55801.0;2913536.0;821759.0;-3725057.0;-2297088.0;481279.0;-2160128.0;1873151.0;-4323584.0
;96.0;55803.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;55805.0;-1036.0;-1910.0;-9784.0;-3080.0;2939.0;-2837.0;3488.0;-8333.0
;96.0;55807.0;475.0;-1431.0;-8659.0;-4028.0;2479.0;-1986.0;3267.0;-7665.0
;96.0;55809.0;48.0;-1476.0;-7546.0;-3727.0;2502.0;-1586.0;2983.0;-6547.0
;96.0;55811.0;-88.0;-1244.0;-6281.0;-3280.0;2585.0;-1812.0;2728.0;-5801.0
;96.0;55813.0;-397.0;-1018.0;-5466.0;-2896.0;2567.0;-753.0;2471.0;-5165.0
;96.0;55815.0;-1390.0;-1039.0;-5032.0;-1590.0;2593.0;154.0;2172.0;-4410.0
;96.0;55817.0;-3401.0;-1288.0;-4893.0;773.0;2769.0;51.0;1890.0;-2319.0
;96.0;55819.0;-2847.0;-414.0;-5292.0;32.0;692.0;-2146.0;1625.0;-3665.0
;96.0;55821.0;1258.0;-474.0;-5410.0;-2880.0;-2689.0;-5554.0;1358.0;-5804.0
