TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  19:06:33.899655 ;96.0;25095.0;-12.0;-1548.0;-832.0;127.0;-4388.0;-5510.0;857.0;-1832.0
;96.0;25097.0;-1123.0;-1453.0;-552.0;1256.0;-3149.0;-4570.0;612.0;-983.0
;96.0;25099.0;-958.0;-983.0;-331.0;1221.0;-3216.0;-4944.0;281.0;-972.0
;96.0;25101.0;105.0;-736.0;-182.0;86.0;-3502.0;-4640.0;119.0;-907.0
;96.0;25103.0;-31.0;-595.0;345.0;-41.0;-2297.0;-3002.0;100.0;163.0
;96.0;25105.0;79.0;-391.0;735.0;181.0;-712.0;-1544.0;-174.0;301.0
;96.0;25107.0;544.0;-65.0;985.0;-311.0;570.0;842.0;-441.0;-56.0
;96.0;25109.0;1634.0;83.0;1050.0;-1246.0;1835.0;3011.0;-571.0;555.0
;96.0;25111.0;487.0;-106.0;934.0;793.0;3166.0;4054.0;-566.0;1392.0
;96.0;25113.0;-635.0;111.0;855.0;1750.0;3790.0;4938.0;-274.0;1341.0
;96.0;25115.0;-485.0;372.0;790.0;381.0;4482.0;5894.0;-192.0;1527.0
;96.0;25117.0;-513.0;521.0;647.0;-366.0;5291.0;6375.0;-122.0;2303.0
;96.0;25119.0;-640.0;596.0;535.0;1011.0;5376.0;6484.0;-185.0;2134.0
;96.0;25121.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;25123.0;946.0;-2212.0;-11417.0;-7281.0;10366.0;2766.0;1032.0;-7538.0
;96.0;25125.0;-21.0;-1671.0;-10255.0;-5648.0;9344.0;2823.0;816.0;-7075.0
;96.0;25127.0;-725.0;-1346.0;-9149.0;-4323.0;7942.0;1790.0;725.0;-6020.0
;96.0;25129.0;1261.0;-1418.0;-8129.0;-4882.0;5621.0;-280.0;635.0;-5230.0
;96.0;25131.0;1367.0;-1514.0;-7219.0;-4326.0;4462.0;-807.0;495.0;-4492.0
;96.0;25133.0;894.0;-1406.0;-6365.0;-4005.0;3571.0;-1761.0;460.0;-4091.0
;96.0;25135.0;2121.0;-1376.0;-5642.0;-3796.0;2408.0;-3018.0;503.0;-3713.0
;96.0;25137.0;3800.0;-1297.0;-5115.0;-4424.0;711.0;-4472.0;614.0;-3721.0
;96.0;25139.0;3263.0;-1405.0;-4603.0;-4219.0;-305.0;-5506.0;706.0;-3343.0
;96.0;25141.0;3657.0;-1109.0;-4100.0;-3182.0;-198.0;-4907.0;667.0;-3125.0
;96.0;25143.0;7123.0;-1102.0;-3674.0;-3224.0;-246.0;-4102.0;732.0;-2809.0
;96.0;25145.0;5329.0;-1203.0;-3393.0;-3643.0;-886.0;-4909.0;683.0;-2860.0
;96.0;25147.0;-1922.0;-1412.0;-3081.0;-1781.0;1053.0;-2286.0;565.0;-1569.0
;96.0;25149.0;-4025.0;-488.0;-2757.0;-1411.0;1931.0;-52.0;496.0;-2630.0
;96.0;25151.0;-985.0;-508.0;-2448.0;-2389.0;612.0;-1071.0;555.0;-3844.0
;96.0;25153.0;-1026.0;-565.0;-2143.0;-1149.0;2393.0;965.0;565.0;-1363.0
;96.0;25155.0;86.0;-347.0;-1889.0;-53.0;3312.0;2632.0;437.0;-319.0
;96.0;25157.0;2066.0;1.0;-1683.0;442.0;3974.0;3732.0;319.0;146.0
;96.0;25159.0;3269.0;211.0;-1588.0;-941.0;4154.0;4339.0;307.0;106.0
;96.0;25161.0;3187.0;211.0;-1446.0;-1730.0;3567.0;4082.0;247.0;152.0
;96.0;25163.0;932.0;277.0;-1430.0;-1585.0;2396.0;3282.0;140.0;-483.0
;96.0;25165.0;-474.0;333.0;-1385.0;-1721.0;2277.0;3444.0;122.0;-815.0
;96.0;25167.0;-4137.0;-518.0;-1236.0;658.0;2564.0;3318.0;123.0;1379.0
;96.0;25169.0;-21914.0;-2819.0;-855.0;19600.0;16020.0;15509.0;251.0;18633.0
;96.0;25171.0;-15884.0;2877.0;-625.0;13268.0;7308.0;6610.0;283.0;7011.0
;96.0;25173.0;-12146.0;-1058.0;-407.0;10051.0;3551.0;2422.0;323.0;7016.0
;96.0;25175.0;-15979.0;253.0;-178.0;14161.0;6202.0;4758.0;404.0;9523.0
;96.0;25177.0;-5424.0;1508.0;-112.0;3714.0;-4530.0;-5876.0;352.0;-1690.0
;96.0;25179.0;442.0;-270.0;-68.0;-1475.0;-9664.0;-11267.0;261.0;-5627.0
;96.0;25181.0;1205.0;-650.0;-33.0;-1797.0;-9385.0;-10673.0;302.0;-5648.0
;96.0;25183.0;2289.0;-571.0;-134.0;-2628.0;-9424.0;-10456.0;272.0;-5988.0
;96.0;25185.0;3710.0;-766.0;-92.0;-2810.0;-9379.0;-10897.0;280.0;-5529.0
;96.0;25187.0;3394.0;-627.0;-54.0;-2009.0;-7423.0;-8663.0;291.0;-4678.0
;96.0;25189.0;2691.0;-324.0;47.0;-1630.0;-5742.0;-5933.0;245.0;-4905.0
