TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  18:59:44.058485 ;96.0;38799.0;-1837.0;-399.0;-455.0;1742.0;764.0;191.0;1706.0;1559.0
;96.0;38801.0;-4312.0;-370.0;312.0;2889.0;1611.0;975.0;765.0;3070.0
;96.0;38803.0;-5648.0;-3.0;1026.0;4355.0;888.0;902.0;57.0;1583.0
;96.0;38805.0;-3717.0;-88.0;1584.0;5664.0;-229.0;176.0;-627.0;-452.0
;96.0;38807.0;-3313.0;-241.0;1987.0;7734.0;3747.0;4234.0;-976.0;2967.0
;96.0;38809.0;-4392.0;795.0;2369.0;7847.0;6693.0;7248.0;-1020.0;5012.0
;96.0;38811.0;777.0;1125.0;2546.0;3107.0;5491.0;6219.0;-1265.0;3148.0
;96.0;38813.0;6090.0;1314.0;2855.0;-1154.0;4447.0;5280.0;-1400.0;336.0
;96.0;38815.0;12742.0;1248.0;2727.0;-9851.0;-3462.0;-2272.0;-1376.0;-7226.0
;96.0;38817.0;3717.0;-1756.0;2411.0;-5010.0;3645.0;4363.0;-1727.0;3031.0
;96.0;38819.0;-1697.0;599.0;1981.0;-3483.0;7929.0;8587.0;-1452.0;6136.0
;96.0;38821.0;4827.0;1485.0;1591.0;-10011.0;341.0;732.0;-532.0;-455.0
;96.0;38823.0;9915.0;-190.0;1260.0;-11980.0;-6565.0;-6278.0;-515.0;-4874.0
;96.0;38825.0;156.0;-2507.0;924.0;-351.0;-797.0;-802.0;-357.0;4138.0
;96.0;38827.0;-5914.0;-240.0;555.0;6146.0;2732.0;1891.0;124.0;6210.0
;96.0;38829.0;205.0;722.0;35.0;1002.0;-2039.0;-3819.0;357.0;-1324.0
;96.0;38831.0;5580.0;-778.0;-285.0;-4787.0;-5057.0;-8910.0;-1.0;-5805.0
;96.0;38833.0;250.0;-1806.0;-457.0;-1206.0;-1934.0;-5464.0;-1205.0;-24.0
;96.0;38835.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;38837.0;2973.0;-2306.0;-8460.0;-3948.0;-37647.0;-20271.0;1392.0;-6075.0
;96.0;38839.0;3895.0;-2174.0;-7840.0;-4026.0;-35492.0;-21840.0;1192.0;-7020.0
;96.0;38841.0;3761.0;-2414.0;-7103.0;-3337.0;-31093.0;-18373.0;1117.0;-6412.0
;96.0;38843.0;4266.0;-2535.0;-6323.0;-2841.0;-27532.0;-12218.0;889.0;-6839.0
;96.0;38845.0;5458.0;-2211.0;-5393.0;-2744.0;-25676.0;-7450.0;474.0;-7827.0
;96.0;38847.0;7758.0;-2074.0;-4635.0;-4978.0;-22868.0;-7490.0;14.0;-8656.0
;96.0;38849.0;5686.0;-2469.0;-3593.0;-4884.0;-18371.0;-6776.0;-299.0;-6879.0
;96.0;38851.0;1610.0;-2729.0;-2278.0;-1519.0;-11761.0;-3163.0;-448.0;-2081.0
;96.0;38853.0;754.0;-1359.0;-1401.0;324.0;-7369.0;-107.0;-346.0;-1067.0
