TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  18:58:15.613922 ;96.0;21983.0;1540.0;-147.0;655.0;-1498.0;-1648.0;-2696.0;43.0;1311.0
;96.0;21985.0;2041.0;-86.0;339.0;-2018.0;-260.0;-1066.0;26.0;803.0
;96.0;21987.0;1841.0;-329.0;-102.0;-1533.0;1399.0;579.0;4.0;1343.0
;96.0;21989.0;1307.0;-50.0;-284.0;-716.0;2897.0;2501.0;-16.0;1953.0
;96.0;21991.0;545.0;219.0;-556.0;-903.0;2523.0;2833.0;-4.0;821.0
;96.0;21993.0;-763.0;-50.0;-659.0;-485.0;2061.0;2744.0;-60.0;-21.0
;96.0;21995.0;-2411.0;8.0;-475.0;583.0;2290.0;3040.0;-86.0;-331.0
;96.0;21997.0;-1553.0;285.0;-225.0;766.0;1771.0;2420.0;-93.0;-690.0
;96.0;21999.0;-384.0;401.0;137.0;752.0;1826.0;2249.0;-73.0;-311.0
;96.0;22001.0;-753.0;445.0;347.0;1110.0;3157.0;3614.0;-92.0;667.0
;96.0;22003.0;-760.0;478.0;289.0;651.0;2613.0;3125.0;-50.0;462.0
;96.0;22005.0;103.0;326.0;195.0;-538.0;736.0;852.0;-90.0;174.0
;96.0;22007.0;460.0;315.0;306.0;-657.0;39.0;-222.0;-85.0;271.0
;96.0;22009.0;545.0;56.0;244.0;-691.0;-1542.0;-1812.0;-97.0;-166.0
;96.0;22011.0;-641.0;28.0;227.0;-34.0;-2387.0;-2720.0;-132.0;374.0
;96.0;22013.0;-3437057.0;-973056.0;22271.0;-2275328.0;1871359.0;-3340032.0;0.0;0.0
;96.0;22015.0;2103.0;5000.0;-10924.0;-1442.0;-5578.0;-1595.0;2876.0;-7585.0
;96.0;22017.0;7463.0;4582.0;-9694.0;-5196.0;-9381.0;-7163.0;2668.0;-9611.0
;96.0;22019.0;7868.0;3149.0;-8565.0;-4191.0;-6335.0;-7364.0;2537.0;-5223.0
;96.0;22021.0;5570.0;3131.0;-7583.0;-3890.0;-5313.0;-6525.0;2409.0;-4244.0
;96.0;22023.0;-3144.0;2139.0;-6650.0;-3015.0;-5924.0;-6060.0;2120.0;-5344.0
;96.0;22025.0;-8394.0;1805.0;-5595.0;-1440.0;-5511.0;-5280.0;1649.0;-5742.0
;96.0;22027.0;-9167.0;1584.0;-4891.0;-1176.0;-5508.0;-4591.0;1285.0;-6006.0
;96.0;22029.0;-5964.0;804.0;-4626.0;-1004.0;-5703.0;-1744.0;1323.0;-4473.0
;96.0;22031.0;-6839.0;122.0;-4322.0;4329.0;-4556.0;1914.0;1522.0;894.0
;96.0;22033.0;-5930.0;986.0;-3825.0;6068.0;-6696.0;-5969.0;1605.0;1838.0
;96.0;22035.0;-3586.0;1269.0;-3233.0;3387.0;-3688.0;-10260.0;1361.0;-789.0
;96.0;22037.0;2581.0;1331.0;-2829.0;-3327.0;-1471.0;-7047.0;774.0;-5813.0
;96.0;22039.0;5921.0;582.0;-2491.0;-6810.0;295.0;-4665.0;346.0;-7119.0
;96.0;22041.0;2279.0;-151.0;-2322.0;-4921.0;2161.0;-1269.0;420.0;-3928.0
;96.0;22043.0;2197.0;-107.0;-2289.0;-4712.0;722.0;-50.0;562.0;-2857.0
;96.0;22045.0;1426.0;-693.0;-2174.0;-2356.0;1971.0;958.0;543.0;51.0
