TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  17:29:53.999326 ;96.0;36007.0;-459.0;417.0;-176.0;859.0;156.0;408.0;-89.0;-105.0
;96.0;36009.0;-1843.0;227.0;-93.0;1508.0;596.0;901.0;-163.0;-328.0
;96.0;36011.0;-1062.0;280.0;69.0;823.0;635.0;720.0;-160.0;-314.0
;96.0;36013.0;-276.0;405.0;173.0;7.0;491.0;640.0;-118.0;-400.0
;96.0;36015.0;828.0;140.0;248.0;-624.0;-568.0;94.0;-198.0;-451.0
;96.0;36017.0;731.0;-459.0;319.0;-516.0;-830.0;168.0;-192.0;-303.0
;96.0;36019.0;41.0;-417.0;227.0;127.0;-349.0;940.0;-53.0;-235.0
;96.0;36021.0;-147.0;-210.0;172.0;280.0;100.0;1565.0;24.0;-332.0
;96.0;36023.0;224.0;-409.0;216.0;-228.0;20.0;1069.0;68.0;-321.0
;96.0;36025.0;-631.0;-255.0;173.0;504.0;-65.0;273.0;134.0;-96.0
;96.0;36027.0;-895.0;-148.0;232.0;390.0;-573.0;-941.0;129.0;57.0
;96.0;36029.0;-810.0;-184.0;336.0;621.0;-70.0;-765.0;93.0;361.0
;96.0;36031.0;-268.0;322.0;381.0;298.0;-167.0;-1064.0;86.0;272.0
;96.0;36033.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;36035.0;-385.0;1058.0;-12393.0;-4744.0;811.0;-5298.0;9338.0;1161.0
;96.0;36037.0;-122.0;1653.0;-10854.0;-4477.0;-355.0;-4641.0;8192.0;1289.0
;96.0;36039.0;1391.0;970.0;-9441.0;-5609.0;-264.0;-3946.0;7281.0;852.0
;96.0;36041.0;1019.0;-119.0;-8154.0;-4666.0;534.0;-2410.0;6552.0;512.0
;96.0;36043.0;458.0;-601.0;-6966.0;-3608.0;1076.0;-1233.0;5801.0;-512.0
;96.0;36045.0;510.0;-328.0;-5905.0;-3130.0;1200.0;-813.0;5083.0;-1387.0
;96.0;36047.0;722.0;-41.0;-4920.0;-2978.0;591.0;-1448.0;4496.0;-907.0
;96.0;36049.0;767.0;35.0;-4318.0;-2772.0;130.0;-1994.0;3978.0;-1561.0
