TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  17:05:47.202069 ;96;42941;-210;-245;-945;44;-649;-323;-1052;-551
;96;42943;1089;-348;-887;-593;64;390;-1068;-423
;96;42945;1177;-165;-718;-1030;551;233;-792;-187
;96;42947;-240;-195;-531;-141;973;46;-256;-76
;96;42949;-498;-561;-421;-32;773;-232;-138;138
;96;42951;0;0;0;0;0;0;0;0
;96;42953;-856;1307;-11147;-7391;-3385;-10270;9113;-10217
;96;42955;-350;1286;-10043;-7048;-2758;-9273;8188;-8594
;96;42957;-530;1161;-9058;-6042;-2415;-8757;7348;-7566
;96;42959;-466;1256;-8001;-5404;-2051;-7451;6503;-6709
;96;42961;-545;1071;-7078;-4971;-992;-5875;5801;-5838
;96;42963;-613;858;-6224;-4263;-825;-4767;5152;-5459
;96;42965;-427;755;-5252;-3681;-1112;-4323;4559;-5634
;96;42967;-966;894;-4559;-3079;-281;-3136;3952;-5222
;96;42969;-932;850;-3951;-2710;563;-1699;3484;-4446
;96;42971;357;692;-3444;-3393;-570;-2307;3033;-3468
;96;42973;806;305;-3084;-3042;-430;-1771;2701;-2652
;96;42975;493;57;-2936;-2432;-46;-572;2453;-2608
;96;42977;-73;-136;-2788;-2045;-12;-160;2203;-2309
;96;42979;376;-121;-2699;-2424;-158;-448;1923;-1822
;96;42981;444;-310;-2514;-2142;475;-59;1792;-2162
;96;42983;113;-78;-2214;-1467;509;316;1595;-1819
;96;42985;-395;-103;-1715;-1160;-7;115;1365;-1160
;96;42987;-301;-92;-1341;-1369;-698;-1118;1030;-1016
;96;42989;-329;-122;-1182;-901;-831;-1821;840;-607
;96;42991;-514;151;-1181;-563;-1351;-2279;773;-443
;96;42993;-1507;-182;-1212;700;175;-1301;714;501
;96;42995;-601;658;-1212;9;-406;-2130;634;335
;96;42997;1019;665;-977;-1558;-2340;-3686;599;496
;96;42999;-359;303;-803;-139;-548;-1613;599;17
;96;43001;82;677;-717;-398;-369;-1645;581;-588
;96;43003;1221;610;-704;-1724;-1375;-2154;616;-315
;96;43005;-673;113;-711;80;313;105;619;-242
;96;43007;-1308;507;-628;839;172;293;706;-406
;96;43009;-1186;317;-526;738;688;781;757;-411
;96;43011;-1297;46;-629;737;1563;974;516;-1155
;96;43013;-1463;57;-644;933;2084;1572;521;-1451
;96;43015;-1111;-139;-553;690;1828;1971;677;-969
;96;43017;-1151;-160;-478;749;726;1424;679;29
;96;43019;-1019;-182;-442;487;112;1273;483;-1
;96;43021;-962;-251;-393;550;63;1020;242;-64
;96;43023;-665;-199;-340;357;99;299;144;377
;96;43025;72;-31;-278;-266;-874;-349;89;164
