TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  17:20:59.224036 ;96.0;33415.0;-1078.0;-74.0;8.0;61.0;677.0;1136.0;17.0;-342.0
;96.0;33417.0;98.0;53.0;172.0;-692.0;435.0;1108.0;12.0;-529.0
;96.0;33419.0;627.0;-255.0;169.0;-972.0;579.0;1394.0;32.0;-349.0
;96.0;33421.0;267.0;-143.0;18.0;-654.0;783.0;1633.0;44.0;-279.0
;96.0;33423.0;952.0;100.0;-68.0;-1106.0;79.0;1177.0;34.0;-415.0
;96.0;33425.0;812.0;-131.0;-20.0;-977.0;-2.0;1200.0;33.0;-301.0
;96.0;33427.0;-418.0;-94.0;14.0;-178.0;105.0;1037.0;-7.0;-83.0
;96.0;33429.0;-152.0;64.0;-22.0;-364.0;-687.0;74.0;-4.0;155.0
;96.0;33431.0;105.0;34.0;-25.0;-162.0;-636.0;-476.0;178.0;251.0
;96.0;33433.0;101.0;178.0;-1.0;-218.0;-807.0;-1339.0;283.0;302.0
;96.0;33435.0;-552.0;482.0;31.0;524.0;-114.0;-978.0;170.0;215.0
;96.0;33437.0;496.0;741.0;-32.0;67.0;-679.0;-1519.0;180.0;130.0
;96.0;33439.0;801.0;869.0;-44.0;-134.0;-451.0;-1774.0;40.0;282.0
;96.0;33441.0;812.0;1161.0;-27.0;87.0;258.0;-1288.0;41.0;357.0
;96.0;33443.0;1049.0;1315.0;56.0;128.0;430.0;-1116.0;56.0;393.0
;96.0;33445.0;1799.0;1245.0;61.0;-252.0;-126.0;-1427.0;-19.0;180.0
;96.0;33447.0;2056.0;891.0;83.0;-325.0;-80.0;-567.0;-176.0;89.0
;96.0;33449.0;2043.0;677.0;60.0;-395.0;-40.0;-175.0;-266.0;-80.0
;96.0;33451.0;528.0;536.0;-72.0;628.0;349.0;78.0;-372.0;-152.0
;96.0;33453.0;208.0;1575.0;-14201.0;-5262.0;2591.0;-4164.0;9973.0;-12993.0
;96.0;33455.0;-12354.0;-5822.0;-3189.0;-6746.0;11169.0;-13214.0;0.0;0.0
;96.0;33457.0;-1.0;-3534.0;-11383.0;-6635.0;351.0;-4328.0;9911.0;-11888.0
;96.0;33459.0;-213.0;-2623.0;-10236.0;-5518.0;-884.0;-3112.0;8868.0;-10585.0
;96.0;33461.0;-972.0;-2186.0;-9172.0;-3797.0;-2326.0;-3903.0;7852.0;-8920.0
;96.0;33463.0;-1336.0;-1928.0;-8146.0;-3111.0;-1989.0;-3938.0;7052.0;-7958.0
;96.0;33465.0;-125.0;-1579.0;-7102.0;-4034.0;-952.0;-2287.0;6279.0;-6628.0
;96.0;33467.0;-1333.0;-1071.0;-6176.0;-2887.0;719.0;-2565.0;5531.0;-5553.0
;96.0;33469.0;-1380.0;519.0;-5465.0;-2817.0;-509.0;-4645.0;4822.0;-5276.0
;96.0;33471.0;677.0;763.0;-4754.0;-4022.0;-3595.0;-6941.0;4233.0;-4590.0
;96.0;33473.0;-255.0;762.0;-4131.0;-2375.0;-3284.0;-6264.0;3771.0;-3898.0
;96.0;33475.0;-358.0;803.0;-3761.0;-1710.0;-2204.0;-5502.0;3346.0;-3736.0
;96.0;33477.0;-76.0;1090.0;-3374.0;-1990.0;-248.0;-4078.0;3063.0;-3343.0
;96.0;33479.0;-115.0;1205.0;-2998.0;-2176.0;-1208.0;1251.0;2757.0;-2958.0
;96.0;33481.0;835.0;986.0;-2746.0;-2719.0;-2193.0;3055.0;2419.0;-2997.0
;96.0;33483.0;869.0;615.0;-2496.0;-2240.0;-1584.0;-1001.0;2117.0;-2743.0
;96.0;33485.0;427.0;1085.0;-2133.0;-1684.0;-88.0;-4024.0;1955.0;-2633.0
;96.0;33487.0;-435.0;744.0;-1871.0;-775.0;914.0;-2276.0;1745.0;-2444.0
;96.0;33489.0;-1178.0;786.0;-1681.0;393.0;1010.0;-2108.0;1502.0;-2227.0
;96.0;33491.0;-292.0;980.0;-1504.0;-665.0;-735.0;-2789.0;1364.0;-2433.0
;96.0;33493.0;-568.0;64.0;-1281.0;-570.0;-3202.0;-4375.0;1246.0;-1999.0
;96.0;33495.0;-1470.0;-376.0;-1165.0;384.0;-1199.0;-3483.0;1190.0;-2080.0
;96.0;33497.0;-94.0;-903.0;-1047.0;-718.0;1719.0;-592.0;1119.0;-1821.0
;96.0;33499.0;1234.0;-732.0;-946.0;-874.0;3436.0;749.0;926.0;-1454.0
;96.0;33501.0;1395.0;-790.0;-849.0;-1132.0;2784.0;977.0;820.0;-945.0
;96.0;33503.0;758.0;-1050.0;-680.0;-1499.0;825.0;1355.0;697.0;-748.0
;96.0;33505.0;1449.0;-1397.0;-576.0;-2029.0;-312.0;1556.0;539.0;-512.0
;96.0;33507.0;967.0;-659.0;-501.0;-2358.0;1800.0;2504.0;525.0;-268.0
;96.0;33509.0;707.0;-301.0;-321.0;-2645.0;2950.0;1680.0;763.0;-34.0
;96.0;33511.0;401.0;-291.0;-258.0;-1667.0;2280.0;2467.0;734.0;4.0
;96.0;33513.0;1288.0;317.0;-211.0;-1271.0;386.0;1993.0;530.0;-111.0
;96.0;33515.0;95.0;164.0;-140.0;-420.0;-203.0;-2996.0;235.0;-150.0
;96.0;33517.0;-1660.0;-533.0;-198.0;903.0;1046.0;-2067.0;59.0;159.0
;96.0;33519.0;-1330.0;-109.0;-233.0;651.0;1117.0;1099.0;-87.0;-356.0
;96.0;33521.0;391.0;539.0;-226.0;-1014.0;-1503.0;-1604.0;-223.0;-638.0
;96.0;33523.0;-701.0;654.0;-231.0;251.0;-1780.0;-1159.0;-391.0;-398.0
;96.0;33525.0;-643.0;639.0;302.0;353.0;-1082.0;1488.0;-235.0;-592.0
;96.0;33527.0;72.0;223.0;674.0;-345.0;1276.0;2095.0;-177.0;-722.0
;96.0;33529.0;1111.0;96.0;671.0;-1138.0;1109.0;-868.0;-185.0;-977.0
;96.0;33531.0;246.0;-435.0;495.0;-443.0;-21.0;504.0;-173.0;-729.0
;96.0;33533.0;-892.0;-381.0;186.0;463.0;-1569.0;796.0;-139.0;-463.0
;96.0;33535.0;387.0;-3.0;-141.0;-290.0;-4019.0;-2063.0;-2.0;-618.0
;96.0;33537.0;1690.0;105.0;-414.0;-893.0;-1384.0;-765.0;267.0;-586.0
;96.0;33539.0;1375.0;351.0;-538.0;54.0;890.0;1964.0;169.0;-380.0
;96.0;33541.0;755.0;436.0;-524.0;358.0;-711.0;1721.0;-45.0;-66.0
;96.0;33543.0;1572.0;-491.0;-468.0;-630.0;-2915.0;2047.0;-70.0;-30.0
;96.0;33545.0;1123.0;-1663.0;-360.0;-147.0;-2950.0;1842.0;-244.0;84.0
;96.0;33547.0;717.0;-605.0;-264.0;121.0;691.0;-750.0;-301.0;244.0
;96.0;33549.0;67.0;680.0;-200.0;345.0;2864.0;-137.0;-131.0;265.0
;96.0;33551.0;-255.0;2230.0;26.0;367.0;1799.0;-790.0;-47.0;310.0
;96.0;33553.0;-247.0;2133.0;-39.0;-400.0;805.0;-938.0;-70.0;307.0
;96.0;33555.0;-1378.0;1656.0;-172.0;155.0;976.0;1047.0;-86.0;488.0
;96.0;33557.0;668.0;1754.0;-209.0;-892.0;-288.0;-1514.0;-199.0;303.0
;96.0;33559.0;2671.0;1397.0;-16.0;-1279.0;-570.0;-3124.0;-581.0;203.0
;96.0;33561.0;1612.0;783.0;288.0;-541.0;1226.0;-977.0;-824.0;50.0
;96.0;33563.0;865.0;376.0;492.0;-703.0;550.0;-295.0;-825.0;-153.0
;96.0;33565.0;101.0;14.0;482.0;113.0;336.0;1477.0;-715.0;-137.0
;96.0;33567.0;-1279.0;-259.0;277.0;1512.0;1726.0;2722.0;-1132.0;-12.0
;96.0;33569.0;-727.0;174.0;7.0;833.0;2007.0;2001.0;-1839.0;-511.0
;96.0;33571.0;1675.0;-151.0;-297.0;-1382.0;589.0;3243.0;-2395.0;-511.0
;96.0;33573.0;1931.0;-98.0;-475.0;-1305.0;165.0;3149.0;-2242.0;-243.0
;96.0;33575.0;1089.0;136.0;-741.0;519.0;-320.0;-827.0;-1743.0;-300.0
;96.0;33577.0;-102.0;380.0;-969.0;789.0;-863.0;-1982.0;-1355.0;-417.0
;96.0;33579.0;-1564.0;210.0;-750.0;820.0;-200.0;-1423.0;-1159.0;-167.0
;96.0;33581.0;-1637.0;89.0;-554.0;388.0;565.0;-879.0;-938.0;23.0
;96.0;33583.0;-1202.0;30.0;-341.0;-73.0;1222.0;-911.0;-572.0;340.0
;96.0;33585.0;-1453.0;325.0;52.0;864.0;1019.0;-2035.0;-170.0;645.0
;96.0;33587.0;-1234.0;1215.0;299.0;1185.0;198.0;-3167.0;829.0;805.0
;96.0;33589.0;-478.0;1413.0;266.0;347.0;-249.0;-2678.0;1619.0;998.0
;96.0;33591.0;-536.0;1508.0;118.0;-19.0;-553.0;-1728.0;2232.0;1483.0
;96.0;33593.0;-1156.0;1328.0;70.0;903.0;712.0;-304.0;2547.0;1863.0
;96.0;33595.0;-1819.0;1247.0;40.0;2626.0;2240.0;583.0;2268.0;1686.0
;96.0;33597.0;-239.0;1426.0;50.0;1695.0;2084.0;254.0;1608.0;1469.0
;96.0;33599.0;796.0;1200.0;46.0;-983.0;1765.0;577.0;1570.0;1201.0
;96.0;33601.0;-443.0;797.0;27.0;-983.0;1536.0;929.0;1699.0;1125.0
;96.0;33603.0;-565.0;1154.0;-22.0;-303.0;999.0;774.0;1622.0;767.0
;96.0;33605.0;2084.0;943.0;21.0;-2070.0;-1014.0;-370.0;1613.0;498.0
;96.0;33607.0;1024.0;-30.0;128.0;-1094.0;-134.0;1258.0;1236.0;812.0
;96.0;33609.0;284.0;180.0;478.0;-274.0;349.0;2504.0;84.0;528.0
;96.0;33611.0;579.0;112.0;475.0;-1016.0;-15.0;2667.0;-720.0;619.0
;96.0;33613.0;332.0;-643.0;354.0;-1338.0;-860.0;1638.0;-653.0;505.0
;96.0;33615.0;1236.0;-674.0;270.0;-1444.0;-2241.0;-426.0;-462.0;436.0
;96.0;33617.0;-1683.0;-1290.0;131.0;1381.0;370.0;1435.0;-379.0;904.0
;96.0;33619.0;-2482.0;32.0;121.0;2386.0;127.0;760.0;-348.0;441.0
;96.0;33621.0;318.0;-181.0;76.0;242.0;-3395.0;-3114.0;-122.0;1224.0
;96.0;33623.0;-968.0;-424.0;12.0;1296.0;-436.0;-1812.0;74.0;1505.0
;96.0;33625.0;-585.0;95.0;173.0;528.0;-139.0;-3166.0;66.0;1047.0
;96.0;33627.0;-760.0;306.0;175.0;-227.0;-267.0;-4343.0;84.0;1189.0
;96.0;33629.0;-438.0;398.0;53.0;-326.0;-235.0;-3200.0;437.0;1431.0
;96.0;33631.0;-41.0;561.0;36.0;-382.0;1073.0;-440.0;394.0;1409.0
;96.0;33633.0;462.0;628.0;-54.0;-710.0;2096.0;2010.0;527.0;1328.0
;96.0;33635.0;-249.0;605.0;-129.0;32.0;969.0;2983.0;599.0;975.0
;96.0;33637.0;-916.0;472.0;-93.0;992.0;-54.0;1926.0;646.0;1391.0
;96.0;33639.0;-1698.0;343.0;-106.0;1673.0;933.0;1888.0;580.0;1395.0
;96.0;33641.0;-1275.0;466.0;-143.0;1325.0;1089.0;2222.0;316.0;1540.0
;96.0;33643.0;-753.0;373.0;-177.0;826.0;671.0;2300.0;440.0;1619.0
;96.0;33645.0;-1494.0;-21.0;-106.0;1678.0;708.0;2369.0;774.0;1282.0
;96.0;33647.0;-1923.0;-363.0;-174.0;1959.0;9.0;2023.0;952.0;1300.0
;96.0;33649.0;-635.0;-439.0;-217.0;1190.0;-1207.0;1536.0;813.0;1138.0
;96.0;33651.0;-367.0;-977.0;-192.0;385.0;-1333.0;1322.0;603.0;1101.0
;96.0;33653.0;-189.0;-1274.0;106.0;-11.0;-1362.0;718.0;505.0;1332.0
;96.0;33655.0;203.0;-956.0;509.0;-198.0;-1423.0;395.0;312.0;1294.0
;96.0;33657.0;-901.0;-630.0;544.0;452.0;-744.0;370.0;137.0;823.0
;96.0;33659.0;-1580.0;-578.0;289.0;1044.0;375.0;420.0;136.0;869.0
;96.0;33661.0;-941.0;-706.0;177.0;816.0;-2.0;69.0;59.0;1669.0
;96.0;33663.0;-279.0;-664.0;17.0;552.0;-144.0;-464.0;11.0;2550.0
;96.0;33665.0;248.0;-551.0;-261.0;-67.0;132.0;-1063.0;-151.0;2897.0
;96.0;33667.0;-1270.0;-641.0;-596.0;1259.0;1958.0;506.0;-453.0;3063.0
;96.0;33669.0;385.0;401.0;-756.0;-520.0;-202.0;1075.0;-1093.0;2165.0
;96.0;33671.0;3487.0;744.0;-650.0;-3925.0;-3664.0;828.0;-1601.0;2116.0
;96.0;33673.0;1500.0;386.0;-520.0;-2366.0;-3445.0;324.0;-1439.0;2150.0
;96.0;33675.0;46.0;348.0;-269.0;-36.0;-2816.0;-1227.0;-1064.0;2008.0
;96.0;33677.0;174.0;487.0;51.0;387.0;-1760.0;-2515.0;-728.0;1444.0
;96.0;33679.0;91.0;416.0;414.0;-367.0;-275.0;-2888.0;-588.0;1030.0
;96.0;33681.0;315.0;148.0;440.0;-672.0;1161.0;-1708.0;-473.0;754.0
;96.0;33683.0;737.0;177.0;725.0;-499.0;1568.0;-864.0;-139.0;477.0
;96.0;33685.0;1123.0;230.0;1037.0;-401.0;736.0;-324.0;244.0;547.0
;96.0;33687.0;887.0;-66.0;726.0;-645.0;-265.0;-418.0;477.0;2391.0
;96.0;33689.0;109.0;-92.0;417.0;-301.0;506.0;-9.0;513.0;3222.0
;96.0;33691.0;700.0;-300.0;188.0;-813.0;720.0;589.0;709.0;2860.0
;96.0;33693.0;517.0;-635.0;-73.0;-359.0;655.0;932.0;1082.0;1505.0
;96.0;33695.0;1312.0;-568.0;-199.0;-607.0;286.0;313.0;1091.0;440.0
;96.0;33697.0;1972.0;-861.0;-398.0;-1363.0;-198.0;837.0;1022.0;135.0
;96.0;33699.0;1727.0;-989.0;-729.0;-1358.0;-322.0;2799.0;829.0;1273.0
;96.0;33701.0;515.0;-790.0;-837.0;-591.0;-1002.0;1499.0;614.0;1143.0
;96.0;33703.0;-514.0;-882.0;-685.0;322.0;-1080.0;-687.0;360.0;1307.0
;96.0;33705.0;-1627.0;-764.0;-564.0;1958.0;-553.0;-869.0;27.0;580.0
;96.0;33707.0;-1450.0;-340.0;-411.0;1889.0;-1610.0;-1444.0;-286.0;-28.0
;96.0;33709.0;-207.0;-92.0;-236.0;859.0;-2639.0;-1938.0;-353.0;-74.0
;96.0;33711.0;-162.0;122.0;116.0;1070.0;-1490.0;-1368.0;-298.0;-501.0
;96.0;33713.0;800.0;470.0;334.0;62.0;-967.0;-2024.0;-189.0;-1420.0
;96.0;33715.0;398.0;361.0;332.0;-235.0;-262.0;-1906.0;-63.0;-1658.0
;96.0;33717.0;-1533.0;268.0;242.0;363.0;2062.0;-262.0;50.0;-855.0
;96.0;33719.0;-136.0;1009.0;227.0;-616.0;1646.0;-640.0;-17.0;-1421.0
;96.0;33721.0;1181.0;729.0;229.0;-1562.0;-284.0;-1627.0;-74.0;-1431.0
;96.0;33723.0;-315.0;387.0;120.0;-308.0;702.0;390.0;16.0;-1349.0
;96.0;33725.0;-194.0;524.0;-13.0;-694.0;1116.0;398.0;44.0;-1927.0
;96.0;33727.0;531.0;195.0;-178.0;-1320.0;941.0;1263.0;-30.0;-3057.0
;96.0;33729.0;1543.0;49.0;-163.0;-2201.0;-299.0;1796.0;-98.0;-3753.0
;96.0;33731.0;2079.0;-41.0;-116.0;-2415.0;-950.0;2279.0;-180.0;-4225.0
;96.0;33733.0;1545.0;-174.0;41.0;-1795.0;-71.0;2369.0;-248.0;-4271.0
;96.0;33735.0;716.0;-257.0;463.0;-1113.0;896.0;2645.0;-267.0;-3778.0
;96.0;33737.0;1612.0;-358.0;691.0;-1295.0;352.0;2306.0;-366.0;-3492.0
;96.0;33739.0;1415.0;-711.0;765.0;-777.0;-448.0;1178.0;-373.0;-2871.0
;96.0;33741.0;1280.0;-541.0;776.0;-819.0;-711.0;439.0;-295.0;-2646.0
;96.0;33743.0;1794.0;-465.0;726.0;-1456.0;-804.0;-250.0;-278.0;-2435.0
;96.0;33745.0;1398.0;-315.0;537.0;-809.0;-1011.0;-916.0;-276.0;-2026.0
;96.0;33747.0;328.0;-84.0;248.0;-213.0;-477.0;-1370.0;-176.0;-2107.0
;96.0;33749.0;433.0;222.0;38.0;-295.0;-69.0;-2093.0;-153.0;-2287.0
;96.0;33751.0;-333.0;68.0;-439.0;530.0;657.0;-2005.0;-55.0;-2153.0
;96.0;33753.0;-1245.0;601.0;-734.0;1335.0;375.0;-1536.0;-102.0;-2088.0
;96.0;33755.0;-686.0;792.0;-741.0;1055.0;-455.0;-1407.0;-155.0;-1603.0
;96.0;33757.0;-1209.0;351.0;-669.0;1485.0;-829.0;-1667.0;-177.0;-1425.0
