TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  17:06:20.253904 ;96.0;56643.0;1425.0;-2219.0;-529.0;640.0;-64.0;187.0;195.0;-70.0
;96.0;56645.0;-219.0;-2033.0;-380.0;1666.0;2000.0;2442.0;186.0;-203.0
;96.0;56647.0;-385.0;-697.0;-92.0;-518.0;818.0;1599.0;204.0;-797.0
;96.0;56649.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;56651.0;5234.0;1455.0;-12016.0;-8476.0;4411.0;-2520.0;11355.0;-11763.0
;96.0;56653.0;4853.0;1601.0;-10574.0;-7814.0;3563.0;-2628.0;10145.0;-10296.0
;96.0;56655.0;4465.0;1393.0;-9333.0;-6697.0;3125.0;-2862.0;9098.0;-8990.0
;96.0;56657.0;3300.0;1483.0;-8208.0;-5470.0;2596.0;-2580.0;8056.0;-7895.0
;96.0;56659.0;2789.0;1570.0;-7117.0;-4915.0;2442.0;-1844.0;7098.0;-7278.0
;96.0;56661.0;3619.0;1473.0;-6170.0;-5514.0;1226.0;-2319.0;6193.0;-6793.0
;96.0;56663.0;2362.0;819.0;-5459.0;-4090.0;2006.0;-873.0;5468.0;-6051.0
;96.0;56665.0;1745.0;820.0;-4789.0;-3230.0;2389.0;352.0;4863.0;-5659.0
;96.0;56667.0;1841.0;559.0;-4280.0;-3060.0;2392.0;819.0;4363.0;-5145.0
;96.0;56669.0;1858.0;347.0;-3754.0;-2716.0;1722.0;597.0;3801.0;-4614.0
;96.0;56671.0;1310.0;200.0;-3390.0;-2016.0;1425.0;410.0;3382.0;-3971.0
;96.0;56673.0;638.0;104.0;-3127.0;-1582.0;1248.0;355.0;3048.0;-3635.0
