TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-16  17:54:13.552359 ;96.0;13097.0;-680.0;443.0;-1142.0;583.0;-770.0;-382.0;462.0;-201.0
;96.0;13099.0;-153.0;-137.0;-816.0;485.0;493.0;1327.0;312.0;-303.0
;96.0;13101.0;2.0;-436.0;-580.0;436.0;967.0;1588.0;152.0;-439.0
;96.0;13103.0;165.0;-578.0;-310.0;52.0;229.0;799.0;102.0;-421.0
;96.0;13105.0;-20.0;-973.0;-272.0;-35.0;361.0;610.0;73.0;-356.0
;96.0;13107.0;608.0;-700.0;-311.0;-640.0;416.0;873.0;82.0;-592.0
;96.0;13109.0;529.0;-985.0;-623.0;-498.0;340.0;1145.0;334.0;-699.0
;96.0;13111.0;-333.0;-982.0;-1008.0;230.0;-498.0;296.0;329.0;-492.0
;96.0;13113.0;-948.0;-705.0;-994.0;690.0;-543.0;-469.0;209.0;21.0
;96.0;13115.0;-778.0;-308.0;-491.0;882.0;-724.0;-1040.0;-1.0;137.0
;96.0;13117.0;-213.0;-115.0;-168.0;242.0;-569.0;-1287.0;-243.0;133.0
;96.0;13119.0;200.0;39.0;-128.0;-291.0;462.0;-454.0;-252.0;59.0
;96.0;13121.0;-224.0;1.0;-70.0;80.0;1220.0;170.0;-264.0;70.0
;96.0;13123.0;-508.0;489.0;-49.0;398.0;64.0;-940.0;-174.0;128.0
;96.0;13125.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;13127.0;-1791.0;1803.0;-11839.0;-2989.0;1221.0;-5621.0;9342.0;-10918.0
;96.0;13129.0;-1409.0;1707.0;-10565.0;-2374.0;716.0;-5153.0;8324.0;-9922.0
;96.0;13131.0;-1485.0;1310.0;-9473.0;-1129.0;926.0;-4417.0;7336.0;-9030.0
;96.0;13133.0;-1374.0;1041.0;-8477.0;-805.0;1535.0;-3551.0;6739.0;-8243.0
;96.0;13135.0;-1239.0;534.0;-7642.0;-1434.0;1688.0;-2385.0;6127.0;-7389.0
;96.0;13137.0;-1113.0;275.0;-6697.0;-1857.0;1975.0;-680.0;5555.0;-6674.0
;96.0;13139.0;-538.0;213.0;-5592.0;-2316.0;2480.0;699.0;5002.0;-5999.0
;96.0;13141.0;524.0;-38.0;-4423.0;-2888.0;2864.0;327.0;4544.0;-5378.0
;96.0;13143.0;1534.0;-378.0;-3876.0;-2752.0;2570.0;-563.0;4136.0;-4751.0
;96.0;13145.0;2240.0;-441.0;-3542.0;-2543.0;1730.0;-880.0;3604.0;-4244.0
;96.0;13147.0;3578.0;-119.0;-3200.0;-3172.0;604.0;-993.0;2959.0;-3628.0
;96.0;13149.0;2846.0;-422.0;-2841.0;-1723.0;1321.0;54.0;2511.0;-2705.0
;96.0;13151.0;3539.0;301.0;-2565.0;-1782.0;293.0;-1045.0;2213.0;-2807.0
;96.0;13153.0;4977.0;232.0;-2528.0;-3977.0;-2133.0;-3656.0;2083.0;-2278.0
;96.0;13155.0;1469.0;26.0;-2464.0;-2133.0;-229.0;-1835.0;1958.0;-1397.0
;96.0;13157.0;96.0;328.0;-2385.0;-1673.0;128.0;-1546.0;1773.0;-1319.0
;96.0;13159.0;-1023.0;775.0;-2345.0;-1135.0;114.0;-1285.0;1717.0;-1243.0
;96.0;13161.0;-1449.0;1050.0;-2057.0;-655.0;-7.0;-1212.0;1754.0;-1207.0
;96.0;13163.0;-1116.0;701.0;-1642.0;-109.0;93.0;-1490.0;1735.0;-998.0
;96.0;13165.0;-1464.0;652.0;-1413.0;458.0;-254.0;-1485.0;1795.0;-710.0
;96.0;13167.0;-1016.0;717.0;-1295.0;-182.0;-958.0;-1225.0;1952.0;-892.0
;96.0;13169.0;-21.0;562.0;-999.0;-940.0;-1575.0;-2015.0;1966.0;-1083.0
;96.0;13171.0;30.0;441.0;-516.0;-471.0;44.0;-818.0;1707.0;-889.0
;96.0;13173.0;-454.0;229.0;-446.0;238.0;1402.0;105.0;1341.0;-994.0
;96.0;13175.0;-219.0;-20.0;-661.0;360.0;1592.0;648.0;1101.0;-1092.0
;96.0;13177.0;568.0;-252.0;-609.0;-461.0;1511.0;1175.0;727.0;-1206.0
;96.0;13179.0;775.0;-392.0;-505.0;-825.0;2228.0;1968.0;501.0;-959.0
;96.0;13181.0;145.0;-734.0;-481.0;-186.0;1942.0;1994.0;394.0;-718.0
;96.0;13183.0;-448.0;-805.0;-593.0;179.0;267.0;468.0;1.0;-736.0
;96.0;13185.0;-410.0;-846.0;-838.0;571.0;-122.0;-55.0;-428.0;-739.0
;96.0;13187.0;-1007.0;-711.0;-905.0;1473.0;-390.0;-448.0;-898.0;-537.0
;96.0;13189.0;-1752.0;-350.0;-600.0;2032.0;-1175.0;-1332.0;-1014.0;-260.0
;96.0;13191.0;-2697.0;-157.0;-198.0;1502.0;-1133.0;-1467.0;-822.0;-179.0
;96.0;13193.0;-2597.0;-198.0;-44.0;856.0;-1254.0;-1703.0;-586.0;-25.0
;96.0;13195.0;-3058.0;245.0;-1.0;961.0;-504.0;-1169.0;-394.0;228.0
;96.0;13197.0;-2017.0;712.0;245.0;226.0;-1016.0;-1553.0;-235.0;451.0
;96.0;13199.0;-1827.0;440.0;312.0;1214.0;-165.0;-457.0;-119.0;688.0
;96.0;13201.0;-1343.0;1088.0;253.0;954.0;-437.0;-938.0;45.0;8.0
;96.0;13203.0;1115.0;1120.0;268.0;-1501.0;-3074.0;-3689.0;246.0;-32.0
;96.0;13205.0;-875.0;530.0;459.0;212.0;-1054.0;-1610.0;283.0;539.0
;96.0;13207.0;-1864.0;413.0;570.0;1453.0;713.0;57.0;294.0;237.0
;96.0;13209.0;-1599.0;592.0;464.0;1454.0;493.0;131.0;253.0;-121.0
;96.0;13211.0;-1330.0;465.0;647.0;986.0;-77.0;107.0;111.0;-335.0
;96.0;13213.0;-1553.0;102.0;647.0;1089.0;145.0;943.0;-40.0;-361.0
;96.0;13215.0;-314.0;-30.0;420.0;101.0;630.0;1621.0;25.0;-596.0
;96.0;13217.0;1084.0;-435.0;58.0;-979.0;461.0;1754.0;214.0;-717.0
;96.0;13219.0;840.0;-608.0;-149.0;-767.0;72.0;2121.0;328.0;-485.0
;96.0;13221.0;372.0;-720.0;-259.0;-743.0;423.0;2004.0;409.0;-418.0
;96.0;13223.0;122.0;-835.0;-493.0;-887.0;1218.0;1659.0;645.0;-338.0
;96.0;13225.0;510.0;-551.0;-788.0;-1093.0;1221.0;1903.0;790.0;-448.0
;96.0;13227.0;2718.0;-243.0;-889.0;-2596.0;-1587.0;-1284.0;490.0;-483.0
;96.0;13229.0;974.0;-835.0;-605.0;-821.0;-1399.0;-628.0;88.0;413.0
;96.0;13231.0;-253.0;-609.0;-405.0;248.0;-1345.0;637.0;-39.0;364.0
;96.0;13233.0;713.0;183.0;-306.0;-436.0;-1821.0;-23.0;-70.0;100.0
;96.0;13235.0;1912.0;300.0;-36.0;-1617.0;-1277.0;-1155.0;-137.0;265.0
;96.0;13237.0;1093.0;159.0;147.0;-882.0;365.0;-1217.0;-120.0;687.0
;96.0;13239.0;486.0;629.0;137.0;-339.0;155.0;-1804.0;53.0;291.0
;96.0;13241.0;1119.0;791.0;105.0;-1505.0;-1757.0;-3090.0;77.0;32.0
;96.0;13243.0;680.0;579.0;149.0;-1356.0;-1957.0;-2519.0;-43.0;514.0
;96.0;13245.0;-280.0;623.0;-85.0;-183.0;-1633.0;-1945.0;-222.0;662.0
;96.0;13247.0;-604.0;360.0;-350.0;727.0;-389.0;-334.0;-231.0;238.0
;96.0;13249.0;-1172.0;179.0;-400.0;1569.0;2194.0;2030.0;-132.0;79.0
;96.0;13251.0;554.0;970.0;-570.0;29.0;2343.0;1651.0;-13.0;-675.0
