TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  18:07:09.020994 ;96.0;721.0;11301.0;-13965.0;-248.0;-10122.0;-9195.0;-14591.0;-183.0;10929.0
;96.0;723.0;2809.0;-11378.0;-201.0;-1889.0;-278.0;-5335.0;-105.0;7991.0
;96.0;725.0;7198.0;-16298.0;-210.0;-5141.0;-2496.0;-9306.0;-27.0;10096.0
;96.0;727.0;7777.0;-17348.0;-202.0;-5230.0;-2483.0;-10718.0;31.0;10188.0
;96.0;729.0;16241.0;-12967.0;-206.0;-14046.0;-11775.0;-18071.0;121.0;6379.0
;96.0;731.0;6399.0;-12139.0;-217.0;-5280.0;-3301.0;-8105.0;93.0;6415.0
;96.0;733.0;1972.0;-8348.0;-174.0;-852.0;1174.0;-1815.0;127.0;3176.0
;96.0;735.0;4102.0;-1852.0;-189.0;-3269.0;-1903.0;-2434.0;194.0;-1586.0
;96.0;737.0;7606.0;3202.0;-155.0;-7648.0;-6979.0;-5102.0;173.0;-4081.0
;96.0;739.0;-4124.0;6169.0;-95.0;3089.0;3787.0;7924.0;79.0;-5807.0
;96.0;741.0;-11482.0;12634.0;-120.0;9827.0;10172.0;16807.0;80.0;-9513.0
;96.0;743.0;-3645.0;12005.0;-147.0;2628.0;2982.0;9044.0;105.0;-8297.0
;96.0;745.0;-11586.0;15906.0;-22.0;9370.0;7828.0;15626.0;96.0;-9470.0
;96.0;747.0;-15487.0;18088.0;220.0;13281.0;10232.0;19017.0;105.0;-10844.0
;96.0;749.0;-10703.0;13306.0;149.0;9242.0;6448.0;13237.0;118.0;-7233.0
;96.0;751.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;753.0;18516.0;-10168.0;-12551.0;-15250.0;-1164.0;-8085.0;-136.0;-6235.0
