TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  18:16:09.870807 ;96.0;53367.0;-14274.0;6875.0;-681.0;13109.0;11083.0;13056.0;-50.0;-2478.0
;96.0;53369.0;-6912.0;773.0;-642.0;7348.0;6679.0;7286.0;-124.0;3143.0
;96.0;53371.0;12818.0;-3012.0;-832.0;-10494.0;-13036.0;-13508.0;-10.0;6972.0
;96.0;53373.0;10925.0;-11955.0;-704.0;-9089.0;-13216.0;-15411.0;52.0;15992.0
;96.0;53375.0;-2219.0;-12582.0;-396.0;3763.0;394.0;-2642.0;34.0;15643.0
;96.0;53377.0;13967.0;-11239.0;-252.0;-11470.0;-13637.0;-16622.0;-10.0;12414.0
;96.0;53379.0;17497.0;-20514.0;-455.0;-15815.0;-15869.0;-22317.0;-145.0;21007.0
;96.0;53381.0;14964.0;-16441.0;-768.0;-14278.0;-12881.0;-19350.0;-92.0;15756.0
;96.0;53383.0;16140.0;-13237.0;-1049.0;-15642.0;-14757.0;-19493.0;-17.0;10922.0
;96.0;53385.0;-4788.0;-11730.0;-956.0;5220.0;5149.0;613.0;62.0;9017.0
;96.0;53387.0;9667.0;-4413.0;-451.0;-8560.0;-9360.0;-11823.0;102.0;462.0
;96.0;53389.0;5478.0;-951.0;386.0;-5331.0;-6685.0;-6972.0;90.0;-3112.0
;96.0;53391.0;-6380.0;3695.0;638.0;6002.0;5248.0;6580.0;51.0;-7827.0
;96.0;53393.0;-13068.0;10410.0;135.0;12375.0;13312.0;16740.0;76.0;-14661.0
;96.0;53395.0;-5694.0;12671.0;-322.0;6418.0;7262.0;12030.0;-25.0;-15953.0
;96.0;53397.0;-5052.0;12096.0;-166.0;5637.0;6509.0;11335.0;-141.0;-13987.0
;96.0;53399.0;-18888.0;16626.0;-13672.0;11538.0;21927.0;26916.0;-2472.0;-31947.0
;96.0;53401.0;-14462.0;-38814.0;-23948.0;-38218.0;-937.0;3768.0;0.0;0.0
;96.0;53403.0;15212.0;-6931.0;-12522.0;-20191.0;-3714.0;-12822.0;-839.0;-7597.0
;96.0;53405.0;11231.0;-2625.0;-11072.0;-16049.0;529.0;-6427.0;-838.0;-9483.0
;96.0;53407.0;3518.0;4512.0;-9833.0;-8639.0;8375.0;3935.0;-731.0;-12926.0
;96.0;53409.0;500.0;4976.0;-8687.0;-5046.0;9755.0;6262.0;-568.0;-11371.0
;96.0;53411.0;-6332.0;8758.0;-7683.0;1492.0;15799.0;14001.0;-571.0;-12344.0
;96.0;53413.0;-9059.0;13794.0;-6825.0;4205.0;18580.0;19241.0;-592.0;-14570.0
;96.0;53415.0;-8026.0;11609.0;-5991.0;3959.0;16118.0;16850.0;-595.0;-11854.0
;96.0;53417.0;-298.0;7696.0;-5274.0;-2949.0;6417.0;6582.0;-412.0;-8228.0
;96.0;53419.0;-5624.0;4825.0;-4783.0;2666.0;9126.0;9049.0;-278.0;-4872.0
;96.0;53421.0;-6067.0;2770.0;-4486.0;4032.0;8787.0;7913.0;-193.0;-3108.0
;96.0;53423.0;8206.0;-4673.0;-4194.0;-8897.0;-5399.0;-7424.0;-97.0;1561.0
;96.0;53425.0;6647.0;-8629.0;-3861.0;-6912.0;-4746.0;-7462.0;-169.0;5180.0
;96.0;53427.0;10620.0;-13181.0;-3497.0;-9773.0;-8615.0;-12906.0;-216.0;7870.0
;96.0;53429.0;14944.0;-13414.0;-3183.0;-14304.0;-12652.0;-16912.0;-223.0;7392.0
;96.0;53431.0;15253.0;-16754.0;-2794.0;-14026.0;-13406.0;-17925.0;-186.0;9105.0
;96.0;53433.0;19072.0;-20668.0;-2389.0;-17275.0;-17692.0;-23463.0;-129.0;11424.0
;96.0;53435.0;15676.0;-16475.0;-2089.0;-14791.0;-14847.0;-19677.0;-91.0;8419.0
;96.0;53437.0;9931.0;-12962.0;-1890.0;-9649.0;-9588.0;-13675.0;-91.0;5946.0
;96.0;53439.0;8300.0;-10668.0;-1665.0;-7801.0;-7104.0;-11280.0;-112.0;3806.0
;96.0;53441.0;1376.0;-5762.0;-1601.0;-1337.0;-563.0;-3647.0;-97.0;344.0
;96.0;53443.0;1007.0;1734.0;-1726.0;-1524.0;-730.0;-2086.0;-23.0;-4208.0
;96.0;53445.0;-406.0;5372.0;-1931.0;-535.0;760.0;955.0;-35.0;-6694.0
;96.0;53447.0;-4947.0;10810.0;-1930.0;3209.0;6334.0;8621.0;-145.0;-9663.0
