TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
 2023-02-22  14:07:48.468751 ;96;35119;4165;2465;1599;1312;-3905;-407;8571;-638
nan;96;35121;-439;-541;373;-489;94;-869;2584;393
nan;96;35123;27;214;-874;-819;78;-1354;2583;-1643
nan;96;35125;1126;2497;-1548;-196;-1301;-1565;2624;-2965
nan;96;35127;0;0;0;0;0;0;0;0
nan;96;35129;-1679;1417;-9701;-8129;3376;-5427;-4801;-4237
nan;96;35131;175;2391;-8645;-6966;1448;-4646;206;-5014
nan;96;35133;1187;1772;-7869;-5980;1210;-3763;2277;-4228
nan;96;35135;1815;1308;-7144;-5709;1121;-3199;4410;-3620
nan;96;35137;2781;1464;-6295;-5059;65;-3061;7791;-3778
nan;96;35139;1974;810;-5447;-4002;173;-2881;8928;-2707
nan;96;35141;2970;1202;-4786;-3061;-692;-2592;9479;-2582
nan;96;35143;1946;-279;-4254;-2635;890;-2342;4498;-881
nan;96;35145;1340;-243;-3775;-2660;1215;-2177;2166;-445
nan;96;35147;344;358;-3417;-2512;1160;-2006;829;-887
nan;96;35149;-1783;-336;-3037;-2032;2097;-1775;-3976;-345
nan;96;35151;-2385;-190;-2704;-1668;2437;-1489;-6699;-608
nan;96;35153;-1590;309;-2328;-1961;2172;-1452;-7337;-1268
nan;96;35155;-2578;18;-1983;-2272;2467;-1422;-9730;-1128
nan;96;35157;-2121;1721;-1713;-2137;601;-1216;-9774;-2861
nan;96;35159;-2390;1968;-1561;-1931;259;-975;-10876;-2638
nan;96;35161;-2820;555;-1454;-1649;1625;-790;-10691;-753
nan;96;35163;-1023;558;-1309;-1398;1151;-662;-6526;-542
nan;96;35165;-196;830;-1036;-1270;756;-631;-4820;-945
nan;96;35167;-681;485;-831;-936;764;-529;-3857;-764
nan;96;35169;664;842;-799;-625;-228;-431;947;-1172
nan;96;35171;-242;-1812;-711;-391;1348;-471;2298;1534
nan;96;35173;1995;-135;-573;-216;85;-629;5353;96
nan;96;35175;5315;870;-449;-177;-2054;-917;9239;-742
nan;96;35177;4842;-835;-391;-190;-1697;-1155;10950;1066
nan;96;35179;4703;-195;-209;-248;-2842;-1248;11983;368
nan;96;35181;3531;-637;-232;-231;-2326;-1205;9187;553
nan;96;35183;2917;-133;-312;48;-1977;-989;6168;-123
nan;96;35185;2339;331;-209;67;-1865;-536;4342;-665
