TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  22:37:23.287699 ;96.0;57007.0;15885.0;36865.0;-12762.0;-20848.0;-2392.0;-5307.0;-839.0;-9718.0
;96.0;57009.0;10076.0;42759.0;-11290.0;-12438.0;3835.0;1610.0;-747.0;-13924.0
;96.0;57011.0;7157.0;40813.0;-9993.0;-8445.0;6676.0;4401.0;-744.0;-13597.0
;96.0;57013.0;853.0;46757.0;-8851.0;-197.0;14633.0;12292.0;-748.0;-17041.0
;96.0;57015.0;-6960.0;50382.0;-7860.0;9292.0;23326.0;21224.0;-730.0;-19745.0
;96.0;57017.0;-5784.0;45361.0;-7048.0;8341.0;20172.0;17925.0;-598.0;-18115.0
;96.0;57019.0;-5234.0;39739.0;-6316.0;7594.0;18149.0;15897.0;-571.0;-15640.0
;96.0;57021.0;-6105.0;35194.0;-5627.0;8243.0;16975.0;14270.0;-458.0;-13474.0
;96.0;57023.0;104.0;27119.0;-5053.0;1352.0;8822.0;6225.0;-346.0;-10029.0
;96.0;57025.0;5007.0;16672.0;-4521.0;-5115.0;1727.0;-571.0;-284.0;-5465.0
;96.0;57027.0;9678.0;7781.0;-3994.0;-11006.0;-5007.0;-7404.0;-245.0;-973.0
;96.0;57029.0;14652.0;-2470.0;-3535.0;-17618.0;-12677.0;-15286.0;-194.0;3955.0
;96.0;57031.0;17966.0;-4950.0;-3158.0;-21121.0;-17017.0;-19393.0;-214.0;4772.0
;96.0;57033.0;22140.0;-16311.0;-2715.0;-26951.0;-23279.0;-25469.0;-234.0;10305.0
;96.0;57035.0;18634.0;-22405.0;-2308.0;-24866.0;-21741.0;-23796.0;-219.0;13221.0
;96.0;57037.0;22508.0;-19482.0;-1885.0;-28220.0;-25899.0;-27311.0;-239.0;11144.0
;96.0;57039.0;17965.0;-18446.0;-1660.0;-23578.0;-21251.0;-22318.0;-206.0;11073.0
;96.0;57041.0;11897.0;-15352.0;-1638.0;-17246.0;-14440.0;-14508.0;-127.0;8742.0
;96.0;57043.0;13134.0;-8780.0;-1556.0;-17042.0;-14190.0;-13758.0;-137.0;5489.0
;96.0;57045.0;5817.0;-770.0;-1404.0;-7976.0;-5681.0;-5087.0;-63.0;1636.0
;96.0;57047.0;2063.0;6354.0;-1247.0;-2709.0;-1272.0;22.0;46.0;-2683.0
;96.0;57049.0;-4208.0;14899.0;-1116.0;5447.0;5668.0;7210.0;196.0;-7227.0
;96.0;57051.0;-6510.0;16025.0;-930.0;8405.0;7929.0;9495.0;165.0;-7868.0
;96.0;57053.0;-15599.0;24849.0;-887.0;19231.0;19413.0;20492.0;-15.0;-11665.0
