TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  22:41:24.858733 ;96.0;13969.0;11853.0;-18026.0;-137.0;-10924.0;-11387.0;-12883.0;8.0;9261.0
;96.0;13971.0;5824.0;-27494.0;-135.0;-4656.0;-4698.0;-5057.0;-19.0;12539.0
;96.0;13973.0;29083.0;-26079.0;-148.0;-26679.0;-26486.0;-25345.0;57.0;8984.0
;96.0;13975.0;38164.0;-26895.0;-118.0;-37004.0;-34985.0;-33344.0;-20.0;10828.0
;96.0;13977.0;16126.0;-24202.0;-42.0;-16487.0;-13714.0;-11431.0;-18.0;9736.0
;96.0;13979.0;6706.0;-16811.0;-50.0;-7032.0;-4325.0;-971.0;20.0;4681.0
;96.0;13981.0;17146.0;-7400.0;-77.0;-17022.0;-14104.0;-10565.0;59.0;-163.0
;96.0;13983.0;5209.0;-2691.0;30.0;-6206.0;-3375.0;-960.0;68.0;-400.0
;96.0;13985.0;-10789.0;7480.0;112.0;9382.0;10717.0;12191.0;69.0;-4874.0
;96.0;13987.0;-14686.0;17136.0;151.0;13549.0;13604.0;14422.0;6.0;-9324.0
;96.0;13989.0;-17326.0;15467.0;76.0;15878.0;14884.0;14276.0;-22.0;-6709.0
;96.0;13991.0;-25135.0;29102.0;-14.0;23250.0;22317.0;21033.0;4.0;-12940.0
;96.0;13993.0;-22774.0;30072.0;-144.0;21821.0;20645.0;18886.0;29.0;-12475.0
;96.0;13995.0;-18075.0;24696.0;-112.0;17593.0;16810.0;14656.0;32.0;-9529.0
;96.0;13997.0;-20257.0;21538.0;-77.0;19683.0;19108.0;16908.0;-71.0;-7506.0
;96.0;13999.0;-14185.0;17620.0;-44.0;14441.0;13203.0;10864.0;-11.0;-5550.0
;96.0;14001.0;-12111.0;8331.0;-15.0;12875.0;11514.0;9344.0;-34.0;-853.0
;96.0;14003.0;-2468.0;30923.0;-12801.0;-504576.0;2631168.0;959999.0;-371457.0;-3922176.0
;96.0;14005.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;14007.0;37758.0;-11395.0;-12925.0;-42489.0;-17249.0;-26911.0;-1127.0;1105.0
;96.0;14009.0;30343.0;-10014.0;-11862.0;-34890.0;-11867.0;-19863.0;-821.0;737.0
;96.0;14011.0;24845.0;-7650.0;-10874.0;-29389.0;-9215.0;-15273.0;-677.0;-364.0
;96.0;14013.0;17860.0;372.0;-9438.0;-21862.0;-5945.0;-10090.0;-740.0;-3369.0
;96.0;14015.0;9638.0;7758.0;-8181.0;-13001.0;-149.0;-3069.0;-844.0;-5391.0
;96.0;14017.0;2982.0;16120.0;-6894.0;-5759.0;4928.0;3283.0;-701.0;-8796.0
;96.0;14019.0;3355.0;24040.0;-5580.0;-4779.0;3400.0;2915.0;-631.0;-11853.0
;96.0;14021.0;-1752.0;21664.0;-4257.0;1009.0;7597.0;6729.0;-715.0;-9843.0
;96.0;14023.0;-13854.0;33598.0;-3487.0;14193.0;17309.0;17302.0;-353.0;-14247.0
;96.0;14025.0;-16216.0;35658.0;-2872.0;17611.0;18213.0;18254.0;-220.0;-15340.0
;96.0;14027.0;-15943.0;29179.0;-2730.0;17470.0;16510.0;15441.0;-265.0;-12569.0
;96.0;14029.0;-16855.0;25079.0;-2819.0;18368.0;16167.0;14315.0;-373.0;-11014.0
;96.0;14031.0;-13296.0;20140.0;-2860.0;14787.0;13217.0;10769.0;-561.0;-8248.0
;96.0;14033.0;-11437.0;11897.0;-2828.0;12743.0;12908.0;9870.0;-593.0;-4823.0
;96.0;14035.0;1720.0;3978.0;-2588.0;-376.0;1565.0;-1978.0;-616.0;-2222.0
;96.0;14037.0;5368.0;-5774.0;-2350.0;-4470.0;-1031.0;-5210.0;-625.0;2721.0
;96.0;14039.0;9128.0;-13223.0;-2209.0;-8596.0;-3126.0;-7368.0;-538.0;5306.0
;96.0;14041.0;18552.0;-13495.0;-2026.0;-18053.0;-12145.0;-15579.0;-381.0;4917.0
;96.0;14043.0;23684.0;-27788.0;-1770.0;-24162.0;-16673.0;-20855.0;-224.0;11092.0
;96.0;14045.0;20285.0;-28497.0;-1431.0;-21487.0;-14020.0;-17808.0;-171.0;10715.0
;96.0;14047.0;20765.0;-24651.0;-1115.0;-22099.0;-15760.0;-18389.0;-74.0;9409.0
;96.0;14049.0;14018.0;-20923.0;-1117.0;-15661.0;-10120.0;-11570.0;38.0;7764.0
;96.0;14051.0;17113.0;-16477.0;-920.0;-18581.0;-13511.0;-13369.0;106.0;5178.0
;96.0;14053.0;12955.0;-8054.0;-795.0;-14200.0;-11412.0;-9981.0;94.0;2298.0
;96.0;14055.0;4369.0;-219.0;-1013.0;-5286.0;-4745.0;-2821.0;-21.0;-408.0
;96.0;14057.0;-5644.0;9212.0;-1110.0;4763.0;4313.0;6806.0;-50.0;-4048.0
;96.0;14059.0;-10284.0;17877.0;-984.0;10265.0;9389.0;12453.0;-57.0;-7566.0
;96.0;14061.0;-8141.0;18440.0;-785.0;8398.0;8325.0;10817.0;48.0;-7817.0
;96.0;14063.0;-20757.0;28883.0;-640.0;20890.0;18974.0;21852.0;109.0;-10222.0
;96.0;14065.0;-29675.0;32819.0;-555.0;30007.0;27103.0;29710.0;108.0;-12661.0
;96.0;14067.0;-10185.0;28627.0;-445.0;11217.0;8430.0;10125.0;50.0;-12187.0
;96.0;14069.0;-10192.0;21418.0;-153.0;10931.0;9064.0;9711.0;-83.0;-6895.0
;96.0;14071.0;-27597.0;16944.0;-93.0;27764.0;27562.0;27108.0;-241.0;-4578.0
;96.0;14073.0;-14039.0;11885.0;100.0;14696.0;16878.0;15645.0;-282.0;-5541.0
;96.0;14075.0;11966.0;148.0;225.0;-11132.0;-7766.0;-9639.0;-72.0;-271.0
;96.0;14077.0;5964.0;-10464.0;400.0;-6249.0;-2352.0;-5178.0;27.0;4670.0
;96.0;14079.0;18696.0;-14629.0;526.0;-19302.0;-14796.0;-18008.0;147.0;4117.0
;96.0;14081.0;43871.0;-17871.0;428.0;-44574.0;-41082.0;-43704.0;302.0;6123.0
;96.0;14083.0;28167.0;-34580.0;191.0;-30958.0;-26708.0;-30389.0;200.0;14429.0
;96.0;14085.0;11982.0;-33703.0;-182.0;-15535.0;-11727.0;-14962.0;91.0;12562.0
;96.0;14087.0;10475.0;-27578.0;-342.0;-14047.0;-10529.0;-12638.0;-60.0;9529.0
;96.0;14089.0;11471.0;-23979.0;-331.0;-14846.0;-11004.0;-12045.0;-439.0;7900.0
;96.0;14091.0;11137.0;-20144.0;-401.0;-14269.0;-11118.0;-10942.0;-785.0;6372.0
;96.0;14093.0;3970.0;-10197.0;-347.0;-6527.0;-5471.0;-4266.0;-974.0;2688.0
;96.0;14095.0;-2614.0;-1958.0;-239.0;714.0;96.0;1868.0;-836.0;-214.0
;96.0;14097.0;-9738.0;7961.0;-160.0;8480.0;7031.0;9328.0;-454.0;-4200.0
;96.0;14099.0;-6986.0;16725.0;-157.0;6803.0;5299.0;7939.0;14.0;-7844.0
;96.0;14101.0;-9165.0;16298.0;-203.0;9347.0;8190.0;10422.0;290.0;-6637.0
;96.0;14103.0;-19857.0;29037.0;-136.0;21039.0;18401.0;21399.0;393.0;-10960.0
;96.0;14105.0;-26205.0;30906.0;-30.0;28022.0;25998.0;28600.0;474.0;-11330.0
;96.0;14107.0;-20174.0;27035.0;-31.0;22256.0;22054.0;24020.0;693.0;-10552.0
;96.0;14109.0;-19911.0;22114.0;-43.0;21669.0;21361.0;22412.0;790.0;-7839.0
;96.0;14111.0;-13853.0;19085.0;-205.0;15677.0;15264.0;15205.0;871.0;-7312.0
;96.0;14113.0;-5638.0;7657.0;-623.0;6664.0;7628.0;6581.0;776.0;-2285.0
;96.0;14115.0;-2599.0;173.0;-612.0;2813.0;4875.0;3282.0;412.0;185.0
;96.0;14117.0;5465.0;-9245.0;-279.0;-5878.0;-2611.0;-5057.0;383.0;3771.0
;96.0;14119.0;13320.0;-16377.0;126.0;-14344.0;-10032.0;-13019.0;137.0;6496.0
;96.0;14121.0;17174.0;-18373.0;284.0;-18430.0;-14442.0;-16535.0;-313.0;7353.0
;96.0;14123.0;19413.0;-31053.0;111.0;-21553.0;-16899.0;-19750.0;-368.0;11937.0
;96.0;14125.0;19927.0;-30401.0;75.0;-22873.0;-18182.0;-20636.0;-62.0;11182.0
;96.0;14127.0;19169.0;-26123.0;-155.0;-22602.0;-17768.0;-19215.0;58.0;10082.0
;96.0;14129.0;15102.0;-22275.0;-251.0;-18618.0;-14017.0;-14520.0;-48.0;7759.0
;96.0;14131.0;15456.0;-18878.0;-63.0;-18796.0;-15281.0;-14659.0;-293.0;6408.0
;96.0;14133.0;3992.0;-8505.0;-143.0;-7307.0;-5667.0;-4022.0;-679.0;2396.0
;96.0;14135.0;-1460.0;-628.0;-353.0;-1736.0;-27.0;2190.0;-962.0;-562.0
;96.0;14137.0;-8196.0;8893.0;-234.0;5362.0;6899.0;9737.0;-714.0;-4435.0
;96.0;14139.0;-2646.0;18196.0;-135.0;1115.0;1784.0;5016.0;-182.0;-8988.0
;96.0;14141.0;13841.0;18886.0;-110.0;-14429.0;-14007.0;-11733.0;45.0;-8961.0
;96.0;14143.0;6642.0;26679.0;118.0;-7089.0;-8845.0;-6467.0;79.0;-9244.0
;96.0;14145.0;-17771.0;28156.0;155.0;17059.0;15237.0;17053.0;181.0;-10160.0
;96.0;14147.0;-23357.0;22943.0;251.0;22164.0;21002.0;22253.0;296.0;-9115.0
;96.0;14149.0;-24004.0;20640.0;100.0;22284.0;21667.0;22157.0;608.0;-8372.0
;96.0;14151.0;-16334.0;15915.0;120.0;14190.0;15510.0;15016.0;871.0;-6499.0
;96.0;14153.0;-9187.0;5420.0;281.0;5817.0;9649.0;8349.0;1009.0;-2376.0
;96.0;14155.0;-5921.0;-2173.0;217.0;1446.0;7318.0;5263.0;808.0;755.0
;96.0;14157.0;651.0;-11305.0;232.0;-5693.0;1933.0;-719.0;682.0;3971.0
;96.0;14159.0;9524.0;-17943.0;-77.0;-15498.0;-6812.0;-9831.0;535.0;6665.0
;96.0;14161.0;11119.0;-19695.0;-467.0;-16882.0;-8773.0;-11180.0;363.0;7704.0
;96.0;14163.0;13534.0;-31071.0;-478.0;-12714.0;-9920.0;-13000.0;219.0;12075.0
;96.0;14165.0;14441.0;-29646.0;-337.0;-7484.0;-10669.0;-13113.0;28.0;11604.0
;96.0;14167.0;10739.0;-23970.0;-57.0;-4482.0;-7176.0;-8735.0;-171.0;9704.0
;96.0;14169.0;12070.0;-20380.0;303.0;-9590.0;-8521.0;-8976.0;-451.0;7729.0
;96.0;14171.0;15198.0;-15394.0;508.0;-15750.0;-13091.0;-12320.0;-837.0;5512.0
;96.0;14173.0;4405.0;-5821.0;429.0;-5697.0;-5451.0;-3842.0;-1058.0;2707.0
;96.0;14175.0;-6606.0;3035.0;450.0;10903.0;3870.0;6060.0;-959.0;-700.0
;96.0;14177.0;-4038.0;15294.0;424.0;11313.0;-694.0;2387.0;-413.0;-6260.0
;96.0;14179.0;-5583.0;20047.0;250.0;9561.0;-613.0;2336.0;-331.0;-6721.0
;96.0;14181.0;-11210.0;22409.0;161.0;11734.0;5607.0;7764.0;-682.0;-6897.0
;96.0;14183.0;-22423.0;35606.0;199.0;22485.0;15842.0;18674.0;-780.0;-11420.0
;96.0;14185.0;-24198.0;35435.0;6.0;25504.0;17350.0;19837.0;-745.0;-11705.0
;96.0;14187.0;-22674.0;28243.0;-3.0;26527.0;15183.0;16800.0;-445.0;-9336.0
;96.0;14189.0;-22908.0;24547.0;-119.0;28346.0;15538.0;16437.0;-175.0;-8169.0
;96.0;14191.0;-22609.0;18298.0;-146.0;27464.0;17589.0;17213.0;-145.0;-5467.0
;96.0;14193.0;-5284.0;9132.0;-21.0;8546.0;4756.0;3491.0;-15.0;-3928.0
;96.0;14195.0;4629.0;-1414.0;66.0;-4185.0;-3482.0;-5307.0;248.0;1026.0
;96.0;14197.0;2331.0;-12712.0;172.0;-4173.0;-906.0;-3707.0;265.0;5879.0
;96.0;14199.0;16653.0;-13204.0;57.0;-17034.0;-14477.0;-17272.0;125.0;3607.0
;96.0;14201.0;40535.0;-19271.0;-197.0;-37049.0;-36950.0;-39134.0;-41.0;7323.0
;96.0;14203.0;31839.0;-34577.0;-390.0;-29269.0;-26912.0;-29995.0;-75.0;13983.0
;96.0;14205.0;15738.0;-32540.0;-448.0;-15666.0;-11657.0;-14260.0;-2.0;12847.0
;96.0;14207.0;11583.0;-24100.0;-350.0;-13059.0;-7184.0;-8598.0;248.0;8570.0
;96.0;14209.0;12380.0;-22546.0;-288.0;-15700.0;-7882.0;-8712.0;687.0;8885.0
;96.0;14211.0;6845.0;-15394.0;-203.0;-7177.0;-2557.0;-2383.0;789.0;5165.0
;96.0;14213.0;6146.0;-6259.0;-151.0;-2233.0;-2732.0;-1545.0;800.0;1774.0
;96.0;14215.0;-18.0;1290.0;-52.0;3259.0;1742.0;3577.0;930.0;-741.0
;96.0;14217.0;-4960.0;12743.0;-5.0;5475.0;4281.0;7266.0;956.0;-5137.0
;96.0;14219.0;-10153.0;18507.0;266.0;8850.0;7950.0;11186.0;631.0;-6798.0
;96.0;14221.0;-13807.0;20890.0;414.0;10653.0;11025.0;13760.0;32.0;-7507.0
;96.0;14223.0;-25114.0;33022.0;180.0;24702.0;20668.0;24039.0;-603.0;-11729.0
;96.0;14225.0;-24220.0;32881.0;34.0;28449.0;20362.0;23216.0;-751.0;-12228.0
;96.0;14227.0;-15411.0;26228.0;78.0;19651.0;12022.0;13740.0;-461.0;-9876.0
;96.0;14229.0;-14491.0;21201.0;68.0;17819.0;11669.0;12601.0;-643.0;-7286.0
;96.0;14231.0;-21029.0;15422.0;-56.0;23629.0;19330.0;19380.0;-953.0;-4743.0
;96.0;14233.0;-7638.0;6576.0;-153.0;10448.0;9072.0;8490.0;-795.0;-3087.0
;96.0;14235.0;1924.0;-2993.0;-59.0;63.0;943.0;-450.0;-364.0;769.0
;96.0;14237.0;3776.0;-14609.0;-155.0;-3694.0;474.0;-2213.0;147.0;5619.0
;96.0;14239.0;13331.0;-17106.0;-183.0;-13477.0;-7418.0;-10453.0;435.0;5305.0
;96.0;14241.0;29287.0;-21359.0;2.0;-28281.0;-23279.0;-26012.0;400.0;7441.0
