TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  22:47:16.104237 ;96.0;5699.0;-21128.0;17681.0;93.0;20826.0;15310.0;15752.0;-27.0;-2931.0
;96.0;5701.0;-13130.0;8951.0;71.0;13289.0;9381.0;8604.0;-39.0;471.0
;96.0;5703.0;-2821.0;746.0;-2.0;2895.0;1064.0;-743.0;34.0;3844.0
;96.0;5705.0;1317.0;-8501.0;-93.0;-1079.0;-1076.0;-4285.0;-103.0;7827.0
;96.0;5707.0;26597.0;-11869.0;-125.0;-24765.0;-23323.0;-27046.0;-180.0;6333.0
;96.0;5709.0;32922.0;-18666.0;-85.0;-31356.0;-29694.0;-32936.0;-92.0;9760.0
;96.0;5711.0;20105.0;-31499.0;-91.0;-18841.0;-14271.0;-18330.0;-68.0;14764.0
;96.0;5713.0;15326.0;-28705.0;-130.0;-14237.0;-7729.0;-11194.0;-59.0;10445.0
;96.0;5715.0;17304.0;-25075.0;-109.0;-16745.0;-9889.0;-12304.0;-17.0;7898.0
;96.0;5717.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;5719.0;73906.0;19879.0;-14801.0;-44556.0;6930.0;4202.0;-1004.0;-16835.0
;96.0;5721.0;42837.0;28556.0;-13074.0;-16979.0;26961.0;25435.0;-797.0;-20171.0
;96.0;5723.0;37659.0;26056.0;-11452.0;-14187.0;23953.0;22098.0;-676.0;-17779.0
;96.0;5725.0;33714.0;21886.0;-10098.0;-12556.0;20943.0;18445.0;-672.0;-14270.0
;96.0;5727.0;30830.0;18805.0;-8797.0;-11765.0;17285.0;13990.0;-649.0;-11120.0
;96.0;5729.0;31927.0;11742.0;-7897.0;-14773.0;11524.0;7194.0;-616.0;-6956.0
;96.0;5731.0;39514.0;2552.0;-7058.0;-23885.0;-122.0;-5723.0;-456.0;-2422.0
;96.0;5733.0;38436.0;-3946.0;-6172.0;-24335.0;-3093.0;-9553.0;-300.0;1310.0
;96.0;5735.0;77866.0;-8306.0;-5653.0;-63320.0;-43813.0;-49904.0;-323.0;987.0
;96.0;5737.0;107908.0;-15679.0;-5188.0;-94754.0;-75525.0;-80949.0;-406.0;6256.0
;96.0;5739.0;63984.0;-31609.0;-4519.0;-54160.0;-34671.0;-41187.0;-564.0;16745.0
;96.0;5741.0;35091.0;-31525.0;-4089.0;-26634.0;-8697.0;-14761.0;-532.0;13562.0
;96.0;5743.0;27171.0;-27591.0;-3655.0;-20100.0;-4226.0;-8593.0;-295.0;10691.0
;96.0;5745.0;18148.0;-22727.0;-3199.0;-12055.0;2134.0;-874.0;-216.0;7552.0
;96.0;5747.0;18918.0;-19013.0;-2889.0;-13554.0;164.0;-1381.0;-248.0;4498.0
;96.0;5749.0;15308.0;-12297.0;-2507.0;-11081.0;1605.0;1321.0;-218.0;1270.0
;96.0;5751.0;-1287.0;-3965.0;-2201.0;4315.0;14720.0;15505.0;-237.0;-1625.0
;96.0;5753.0;3124.0;8910.0;-2062.0;252.0;8209.0;10743.0;-212.0;-10417.0
;96.0;5755.0;52622.0;20530.0;-1902.0;-47812.0;-41996.0;-37776.0;-88.0;-16626.0
