TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-08  18:54:15.651041 ;96;29263;-19404;11536;125;16077;18297;19045;31;-6751
;96;29265;-28316;8444;-7;25118;26324;26943;42;-3641
;96;29267;-39799;6389;-179;37235;36711;37321;88;-1294
;96;29269;-55120;-990;-290;53865;50828;50789;113;4123
;96;29271;-59930;-1445;-408;60002;54656;54717;142;3783
;96;29273;-37718;-3384;-435;39547;32434;32602;96;4794
;96;29275;-27514;-11948;-394;29755;21945;22008;-13;10635
;96;29277;-49618;-13351;-337;51531;44252;44362;3;10603
;96;29279;-52526;-14781;-278;56280;46739;46080;-17;10860
;96;29281;-3738880;-3685888;-6961408;8113407;-466945;-9984;0;0
;96;29283;23617;-14450;-12634;-24758;-9680;-17189;-200;-1391
;96;29285;19273;-6335;-11316;-21009;-5797;-11688;-187;-6315
;96;29287;11561;-2336;-10159;-14149;836;-4514;-118;-7476
;96;29289;3822;3610;-9092;-6860;8069;3709;-126;-11219
;96;29291;-6524;7747;-8066;2976;17766;14261;-153;-12192
;96;29293;1784;8814;-7170;-4508;9147;6540;-148;-12013
;96;29295;-3688;14116;-6198;11;15148;13593;-123;-14295
;96;29297;-6639;13334;-5251;3319;17408;16635;-146;-12586
;96;29299;-6679;10199;-4496;4322;15738;14881;-87;-9071
;96;29301;205;8720;-3743;-2067;7527;6496;-68;-7566
;96;29303;-1114;4457;-3086;-667;6434;5192;-14;-3265
;96;29305;-984;-983;-2617;388;4203;2432;-65;407
;96;29307;2842;-5274;-2384;-2577;-1602;-3579;-7;3629
;96;29309;10029;-9478;-2336;-8923;-10232;-12374;-11;6911
;96;29311;12384;-13049;-2350;-11104;-13452;-15653;15;8930
;96;29313;12682;-13094;-2256;-11580;-12996;-14419;33;8220
;96;29315;7006;-19419;-2030;-5302;-8769;-9815;20;12632
;96;29317;20080;-14826;-1833;-17745;-21262;-21777;35;7915
 2023-06-08  18:54:15.853535 ;96;29319;16504;-14343;-1509;-15344;-18353;-19498;27;7768
