TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
 2023-02-22  14:05:12.293699 ;96;9037;1633;-798;-69;39;-1141;95;9735;210
nan;96;9039;787;-959;-24;71;-1133;-11;10530;706
nan;96;9041;2649;1322;16;54;-2882;-28;12006;-1521
nan;96;9043;3947;2479;116;4;-3421;-16;10083;-2444
nan;96;9045;2670;1169;145;7;-1633;-104;6277;-963
nan;96;9047;0;0;0;0;0;0;0;0
nan;96;9049;-629;1695;-10974;-5766;2124;-1893;314;-10357
nan;96;9051;-1703;188;-10204;-5179;3421;-1679;-3927;-7869
nan;96;9053;-1764;-250;-9066;-4689;3800;-1469;-6487;-6335
nan;96;9055;-423;244;-7898;-4227;2377;-1371;-5436;-6074
nan;96;9057;-930;246;-7055;-3763;2263;-1277;-6799;-5570
nan;96;9059;-2608;-631;-6315;-3580;2933;-1214;-9136;-4181
nan;96;9061;-1926;360;-5539;-3497;1676;-1126;-7305;-4782
nan;96;9063;-1615;260;-4940;-3135;1292;-1022;-5553;-4268
nan;96;9065;-1260;693;-4412;-2609;929;-915;-4082;-4236
nan;96;9067;-23;900;-4064;-2248;8;-785;1936;-4184
nan;96;9069;287;332;-3587;-1989;-39;-658;5264;-3394
nan;96;9071;-413;-880;-3055;-1869;926;-538;5679;-1988
nan;96;9073;327;-357;-2694;-1755;279;-510;8745;-1903
nan;96;9075;2736;1870;-2378;-1445;-2825;-454;14330;-3458
nan;96;9077;3152;1899;-2032;-1154;-3855;-437;15577;-3705
nan;96;9079;2211;1527;-1628;-1018;-3097;-370;14658;-3774
nan;96;9081;1417;1306;-1309;-1056;-1958;-302;10518;-3115
nan;96;9083;741;497;-1270;-1048;-683;-308;7536;-1372
nan;96;9085;581;429;-1040;-821;-332;-245;5913;-890
nan;96;9087;374;813;-858;-508;-85;-225;-198;-1516
nan;96;9089;-4180;-2791;-742;-370;3664;-117;-8477;1830
nan;96;9091;-2241;30;-574;-341;1996;-56;-8629;-997
nan;96;9093;291;1601;-453;-330;85;-108;-7531;-2627
nan;96;9095;-919;48;-499;-282;897;-127;-8752;-822
nan;96;9097;-1342;-102;-451;-328;1188;-105;-10445;-400
nan;96;9099;-1895;-847;-363;-298;1910;-136;-11224;281
nan;96;9101;-1228;-206;-389;-242;983;-48;-7873;-493
nan;96;9103;-778;424;-418;-133;213;25;-5962;-919
nan;96;9105;-1339;-656;-427;-125;1045;-63;-5210;361
nan;96;9107;-520;-726;-476;-193;816;-31;226;419
nan;96;9109;1213;216;-559;-223;-319;-18;5375;-421
nan;96;9111;1425;-466;-630;-134;-178;-40;6738;324
nan;96;9113;1597;-145;-538;-36;-788;6;8755;-25
