TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
 2023-02-22  14:16:07.868090 ;96;52547;-17446;-18543;-151;963;17844;-881;-9251;18894
nan;96;52549;-8017;-8967;-146;526;9784;232;-2767;9209
nan;96;52551;-2419;-3764;-69;66;4463;1369;1159;3857
nan;96;52553;995;382;-48;-176;19;1828;3616;-572
nan;96;52555;8428;9836;-20;447;-9293;2026;7514;-9647
nan;96;52557;13586;14610;90;430;-14264;1950;9909;-14188
nan;96;52559;16594;16181;167;-144;-15019;2639;11647;-16092
nan;96;52561;16167;14053;192;379;-11983;2846;10286;-14033
nan;96;52563;11041;8025;173;427;-6883;2115;5588;-8216
nan;96;52565;10772;9488;191;-355;-7571;1132;4829;-9846
nan;96;52567;10808;10193;172;-364;1490;833;-11057;-12704
nan;96;52569;0;0;0;0;0;0;0;0
nan;96;52571;-10550;-11158;422;-1165;-215;-4534;-10740;-9545
nan;96;52573;-2310;-1105;-566;-2309;-6623;-3954;-5709;-16975
nan;96;52575;4593;4871;-1090;-4464;-11456;-3470;-2915;-21369
nan;96;52577;9422;9161;-497;-5417;-16609;-3097;-589;-24312
nan;96;52579;12304;11285;-401;-4381;-19377;-2798;-154;-24643
nan;96;52581;9038;7381;-390;-3434;-19527;-2562;-3530;-19128
nan;96;52583;5995;5655;-137;-1925;-20244;-2386;-5329;-16003
nan;96;52585;8226;7940;158;409;-20111;-2161;-3866;-16682
nan;96;52587;5529;5647;265;1312;-16155;-2042;-5168;-12534
nan;96;52589;2137;3487;394;1100;-13071;-1927;-6399;-9005
nan;96;52591;-50;2213;846;779;-7587;-1942;-7944;-7637
nan;96;52593;-4487;-3218;1218;113;818;-1735;-9255;-2545
nan;96;52595;-8505;-7567;1539;-535;8749;-1491;-10501;1314
nan;96;52597;-10368;-9155;1892;-1470;11762;-1262;-11456;2919
nan;96;52599;-13030;-12457;2144;-2474;13247;-995;-11641;6795
nan;96;52601;-18233;-19103;2448;-2187;19296;-707;-13659;14009
nan;96;52603;-20333;-21496;2378;-1380;21586;-482;-13922;16984
nan;96;52605;-19573;-20611;1426;-1085;19547;-135;-12536;16979
nan;96;52607;-11216;-10687;-276;-586;11632;41;-7290;7660
nan;96;52609;-4181;-3925;-2015;-395;1785;-209;-4442;1356
nan;96;52611;624;-111;-3367;-749;-4134;-431;-1764;-947
nan;96;52613;7737;6752;-3199;-1185;-11665;-430;1981;-7155
nan;96;52615;12401;10626;-2398;-776;-16509;-338;3656;-11313
nan;96;52617;16703;14004;-2077;-223;-18022;-245;5896;-14597
nan;96;52619;19510;14634;-1195;194;-14781;-375;6616;-15029
nan;96;52621;15195;8569;-355;590;-6469;-427;1601;-8884
nan;96;52623;12164;7586;168;549;-4766;-329;-384;-7584
nan;96;52625;12464;9761;286;303;-7502;-54;113;-10516
nan;96;52627;8712;6226;-157;-137;-2159;405;-2112;-7475
nan;96;52629;5671;3960;239;-255;697;643;-3746;-5290
nan;96;52631;2830;2042;554;-6;627;659;-5010;-3508
nan;96;52633;-2946;-3097;393;974;3947;796;-6451;2018
nan;96;52635;-8296;-7304;177;1222;7615;977;-8429;6626
nan;96;52637;-12359;-9513;98;460;8960;1022;-8762;9501
nan;96;52639;-13509;-12526;746;-786;9198;790;-9089;12723
nan;96;52641;-12231;-19279;1033;-2123;12442;470;-12374;18632
nan;96;52643;-15901;-21420;665;-2961;16643;194;-13703;20871
nan;96;52645;-17038;-19054;693;-3327;17116;5;-12843;18330
nan;96;52647;-9803;-9664;1170;-1651;11583;-25;-7406;8743
nan;96;52649;-4703;-4059;1476;476;7814;58;-3997;3730
nan;96;52651;-23;899;1333;2491;3384;-13;-662;95
nan;96;52653;8801;9823;883;3533;-3066;-124;3029;-8247
nan;96;52655;12536;13716;525;1763;-5631;-58;2342;-12467
nan;96;52657;15585;17842;-229;-152;-10527;-61;3096;-16787
nan;96;52659;17337;18997;-1945;-667;-15114;12;2977;-18517
nan;96;52661;12600;12764;-1787;-17;-12571;-8;-1090;-12666
nan;96;52663;10130;11121;-729;-184;-9958;-96;-2592;-11126
nan;96;52665;10894;12747;136;-580;-10013;-179;-1113;-12951
nan;96;52667;8230;9532;913;-694;-6190;-186;-1652;-9773
nan;96;52669;6168;6842;1267;-223;-1929;-231;-1647;-7001
nan;96;52671;4122;5600;1089;159;-729;-273;-2616;-5601
nan;96;52673;-670;-73;304;-61;3030;-307;-3242;103
nan;96;52675;-5626;-5945;134;-269;8217;-366;-3536;5931
nan;96;52677;-7330;-9138;449;-310;11982;-370;-3013;9306
nan;96;52679;-9566;-13053;389;409;15005;-330;-3285;13415
nan;96;52681;-16333;-20391;-390;1190;20246;-252;-7831;20641
nan;96;52683;-19430;-22211;-984;813;22177;-317;-8805;21873
nan;96;52685;-18121;-19514;-871;563;20561;-272;-7276;18943
nan;96;52687;-9670;-9310;-1201;464;12178;-266;-2180;9086
nan;96;52689;-3442;-3504;-1825;190;6441;-327;1006;3657
nan;96;52691;489;514;-1061;77;2171;-371;3166;228
nan;96;52693;7490;8842;-24;-48;-5188;-273;6684;-7821
nan;96;52695;12568;13264;240;-425;-9460;-243;7392;-12900
nan;96;52697;15861;17407;114;-984;-11397;-185;7347;-17564
nan;96;52699;16422;17505;280;-778;-11397;-105;5519;-18154
nan;96;52701;11612;12340;181;-269;-7982;46;1833;-13080
nan;96;52703;9301;11347;-523;198;-7199;95;185;-11754
nan;96;52705;9776;11987;-613;372;-8415;84;-308;-12195
nan;96;52707;6046;7930;-82;-72;-4820;77;-3178;-8132
nan;96;52709;3358;5334;257;-451;-2087;-121;-5096;-5834
nan;96;52711;1412;3658;468;-673;-714;-286;-5615;-4022
nan;96;52713;-3132;-2079;516;-1016;4075;-280;-5584;1826
nan;96;52715;-6898;-6557;352;-1260;8867;-244;-5557;6224
nan;96;52717;-8349;-8363;48;-981;11314;-163;-4465;7677
nan;96;52719;-10556;-12360;-236;-503;14011;22;-5776;11549
nan;96;52721;-16046;-19420;-334;-561;19120;126;-8897;18875
nan;96;52723;-18026;-21362;46;-136;20110;78;-9564;21405
nan;96;52725;-16090;-18657;323;494;18469;-27;-8532;18648
nan;96;52727;-6816;-8557;310;307;11521;-107;-2556;8436
nan;96;52729;-304;-4024;265;258;7437;-222;1983;3895
nan;96;52731;4314;-351;242;307;3690;-274;4950;1197
nan;96;52733;11881;8512;192;491;-5008;-107;9004;-7278
nan;96;52735;15093;12748;137;-14;-11441;-144;9826;-12214
nan;96;52737;17999;16791;41;-387;-15903;-293;11381;-17014
nan;96;52739;19200;17343;-39;-484;-14839;-271;11585;-17667
nan;96;52741;13672;10671;192;-139;-12358;-13;6831;-10924
nan;96;52743;12002;9960;381;331;-9717;87;4656;-10386
nan;96;52745;13240;11160;176;512;-10827;51;3737;-12177
nan;96;52747;9571;7503;-156;890;-7443;-52;2103;-8383
nan;96;52749;6312;5301;-46;2228;-3166;-87;922;-5486
nan;96;52751;4022;3732;108;1808;-503;-15;-510;-3372
nan;96;52753;-700;-1813;124;204;4331;41;-1455;2288
nan;96;52755;-6103;-6804;87;-308;8878;147;-2533;6895
nan;96;52757;-9105;-9103;226;5;10396;192;-2199;8786
nan;96;52759;-13136;-13385;434;-63;13104;190;-3233;12824
nan;96;52761;-21362;-20236;573;-343;19878;214;-7324;20179
nan;96;52763;-24080;-21929;597;-189;22335;186;-8020;21695
nan;96;52765;-20096;-19159;641;-154;20810;243;-5358;18764
nan;96;52767;-10541;-9738;1097;-368;12206;186;1695;9703
nan;96;52769;-5711;-4656;1597;-741;5270;111;4068;4927
nan;96;52771;-1428;279;1646;-1202;386;223;6072;525
nan;96;52773;6541;8855;478;-1133;-7890;183;10112;-7967
nan;96;52775;9696;12063;-465;-29;-12147;-15;11683;-11220
nan;96;52777;13253;16245;-64;739;-14625;-178;13099;-15704
nan;96;52779;13673;17000;561;998;-15110;-175;11634;-16874
nan;96;52781;7462;11417;503;1208;-10374;-270;5286;-11337
nan;96;52783;6180;11547;131;926;-9132;-392;3257;-10784
nan;96;52785;7430;12895;-382;402;-11642;-455;3791;-12014
nan;96;52787;4089;8802;-1976;-669;-9186;-388;2349;-8611
nan;96;52789;1503;4533;-1895;-1148;-5387;-321;1131;-5149
nan;96;52791;-175;1469;-754;-554;-3099;-115;924;-2047
nan;96;52793;-4728;-4217;43;-111;1248;69;-80;3448
nan;96;52795;-7940;-8014;751;-172;4768;137;-1088;7058
nan;96;52797;-10245;-9939;945;-538;7249;149;-2118;8965
nan;96;52799;-13054;-14289;790;-1007;11559;110;-3291;13088
nan;96;52801;-17286;-20009;1039;-1564;17850;96;-6341;18917
nan;96;52803;-17582;-21204;1241;-484;19569;336;-6462;21127
nan;96;52805;-15525;-18302;1329;1084;17093;458;-5017;19137
nan;96;52807;-6508;-9001;1460;2263;8609;427;-18;10350
nan;96;52809;-638;-4095;1671;2696;3530;359;3425;5243
nan;96;52811;3969;338;1972;2363;17;369;5900;713
nan;96;52813;12504;9172;1864;911;-7252;217;9796;-8013
nan;96;52815;16194;12512;-299;-1259;-11051;79;11039;-11701
nan;96;52817;20022;16124;-2239;-2402;-14850;29;11691;-15692
nan;96;52819;20347;15684;-3663;-2486;-15702;274;10129;-15865
nan;96;52821;14080;9354;-3440;-1405;-10867;248;5134;-10119
nan;96;52823;12319;9591;-2391;-603;-10408;171;3998;-10049
nan;96;52825;12296;9951;-1138;-288;-10760;123;4710;-10439
nan;96;52827;7897;6321;-410;-147;-7381;44;3726;-7195
nan;96;52829;4636;4794;-303;-237;-5767;23;2830;-5390
nan;96;52831;997;1793;-395;-215;-3500;37;672;-1593
nan;96;52833;-5092;-3146;-412;-267;1279;93;-977;3298
nan;96;52835;-9177;-6520;-517;-443;4883;52;-1477;6083
nan;96;52837;-10760;-9289;-306;244;6778;9;-1380;9115
nan;96;52839;-14333;-14413;125;977;10292;-127;-3332;14361
nan;96;52841;-20989;-20169;471;841;16492;-173;-7641;20284
nan;96;52843;-23016;-21249;545;970;18706;-248;-8335;21366
