TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-13  17:57:49.858815 ;96.0;30497.0;18369.0;3801.0;275.0;-16989.0;-17377.0;29242.0;12.0;15607.0
;96.0;30499.0;13848.0;12472.0;44.0;-10738.0;-11633.0;25970.0;50.0;3081.0
;96.0;30501.0;-483.0;11055.0;-60.0;4869.0;2320.0;17893.0;133.0;-10441.0
;96.0;30503.0;10729.0;7577.0;192.0;-7438.0;-7702.0;25669.0;114.0;1984.0
;96.0;30505.0;5259.0;7280.0;316.0;-2564.0;-678.0;14564.0;51.0;-4762.0
;96.0;30507.0;8957.0;4914.0;280.0;-7245.0;-3335.0;14260.0;12.0;479.0
;96.0;30509.0;6024.0;2884.0;131.0;-5296.0;129.0;6141.0;-72.0;-1272.0
;96.0;30511.0;7834.0;-917.0;-96.0;-8144.0;-1193.0;1070.0;-100.0;3026.0
;96.0;30513.0;377.0;-2627.0;-422.0;-798.0;7741.0;-13215.0;-68.0;-4016.0
;96.0;30515.0;-1457.0;-6073.0;-627.0;-37.0;9447.0;-20830.0;-90.0;-3749.0
;96.0;30517.0;-2567.0;-6508.0;-602.0;857.0;8690.0;-19371.0;-25.0;-4206.0
;96.0;30519.0;-3383.0;-7495.0;-490.0;1072.0;7285.0;-20359.0;90.0;-3616.0
;96.0;30521.0;-17705.0;-8913.0;-310.0;14623.0;19762.0;-38777.0;64.0;-16064.0
;96.0;30523.0;-10630.0;-10242.0;-322.0;7388.0;12422.0;-28458.0;10.0;-7049.0
;96.0;30525.0;-5033.0;-7490.0;-357.0;2423.0;7479.0;-19562.0;-75.0;-2965.0
;96.0;30527.0;-1110.0;-5159.0;-495.0;-980.0;3254.0;-12471.0;-54.0;-635.0
;96.0;30529.0;-3824.0;-3007.0;-733.0;2234.0;5497.0;-10967.0;-39.0;-4548.0
;96.0;30531.0;3316.0;810.0;-690.0;-3616.0;16.0;331.0;-27.0;-548.0
;96.0;30533.0;2257.0;3767.0;-611.0;-1716.0;1301.0;2740.0;5.0;-3670.0
;96.0;30535.0;3728.0;1971.0;-13599.0;-11718.0;3152.0;3159.0;854.0;-13664.0
;96.0;30537.0;-13511.0;-10827.0;-2074.0;19374.0;1798.0;-11992.0;0.0;0.0
;96.0;30539.0;-3106.0;-4881.0;-12176.0;-5049.0;5177.0;-13400.0;1624.0;-10955.0
;96.0;30541.0;-8511.0;-3987.0;-10656.0;1241.0;9892.0;-17240.0;1436.0;-14483.0
;96.0;30543.0;-10346.0;-9597.0;-9649.0;2537.0;11311.0;-25671.0;1246.0;-10261.0
;96.0;30545.0;-13062.0;-7565.0;-8736.0;6101.0;13304.0;-29321.0;1096.0;-13538.0
;96.0;30547.0;-9157.0;-7004.0;-7784.0;2947.0;8871.0;-21358.0;974.0;-8783.0
;96.0;30549.0;-8136.0;-5217.0;-6874.0;2488.0;7496.0;-17610.0;875.0;-8541.0
;96.0;30551.0;-6481.0;-3238.0;-5874.0;1543.0;5351.0;-12759.0;800.0;-8124.0
;96.0;30553.0;-3677.0;-1066.0;-4850.0;346.0;3828.0;-5190.0;722.0;-7678.0
;96.0;30555.0;6986.0;1920.0;-4259.0;-8902.0;-5954.0;11906.0;679.0;449.0
;96.0;30557.0;791.0;7276.0;-4080.0;-1072.0;-420.0;12785.0;564.0;-9389.0
;96.0;30559.0;1859.0;6966.0;-3623.0;-1514.0;-1200.0;17836.0;504.0;-7868.0
;96.0;30561.0;3772.0;6223.0;-2895.0;-3751.0;-2724.0;18851.0;500.0;-5292.0
;96.0;30563.0;13362.0;9170.0;-2315.0;-12054.0;-12670.0;35089.0;499.0;3114.0
;96.0;30565.0;24962.0;7964.0;-1942.0;-23499.0;-24316.0;44711.0;452.0;16524.0
;96.0;30567.0;11325.0;10984.0;-1858.0;-9497.0;-10744.0;24184.0;347.0;1080.0
