TIMESTAMP;STREAM_ID;SEQUENCE; Flexor  Carpi  Radialis  Sx ; Extensor  Carpi  Radialis  Sx ; Biceps  Brachii  Short  Head  Sx ; Brachioradialis  Sx ; Flexor  Carpi  Radialis  Dx ; Extensor  Carpi  Radialis  Dx ; Biceps  Brachii  Short  Head  Dx ; Anterior  Deltoid  Dx 
 2023-06-13  18:01:43.680111 ;96.0;20109.0;-18605.0;-6097.0;431.0;16494.0;22442.0;-32684.0;162.0;-13604.0
;96.0;20111.0;-11958.0;-7871.0;417.0;9900.0;11311.0;-20842.0;257.0;-5131.0
;96.0;20113.0;-8625.0;-6234.0;460.0;7449.0;7017.0;-16928.0;503.0;-4041.0
;96.0;20115.0;6632.0;-6504.0;610.0;-7798.0;-7815.0;798.0;736.0;10651.0
;96.0;20117.0;1165.0;3985.0;453.0;-996.0;-1641.0;-805.0;743.0;-3498.0
;96.0;20119.0;-3313.0;1914.0;170.0;3755.0;2824.0;-1153.0;463.0;-5089.0
;96.0;20121.0;2833.0;4109.0;-77.0;-1603.0;-3729.0;11043.0;172.0;-289.0
;96.0;20123.0;11784.0;5328.0;-265.0;-10848.0;-12204.0;21969.0;-26.0;7342.0
;96.0;20125.0;8135.0;7318.0;-305.0;-7190.0;-9113.0;19134.0;-131.0;2237.0
;96.0;20127.0;10218.0;9465.0;-349.0;-7947.0;-12513.0;29442.0;-116.0;3397.0
;96.0;20129.0;9855.0;9031.0;-741.0;-7571.0;-12793.0;28880.0;-288.0;3994.0
;96.0;20131.0;5157.0;6140.0;-897.0;-3549.0;-8191.0;20488.0;-404.0;1731.0
;96.0;20133.0;3678.0;6348.0;-902.0;-2006.0;-7110.0;16742.0;-447.0;520.0
;96.0;20135.0;770.0;3122.0;-748.0;541.0;-3571.0;9682.0;-411.0;206.0
;96.0;20137.0;2138.0;-705.0;-396.0;-1959.0;-3313.0;4693.0;-377.0;3324.0
;96.0;20139.0;-2752.0;-1749.0;-7.0;2516.0;2919.0;-5938.0;-449.0;-2050.0
;96.0;20141.0;-3878.0;-5579.0;-68.0;2783.0;3240.0;-12462.0;-210.0;-449.0
;96.0;20143.0;-5666.0;-6039.0;-287.0;4220.0;3398.0;-15241.0;-75.0;-1452.0
;96.0;20145.0;-10581.0;-5519.0;-505.0;9117.0;8086.0;-22595.0;-50.0;-6193.0
;96.0;20147.0;-14144.0;-10511.0;-355.0;11582.0;12951.0;-39632.0;-97.0;-5853.0
;96.0;20149.0;-10050.0;-9170.0;-55.0;7739.0;8750.0;-38183.0;-99.0;-2910.0
;96.0;20151.0;-1350.0;-7401.0;84.0;-244.0;-615.0;-19953.0;-27.0;4015.0
;96.0;20153.0;-6797.0;-3972.0;166.0;6009.0;4359.0;-18648.0;-144.0;-4283.0
;96.0;20155.0;-3556.0;-4852.0;247.0;2657.0;1085.0;-10892.0;-346.0;-189.0
;96.0;20157.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;96.0;20159.0;-13548.0;-7007.0;-10732.0;4702.0;13322.0;-26937.0;1744.0;-17212.0
;96.0;20161.0;-7326.0;-2709.0;-9392.0;526.0;7407.0;-13252.0;1547.0;-13017.0
;96.0;20163.0;-4171.0;346.0;-8206.0;-1199.0;4576.0;-4446.0;1387.0;-11680.0
;96.0;20165.0;3809.0;1149.0;-7216.0;-8115.0;-2701.0;9928.0;1234.0;-4323.0
;96.0;20167.0;7963.0;4487.0;-6626.0;-11118.0;-6699.0;15178.0;1104.0;-1996.0
;96.0;20169.0;4873.0;6103.0;-6077.0;-7072.0;-4211.0;14704.0;996.0;-4738.0
;96.0;20171.0;2806.0;8547.0;-5590.0;-3895.0;-3080.0;20726.0;934.0;-7171.0
;96.0;20173.0;5327.0;6117.0;-4977.0;-6497.0;-5964.0;21927.0;767.0;-2155.0
;96.0;20175.0;4937.0;5072.0;-4417.0;-6238.0;-4853.0;17284.0;633.0;-2196.0
;96.0;20177.0;4876.0;3258.0;-3913.0;-6287.0;-3659.0;13798.0;609.0;-1092.0
;96.0;20179.0;3407.0;2198.0;-3441.0;-5272.0;-1800.0;8041.0;547.0;-1792.0
;96.0;20181.0;86.0;-1574.0;-3065.0;-2626.0;1154.0;-1916.0;460.0;-2034.0
;96.0;20183.0;-3723.0;-3995.0;-2732.0;982.0;5099.0;-11182.0;405.0;-3772.0
;96.0;20185.0;-3669.0;-6502.0;-2453.0;427.0;4360.0;-16705.0;316.0;-1048.0
;96.0;20187.0;-9460.0;-5650.0;-2277.0;6336.0;9318.0;-22534.0;296.0;-6904.0
;96.0;20189.0;-13671.0;-8553.0;-2075.0;10297.0;13490.0;-28824.0;246.0;-8704.0
;96.0;20191.0;-9983.0;-10694.0;-1675.0;6036.0;9806.0;-30791.0;236.0;-2864.0
;96.0;20193.0;-10610.0;-8894.0;-1261.0;7265.0;10242.0;-28874.0;207.0;-4251.0
;96.0;20195.0;-6025.0;-6967.0;-979.0;3446.0;5465.0;-20424.0;202.0;-726.0
;96.0;20197.0;-3979.0;-6003.0;-799.0;2034.0;3212.0;-15674.0;133.0;985.0
;96.0;20199.0;-3634.0;-2778.0;-773.0;2468.0;3092.0;-11632.0;160.0;-978.0
;96.0;20201.0;-3448.0;98.0;-837.0;3424.0;3955.0;-5260.0;109.0;-3354.0
